dataset,sensitive_attribute,algorithm,model,value,disparate_impact,discrimination_score,true_positive_rate_diff,false_positive_rate_diff,false_positive_error_rate_balance_score,false_negative_error_rate_balance_score,consistency,confusion_matrix,accuracy,f1_score,recall,precision,mathews_cc,sensitivity,specificity
Adult Income,race,NA,RandomForestClassifier,Amer-Indian-Eskimo,0.3929,0.8685,0.2723,0.0648,0.9372,0.746,0.9392,"[6460, 739, 1012, 1313]",0.8161,0.6,0.5647,0.6399,0.4828,0.5647,0.8973
,,,,Asian-Pac-Islander,1.2943,0.9372,-0.0427,-0.0114,0.9879,0.9568,0.9394,,,,,,,,
,,,,Black,0.4276,0.8695,0.1057,0.0589,0.9411,0.8973,0.9391,,,,,,,,
,,,,Other,0.3253,0.854,0.065,0.0584,0.9437,0.9352,0.9391,,,,,,,,
,,,,White,1.6976,0.9059,-0.0507,-0.0503,0.9502,0.9482,0.9394,,,,,,,,
Adult Income,sex,NA,RandomForestClassifier,Female,0.2951,0.8072,0.1422,0.1005,0.8997,0.8589,0.936,"[6481, 718, 1041, 1284]",0.8153,0.5935,0.5523,0.6414,0.4771,0.5523,0.9003
,,,,Male,3.3891,0.8072,-0.1422,-0.1005,0.8997,0.8589,0.936,,,,,,,,
Adult Income,race,PermutationGeneticAlgorithm,RandomForestClassifier,Amer-Indian-Eskimo,0.6084,0.9178,0.2282,0.0318,0.9725,0.7902,0.9378,"[6419, 780, 1114, 1211]",0.8011,0.5612,0.5209,0.6082,0.4358,0.5209,0.8917
,,,,Asian-Pac-Islander,1.528,0.8914,-0.1492,-0.0299,0.9682,0.8477,0.9382,,,,,,,,
,,,,Black,0.5356,0.8984,0.003,0.0469,0.9527,0.9931,0.9374,,,,,,,,
,,,,Other,0.3352,0.8604,0.0207,0.0641,0.938,0.9791,0.9378,,,,,,,,
,,,,White,1.3735,0.9408,0.0501,-0.0346,0.9651,0.9489,0.9374,,,,,,,,
Adult Income,race,PermutationGeneticAlgorithm,XGBClassifier,Amer-Indian-Eskimo,0.4275,0.8528,0.0829,0.1001,0.906,0.9344,0.9508,"[9305, 1485, 1326, 2171]",0.8032,0.607,0.6208,0.5938,0.4761,0.6208,0.8624
,,,,Asian-Pac-Islander,1.2821,0.9284,-0.0768,-0.0469,0.9521,0.926,0.9508,,,,,,,,
,,,,Black,0.5671,0.8845,0.0339,0.0587,0.9413,0.965,0.9504,,,,,,,,
,,,,Other,0.4216,0.8513,0.2214,0.0699,0.929,0.807,0.9508,,,,,,,,
,,,,White,1.4677,0.9146,-0.0028,-0.0452,0.9544,0.9953,0.9504,,,,,,,,
Adult Income,sex,PermutationGeneticAlgorithm,RandomForestClassifier,Female,1.1244,0.9756,-0.0963,-0.0752,0.9251,0.9039,0.9162,"[6157, 1042, 1423, 902]",0.7412,0.4226,0.388,0.464,0.2592,0.388,0.8553
,,,,Male,0.8893,0.9756,0.0963,0.0752,0.9251,0.9039,0.9162,,,,,,,,
Adult Income,sex,PermutationGeneticAlgorithm,XGBClassifier,Female,1.2252,0.9594,-0.1238,-0.0905,0.9094,0.8755,0.9396,"[9429, 1361, 2088, 1409]",0.7586,0.4497,0.4029,0.5087,0.301,0.4029,0.8739
,,,,Male,0.8162,0.9594,0.1238,0.0905,0.9094,0.8755,0.9396,,,,,,,,
