dataset,sensitive_attribute,algorithm,model,value,disparate_impact,discrimination_score,true_positive_rate_diff,false_positive_rate_diff,false_positive_error_rate_balance_score,false_negative_error_rate_balance_score,consistency,confusion_matrix,accuracy,f1_score,recall,precision,mathews_cc,sensitivity,specificity
Adult Income,race,NA,RandomForestClassifier,Amer-Indian-Eskimo,0.2454,0.8364,0.3278,0.0919,0.9088,0.687,0.9393,"[6452, 747, 1021, 1304]",0.8144,0.596,0.5609,0.6358,0.4777,0.5609,0.8962
,,,,Asian-Pac-Islander,1.2793,0.9404,-0.057,-0.0006,0.9992,0.9422,0.9392,,,,,,,,
,,,,Black,0.4705,0.8798,0.0641,0.0536,0.9468,0.9312,0.9388,,,,,,,,
,,,,Other,0.1302,0.8116,0.3113,0.0896,0.911,0.6886,0.9392,,,,,,,,
,,,,White,1.6873,0.9068,-0.0367,-0.0526,0.9478,0.9623,0.9389,,,,,,,,
Adult Income,sex,NA,RandomForestClassifier,Female,0.3052,0.8085,0.1196,0.101,0.8992,0.8797,0.9363,"[6471, 728, 1027, 1298]",0.8157,0.5966,0.5583,0.6407,0.4799,0.5583,0.8989
,,,,Male,3.2771,0.8085,-0.1196,-0.101,0.8992,0.8797,0.9363,,,,,,,,
Adult Income,race,PermutationGeneticAlgorithm,RandomForestClassifier,Amer-Indian-Eskimo,0.6693,0.9369,0.1844,0.0207,0.9836,0.8339,0.9359,"[6498, 701, 1215, 1110]",0.7988,0.5368,0.4774,0.6129,0.416,0.4774,0.9026
,,,,Asian-Pac-Islander,1.2801,0.9472,-0.0037,-0.0217,0.9773,0.9923,0.9362,,,,,,,,
,,,,Black,0.5258,0.9055,0.0428,0.0411,0.9596,0.9588,0.9358,,,,,,,,
,,,,Other,0.2946,0.8652,-0.0228,0.0681,0.9332,0.9774,0.936,,,,,,,,
,,,,White,1.5034,0.9331,-0.029,-0.0313,0.9688,0.9707,0.9361,,,,,,,,
Adult Income,race,PermutationGeneticAlgorithm,XGBClassifier,Amer-Indian-Eskimo,0.3918,0.8294,0.1886,0.1089,0.8935,0.8501,0.9489,"[9074, 1716, 1227, 2270]",0.794,0.6067,0.6491,0.5695,0.4698,0.6491,0.841
,,,,Asian-Pac-Islander,1.0967,0.9731,0.0155,-0.02,0.9809,0.9828,0.9488,,,,,,,,
,,,,Black,0.5101,0.8567,0.0891,0.0814,0.9192,0.9114,0.9488,,,,,,,,
,,,,Other,0.43,0.8403,0.0493,0.0914,0.9074,0.922,0.9489,,,,,,,,
,,,,White,1.6579,0.8827,-0.0677,-0.0705,0.9297,0.9303,0.9484,,,,,,,,
Adult Income,sex,PermutationGeneticAlgorithm,RandomForestClassifier,Female,0.3748,0.8714,-0.0757,0.1152,0.8849,0.925,0.9317,"[6413, 786, 1554, 771]",0.7543,0.3972,0.3316,0.4952,0.2584,0.3316,0.8908
,,,,Male,2.668,0.8714,0.0757,-0.1152,0.8849,0.925,0.9317,,,,,,,,
Adult Income,sex,PermutationGeneticAlgorithm,XGBClassifier,Female,0.5714,0.928,-0.2275,0.0797,0.9204,0.7718,0.9447,"[9839, 951, 2391, 1106]",0.7661,0.3983,0.3163,0.5377,0.2794,0.3163,0.9119
,,,,Male,1.75,0.928,0.2275,-0.0797,0.9204,0.7718,0.9447,,,,,,,,
