dataset,sensitive_attribute,algorithm,model,value,disparate_impact,discrimination_score,true_positive_rate_diff,false_positive_rate_diff,false_positive_error_rate_balance_score,false_negative_error_rate_balance_score,consistency,confusion_matrix,accuracy,f1_score,recall,precision,mathews_cc,sensitivity,specificity
Adult Income,race,NA,RandomForestClassifier,Amer-Indian-Eskimo,0.2987,0.8502,0.378,0.0647,0.9373,0.6331,0.9384,"[6461, 738, 1042, 1283]",0.8131,0.5904,0.5518,0.6348,0.4721,0.5518,0.8975
,,,,Asian-Pac-Islander,1.2676,0.9437,-0.0262,-0.0115,0.9878,0.975,0.9387,,,,,,,,
,,,,Black,0.4345,0.8731,0.0642,0.0615,0.9385,0.9307,0.9385,,,,,,,,
,,,,Other,0.1321,0.8147,0.3023,0.0884,0.9123,0.6977,0.9385,,,,,,,,
,,,,White,1.7481,0.9032,-0.0555,-0.0542,0.9462,0.9426,0.9388,,,,,,,,
Adult Income,sex,NA,RandomForestClassifier,Female,0.2866,0.8029,0.1464,0.1048,0.8953,0.8544,0.9363,"[6469, 730, 1039, 1286]",0.8143,0.5925,0.5531,0.6379,0.475,0.5531,0.8986
,,,,Male,3.4886,0.8029,-0.1464,-0.1048,0.8953,0.8544,0.9363,,,,,,,,
Adult Income,race,PermutationGeneticAlgorithm,RandomForestClassifier,Amer-Indian-Eskimo,0.6476,0.9305,0.2507,0.0139,0.991,0.7641,0.9357,"[6454, 745, 1199, 1126]",0.7959,0.5367,0.4843,0.6018,0.4117,0.4843,0.8965
,,,,Asian-Pac-Islander,1.2204,0.957,0.0136,-0.0155,0.9836,0.99,0.936,,,,,,,,
,,,,Black,0.556,0.9089,0.0216,0.0387,0.961,0.9816,0.9354,,,,,,,,
,,,,Other,0.2852,0.8589,-0.0158,0.0742,0.9271,0.9843,0.9357,,,,,,,,
,,,,White,1.4824,0.9329,-0.032,-0.0316,0.9688,0.968,0.9353,,,,,,,,
Adult Income,race,PermutationGeneticAlgorithm,XGBClassifier,Amer-Indian-Eskimo,0.3841,0.8238,0.1771,0.1073,0.8911,0.806,0.9483,"[8953, 1837, 1268, 2229]",0.7827,0.5894,0.6374,0.5482,0.4451,0.6374,0.8297
,,,,Asian-Pac-Islander,1.0496,0.9859,0.0537,-0.018,0.9823,0.9506,0.9485,,,,,,,,
,,,,Black,0.5405,0.8633,0.0936,0.0763,0.9238,0.9058,0.9486,,,,,,,,
,,,,Other,0.5059,0.8588,0.2382,0.0613,0.9349,0.7904,0.9484,,,,,,,,
,,,,White,1.6224,0.8846,-0.0933,-0.0657,0.9347,0.9059,0.9482,,,,,,,,
Adult Income,sex,PermutationGeneticAlgorithm,RandomForestClassifier,Female,0.3721,0.8684,-0.0851,0.1194,0.8808,0.9151,0.9244,"[6400, 799, 1539, 786]",0.7545,0.402,0.3381,0.4959,0.2619,0.3381,0.889
,,,,Male,2.6872,0.8684,0.0851,-0.1194,0.8808,0.9151,0.9244,,,,,,,,
Adult Income,sex,PermutationGeneticAlgorithm,XGBClassifier,Female,0.6076,0.9351,-0.2688,0.082,0.9179,0.732,0.9433,"[9799, 991, 2434, 1063]",0.7603,0.383,0.304,0.5175,0.26,0.304,0.9082
,,,,Male,1.6458,0.9351,0.2688,-0.082,0.9179,0.732,0.9433,,,,,,,,
