dataset,sensitive_attribute,algorithm,model,value,disparate_impact,discrimination_score,true_positive_rate_diff,false_positive_rate_diff,false_positive_error_rate_balance_score,false_negative_error_rate_balance_score,consistency,confusion_matrix,accuracy,f1_score,recall,precision,mathews_cc,sensitivity,specificity
Adult Income,race,NA,RandomForestClassifier,Amer-Indian-Eskimo,0.2483,0.8389,0.2645,0.1028,0.8973,0.7538,0.9396,"[6467, 732, 1030, 1295]",0.815,0.5951,0.557,0.6389,0.4778,0.557,0.8983
,,,,Asian-Pac-Islander,1.3267,0.9312,-0.0508,-0.0174,0.9818,0.9487,0.9395,,,,,,,,
,,,,Black,0.4331,0.8724,0.1071,0.0565,0.9437,0.8954,0.9394,,,,,,,,
,,,,Other,0.2632,0.8424,0.0572,0.0723,0.9289,0.9429,0.9394,,,,,,,,
,,,,White,1.7028,0.9066,-0.0468,-0.0511,0.9492,0.9518,0.9399,,,,,,,,
Adult Income,sex,NA,RandomForestClassifier,Female,0.2982,0.8049,0.1484,0.1012,0.8986,0.8528,0.9364,"[6458, 741, 1029, 1296]",0.8142,0.5942,0.5574,0.6362,0.4761,0.5574,0.8971
,,,,Male,3.3534,0.8049,-0.1484,-0.1012,0.8986,0.8528,0.9364,,,,,,,,
Adult Income,race,PermutationGeneticAlgorithm,RandomForestClassifier,Amer-Indian-Eskimo,1.0667,0.9867,0.0977,-0.0676,0.9369,0.9282,0.9377,"[6481, 718, 1142, 1183]",0.8047,0.5599,0.5088,0.6223,0.4396,0.5088,0.9003
,,,,Asian-Pac-Islander,1.3342,0.934,-0.0511,-0.0193,0.9798,0.9511,0.9383,,,,,,,,
,,,,Black,0.4786,0.8904,0.0192,0.0556,0.9444,0.9758,0.9376,,,,,,,,
,,,,Other,0.4217,0.8841,0.0088,0.0404,0.9624,0.9912,0.9379,,,,,,,,
,,,,White,1.467,0.9334,0.0067,-0.0352,0.965,0.9949,0.938,,,,,,,,
Adult Income,race,PermutationGeneticAlgorithm,XGBClassifier,Amer-Indian-Eskimo,0.9724,0.9947,-0.0063,-0.0469,0.9564,0.9764,0.9594,"[9907, 883, 1636, 1861]",0.8237,0.5964,0.5322,0.6782,0.4915,0.5322,0.9182
,,,,Asian-Pac-Islander,0.9875,0.9976,0.0081,0.0214,0.9801,0.9889,0.9591,,,,,,,,
,,,,Black,0.4765,0.8942,0.1019,0.0412,0.9589,0.8977,0.9591,,,,,,,,
,,,,Other,0.4368,0.8913,0.2332,0.0273,0.9756,0.7525,0.959,,,,,,,,
,,,,White,1.6843,0.9172,-0.0738,-0.033,0.9673,0.9274,0.959,,,,,,,,
Adult Income,sex,PermutationGeneticAlgorithm,RandomForestClassifier,Female,0.3715,0.8758,-0.0878,0.1135,0.8865,0.9133,0.9312,"[6446, 753, 1584, 741]",0.7546,0.3881,0.3187,0.496,0.2529,0.3187,0.8954
,,,,Male,2.6921,0.8758,0.0878,-0.1135,0.8865,0.9133,0.9312,,,,,,,,
Adult Income,sex,PermutationGeneticAlgorithm,XGBClassifier,Female,0.5579,0.9237,-0.2346,0.0833,0.9165,0.765,0.9487,"[9834, 956, 2350, 1147]",0.7686,0.4096,0.328,0.5454,0.2905,0.328,0.9114
,,,,Male,1.7923,0.9237,0.2346,-0.0833,0.9165,0.765,0.9487,,,,,,,,
