dataset,sensitive_attribute,algorithm,model,value,disparate_impact,discrimination_score,true_positive_rate_diff,false_positive_rate_diff,false_positive_error_rate_balance_score,false_negative_error_rate_balance_score,consistency,confusion_matrix,accuracy,f1_score,recall,precision,mathews_cc,sensitivity,specificity
,,,,Other,0.4834,0.8712,0.1399,0.0534,0.9454,0.86,0.9616,,,,,,,,
,,,,White,1.6188,0.8997,-0.0666,-0.0469,0.9534,0.9308,0.9617,,,,,,,,
Adult Income,race,Reweighing,RandomForestClassifier,Amer-Indian-Eskimo,0.6457,0.9241,0.2057,0.0258,0.9785,0.8163,0.9386,"[6462, 737, 1029, 1296]",0.8146,0.5948,0.5574,0.6375,0.477,0.5574,0.8976
,,,,Asian-Pac-Islander,1.4952,0.8959,-0.1005,-0.0411,0.9569,0.8964,0.939,,,,,,,,
,,,,Black,0.4846,0.8842,0.0603,0.0493,0.9511,0.9348,0.9386,,,,,,,,
,,,,Other,0.3943,0.8702,0.3081,0.028,0.9755,0.6921,0.9386,,,,,,,,
,,,,White,1.4485,0.9308,-0.0048,-0.0313,0.9691,0.9958,0.9389,,,,,,,,
Adult Income,race,Reweighing,XGBClassifier,Amer-Indian-Eskimo,0.8742,0.9747,-0.0392,-0.0237,0.9807,0.9093,0.9616,"[9936, 854, 1481, 2016]",0.8366,0.6333,0.5765,0.7024,0.5337,0.5765,0.9209
,,,,Asian-Pac-Islander,1.1174,0.9765,0.0159,-0.0152,0.9867,0.9872,0.9615,,,,,,,,
,,,,Black,0.4342,0.88,0.1654,0.041,0.959,0.8391,0.9613,,,,,,,,
,,,,Other,0.4779,0.8947,0.1771,0.0246,0.9783,0.8515,0.9612,,,,,,,,
,,,,White,1.6921,0.9128,-0.0988,-0.0277,0.9727,0.9021,0.9613,,,,,,,,
Adult Income,sex,Reweighing,RandomForestClassifier,Female,0.4507,0.8897,-0.0286,0.0447,0.9552,0.9708,0.9395,"[6687, 512, 1269, 1056]",0.813,0.5425,0.4542,0.6735,0.4437,0.4542,0.9289
,,,,Male,2.2188,0.8897,0.0286,-0.0447,0.9552,0.9708,0.9395,,,,,,,,
Adult Income,sex,Reweighing,XGBClassifier,Female,0.429,0.8435,0.0445,0.068,0.932,0.9557,0.9553,"[9745, 1045, 1370, 2127]",0.831,0.6379,0.6082,0.6706,0.529,0.6082,0.9032
,,,,Male,2.3308,0.8435,-0.0445,-0.068,0.932,0.9557,0.9553,,,,,,,,
Adult Income,sex,Reweighing,RandomForestClassifier,Female,0.3318,0.8294,0.0856,0.0859,0.914,0.9139,0.936,"[6531, 668, 1095, 1230]",0.8149,0.5825,0.529,0.6481,0.4691,0.529,0.9072
,,,,Male,3.0142,0.8294,-0.0856,-0.0859,0.914,0.9139,0.936,,,,,,,,
Adult Income,sex,Reweighing,XGBClassifier,Female,0.608,0.9131,-0.0943,0.0166,0.9832,0.9067,0.9566,"[9955, 835, 1578, 1919]",0.8311,0.614,0.5488,0.6968,0.5138,0.5488,0.9226
,,,,Male,1.6447,0.9131,0.0943,-0.0166,0.9832,0.9067,0.9566,,,,,,,,
