dataset,protected_attribute,unbiasing_algorithm,data,classifier_type,classification_algorithm,value,disparate_impact_ssd,discrimination_score_ssd,true_positive_rate_diff_ssd,false_positive_rate_diff_ssd,false_positive_error_rate_balance_score_ssd,false_negative_error_rate_balance_score_ssd,consistency_ssd,confusion_matrix,accuracy_ssd,f1_score_ssd,recall_ssd,precision_ssd,mathews_cc_ssd,roc_curve,auc_ssd,sensitivity_ssd,specificity_ssd
Adult Income,race,Reweighing,Test,Surrogate,RandomForestClassifier,Asian-Pac-Islander,2.3434,0.102,0.0059,0.0868,0.0804,0.0095,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adult Income,race,Reweighing,Test,Surrogate,RandomForestClassifier,Black,8.9012,0.4391,0.547,0.0738,0.0729,0.5039,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adult Income,race,Reweighing,Test,Surrogate,RandomForestClassifier,Other,17.3761,0.7793,1.6285,0.2034,0.1998,1.6297,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adult Income,race,Reweighing,Test,Surrogate,RandomForestClassifier,White,14.779,0.2552,0.198,0.0404,0.0408,0.2007,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adult Income,race,Reweighing,Validation,Test,XGBClassifier,Amer-Indian-Eskimo,0.0894,0.0038,2.5369,0.4591,0.4407,2.1083,0.0,"[3319, 289, 465, 689]",0.7518,3.7531,4.8699,2.6196,6.121,"[[0.0, 0.08009977827050997, 1.0], [0.0, 0.597053726169844, 1.0], [inf, 1.0, 0.0]]",1.7497,4.8699,0.1925
Adult Income,race,Reweighing,Validation,Test,XGBClassifier,Asian-Pac-Islander,2.014,0.0836,0.3564,0.0013,0.001,0.3409,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adult Income,race,Reweighing,Validation,Test,XGBClassifier,Black,5.9648,0.2742,0.007,0.0239,0.0234,0.0077,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adult Income,race,Reweighing,Validation,Test,XGBClassifier,Other,8.693,0.3696,1.2497,0.1963,0.1963,1.246,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adult Income,race,Reweighing,Validation,Test,XGBClassifier,White,4.7259,0.1109,0.0252,0.0067,0.0068,0.0237,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adult Income,race,Reweighing,Test,Test,XGBClassifier,Amer-Indian-Eskimo,0.6483,0.0268,0.0003,0.0155,0.0232,0.0944,0.0,"[6623, 594, 968, 1340]",0.8069,4.0671,5.2769,2.8293,6.6045,"[[0.0, 0.08230566717472634, 1.0], [0.0, 0.5805892547660312, 1.0], [inf, 1.0, 0.0]]",1.8885,5.2769,0.2032
Adult Income,race,Reweighing,Test,Test,XGBClassifier,Asian-Pac-Islander,8.6189,0.3441,0.3617,0.2344,0.2265,0.3409,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adult Income,race,Reweighing,Test,Test,XGBClassifier,Black,3.7829,0.167,0.0111,0.0052,0.0054,0.0176,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adult Income,race,Reweighing,Test,Test,XGBClassifier,Other,9.9706,0.4149,0.5614,0.0487,0.0447,0.5606,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adult Income,race,Reweighing,Test,Test,XGBClassifier,White,1.318,0.0391,0.0948,0.002,0.002,0.0836,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adult Income,sex,Reweighing,Validation,Surrogate,LogisticRegression,Female,4.2933,0.1041,0.0487,0.0,0.0,0.0473,0.0,"[3356, 252, 757, 397]",1.347,9.3946,12.9101,4.5233,12.9731,"[[0.0, 0.06984478935698447, 1.0], [0.0, 0.3440207972270364, 1.0], [inf, 1.0, 0.0]]",3.9509,12.9101,0.1462
Adult Income,sex,Reweighing,Validation,Surrogate,LogisticRegression,Male,11.1082,0.1041,0.0487,0.0,0.0,0.0473,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adult Income,sex,Reweighing,Validation,Surrogate,SVC,Female,18.8179,1.9066,2.0016,0.6342,0.6351,2.0155,0.0,"[3193, 415, 449, 705]",0.9872,4.3297,4.542,4.1181,7.47,"[[0.0, 0.11502217294900222, 1.0], [0.0, 0.6109185441941074, 1.0], [inf, 1.0, 0.0]]",1.9066,4.542,0.3967
Adult Income,sex,Reweighing,Validation,Surrogate,SVC,Male,435.0716,1.9066,2.0016,0.6342,0.6351,2.0155,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adult Income,sex,Reweighing,Validation,Surrogate,GaussianNB,Female,12.2688,1.2942,0.2668,0.3878,0.3865,0.2725,0.0,"[3137, 471, 404, 750]",1.0124,4.0716,3.6771,4.4629,7.2118,"[[0.0, 0.13054323725055433, 1.0], [0.0, 0.6499133448873483, 1.0], [inf, 1.0, 0.0]]",1.7323,3.6771,0.5109
Adult Income,sex,Reweighing,Validation,Surrogate,GaussianNB,Male,94.3804,1.2942,0.2668,0.3878,0.3865,0.2725,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adult Income,sex,Reweighing,Validation,Surrogate,DecisionTreeClassifier,Female,5.3453,0.4004,0.042,0.103,0.103,0.0402,0.0,"[3089, 519, 553, 601]",1.5505,6.7878,6.9968,6.5751,11.7152,"[[0.0, 0.1438470066518847, 1.0], [0.0, 0.5207972270363952, 1.0], [inf, 1.0, 0.0]]",2.9629,6.9968,0.6359
Adult Income,sex,Reweighing,Validation,Surrogate,DecisionTreeClassifier,Male,16.0385,0.4004,0.042,0.103,0.103,0.0402,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adult Income,sex,Reweighing,Validation,Surrogate,RandomForestClassifier,Female,8.6483,0.3666,0.0057,0.046,0.046,0.0058,0.0,"[3339, 269, 584, 570]",0.9971,5.9058,8.3678,3.114,8.8171,"[[0.0, 0.07455654101995565, 1.0], [0.0, 0.49393414211438474, 1.0], [inf, 1.0, 0.0]]",2.6984,8.3678,0.1545
Adult Income,sex,Reweighing,Validation,Surrogate,RandomForestClassifier,Male,40.8983,0.3666,0.0057,0.046,0.046,0.0058,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adult Income,sex,Reweighing,Test,Surrogate,LogisticRegression,Female,4.3115,0.1076,0.0073,0.001,0.001,0.0084,0.0,"[6690, 527, 1517, 791]",1.3816,9.5327,12.9613,4.7952,13.2787,"[[0.0, 0.07302203131495082, 1.0], [0.0, 0.3427209705372617, 1.0], [inf, 1.0, 0.0]]",4.0011,12.9613,0.1599
Adult Income,sex,Reweighing,Test,Surrogate,LogisticRegression,Male,11.185,0.1076,0.0073,0.001,0.001,0.0084,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adult Income,sex,Reweighing,Test,Surrogate,SVC,Female,19.2673,1.9523,2.2457,0.6439,0.6421,2.2721,0.0,"[6396, 821, 897, 1411]",0.9763,4.2956,4.5303,4.0583,7.4013,"[[0.0, 0.11375917971456284, 1.0], [0.0, 0.6113518197573656, 1.0], [inf, 1.0, 0.0]]",1.893,4.5303,0.3885
Adult Income,sex,Reweighing,Test,Surrogate,SVC,Male,488.7757,1.9523,2.2457,0.6439,0.6421,2.2721,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adult Income,sex,Reweighing,Test,Surrogate,GaussianNB,Female,12.4421,1.3483,0.3617,0.4198,0.4206,0.373,0.0,"[6235, 982, 819, 1489]",1.0728,4.2616,3.7786,4.7378,7.5692,"[[0.0, 0.1360676181238742, 1.0], [0.0, 0.6451473136915078, 1.0], [inf, 1.0, 0.0]]",1.8081,3.7786,0.5557
Adult Income,sex,Reweighing,Test,Surrogate,GaussianNB,Male,98.1636,1.3483,0.3617,0.4198,0.4206,0.373,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adult Income,sex,Reweighing,Test,Surrogate,DecisionTreeClassifier,Female,6.5382,0.4993,0.003,0.1477,0.1476,0.0028,0.0,"[6191, 1026, 1127, 1181]",1.5389,6.7867,7.0495,6.5183,11.6837,"[[0.0, 0.14216433421089095, 1.0], [0.0, 0.5116984402079723, 1.0], [inf, 1.0, 0.0]]",2.9635,7.0495,0.621
Adult Income,sex,Reweighing,Test,Surrogate,DecisionTreeClassifier,Male,23.0398,0.4993,0.003,0.1477,0.1476,0.0028,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adult Income,sex,Reweighing,Test,Surrogate,RandomForestClassifier,Female,10.9045,0.5014,0.005,0.1096,0.1096,0.0047,0.0,"[6704, 513, 1189, 1119]",0.9834,5.7402,8.0934,3.1022,8.6397,"[[0.0, 0.07108216710544547, 1.0], [0.0, 0.4848353552859619, 1.0], [inf, 1.0, 0.0]]",2.6306,8.0934,0.1595
Adult Income,sex,Reweighing,Test,Surrogate,RandomForestClassifier,Male,69.3417,0.5014,0.005,0.1096,0.1096,0.0047,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adult Income,sex,Reweighing,Validation,Test,XGBClassifier,Female,13.5717,1.4852,0.1891,0.4598,0.4598,0.1968,0.0,"[3171, 437, 365, 789]",0.8508,3.4071,3.0014,3.8106,6.04,"[[0.0, 0.12111973392461198, 1.0], [0.0, 0.6837088388214905, 1.0], [inf, 1.0, 0.0]]",1.4349,3.0014,0.44
Adult Income,sex,Reweighing,Validation,Test,XGBClassifier,Male,126.6291,1.4852,0.1891,0.4598,0.4598,0.1968,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adult Income,sex,Reweighing,Test,Test,XGBClassifier,Female,15.4356,1.7802,0.5964,0.5897,0.5897,0.6066,0.0,"[6322, 895, 732, 1576]",0.8752,3.4762,3.0185,3.9357,6.1753,"[[0.0, 0.12401274767909104, 1.0], [0.0, 0.682842287694974, 1.0], [inf, 1.0, 0.0]]",1.4599,3.0185,0.4613
Adult Income,sex,Reweighing,Test,Test,XGBClassifier,Male,193.1672,1.7802,0.5964,0.5897,0.5897,0.6066,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
