dataset,protected_attribute,unbiasing_algorithm,data,classifier_type,classification_algorithm,value,disparate_impact,discrimination_score,true_positive_rate_diff,false_positive_rate_diff,false_positive_error_rate_balance_score,false_negative_error_rate_balance_score,consistency,confusion_matrix,accuracy,f1_score,recall,precision,mathews_cc,sensitivity,specificity
Adult Income,race,Reweighing,Test,Surrogate,GaussianNB,Amer-Indian-Eskimo,0.5772,0.8675,0.8887,0.9337,0.9397,0.8887,1.0,"[2942, 666, 334, 821]",0.79,0.6215,0.7108,0.5521,0.4867,0.7108,0.8154
Adult Income,race,Reweighing,Test,Surrogate,GaussianNB,Asian-Pac-Islander,0.9971,0.9991,0.9836,0.9878,0.9864,0.9808,1.0,,,,,,,,
Adult Income,race,Reweighing,Test,Surrogate,GaussianNB,Black,0.4323,0.8126,0.8317,0.888,0.8885,0.8348,1.0,,,,,,,,
Adult Income,race,Reweighing,Test,Surrogate,GaussianNB,Other,0.9763,0.9926,1.0896,1.0554,0.9488,0.9104,1.0,,,,,,,,
Adult Income,race,Reweighing,Test,Surrogate,GaussianNB,White,1.7445,0.8581,1.1019,1.086,0.9144,0.899,0.9999,,,,,,,,
Adult Income,race,Reweighing,Test,Surrogate,DecisionTreeClassifier,Amer-Indian-Eskimo,0.7463,0.9313,1.0391,0.9774,0.9726,0.9609,0.9998,"[2969, 639, 507, 648]",0.7594,0.5307,0.561,0.5035,0.3706,0.561,0.8229
Adult Income,race,Reweighing,Test,Surrogate,DecisionTreeClassifier,Asian-Pac-Islander,1.1319,0.9645,1.0507,1.0141,0.9862,0.9437,0.9992,,,,,,,,
Adult Income,race,Reweighing,Test,Surrogate,DecisionTreeClassifier,Black,0.4875,0.8544,0.8737,0.9084,0.9083,0.8795,0.9998,,,,,,,,
Adult Income,race,Reweighing,Test,Surrogate,DecisionTreeClassifier,Other,1.0385,0.9896,1.0391,1.0628,0.9413,0.9609,0.9998,,,,,,,,
Adult Income,race,Reweighing,Test,Surrogate,DecisionTreeClassifier,White,1.5239,0.9023,1.0422,1.0623,0.9377,0.959,0.9994,,,,,,,,
Adult Income,race,Reweighing,Test,Surrogate,RandomForestClassifier,Amer-Indian-Eskimo,0.6649,0.9303,0.8345,1.0024,0.9928,0.8348,0.9999,"[3273, 335, 503, 652]",0.8241,0.6088,0.5645,0.6606,0.4987,0.5645,0.9072
Adult Income,race,Reweighing,Test,Surrogate,RandomForestClassifier,Asian-Pac-Islander,1.0735,0.9848,0.9458,1.0214,0.9779,0.9465,0.9997,,,,,,,,
Adult Income,race,Reweighing,Test,Surrogate,RandomForestClassifier,Black,0.4511,0.88,0.8163,0.9602,0.9606,0.8197,0.9993,,,,,,,,
Adult Income,race,Reweighing,Test,Surrogate,RandomForestClassifier,Other,0.3514,0.8649,0.8345,0.9348,0.9359,0.8348,1.0,,,,,,,,
Adult Income,race,Reweighing,Test,Surrogate,RandomForestClassifier,White,1.7468,0.9056,1.1362,1.0279,0.972,0.861,0.9992,,,,,,,,
Adult Income,race,Reweighing,Validation,Test,XGBClassifier,Amer-Indian-Eskimo,0.5104,0.9031,0.5997,1.0097,0.9857,0.6127,0.9995,"[3307, 301, 517, 637]",0.8282,0.609,0.552,0.6791,0.5048,0.552,0.9166
Adult Income,race,Reweighing,Validation,Test,XGBClassifier,Asian-Pac-Islander,0.9848,0.997,0.9213,1.0031,0.9977,0.9202,0.9994,,,,,,,,
Adult Income,race,Reweighing,Validation,Test,XGBClassifier,Black,0.3922,0.8729,0.8954,0.9399,0.9402,0.8976,0.9994,,,,,,,,
Adult Income,race,Reweighing,Validation,Test,XGBClassifier,Other,0.6177,0.9245,1.0484,0.9726,0.9751,0.9518,0.9996,,,,,,,,
Adult Income,race,Reweighing,Validation,Test,XGBClassifier,White,1.936,0.8977,1.1091,1.0434,0.9563,0.8908,0.9994,,,,,,,,
Adult Income,race,Reweighing,Test,Test,XGBClassifier,Amer-Indian-Eskimo,0.5218,0.9025,0.8329,0.9845,0.9881,0.833,0.9998,"[3295, 313, 501, 654]",0.8291,0.6164,0.5662,0.6763,0.5109,0.5662,0.9132
Adult Income,race,Reweighing,Test,Test,XGBClassifier,Asian-Pac-Islander,0.9951,0.999,0.9189,1.009,0.9913,0.9182,0.9995,,,,,,,,
Adult Income,race,Reweighing,Test,Test,XGBClassifier,Black,0.3789,0.8659,0.7968,0.9481,0.9477,0.799,0.9995,,,,,,,,
Adult Income,race,Reweighing,Test,Test,XGBClassifier,Other,0.3586,0.8691,1.0337,0.9124,0.9124,0.9661,0.9998,,,,,,,,
Adult Income,race,Reweighing,Test,Test,XGBClassifier,White,2.0222,0.8894,1.153,1.0433,0.9566,0.8486,0.9994,,,,,,,,
Adult Income,race,Reweighing,Validation,Surrogate,LogisticRegression,Amer-Indian-Eskimo,0.355,0.8532,0.6059,0.9454,0.9487,0.6188,1.0,"[3161, 447, 524, 630]",0.7961,0.5648,0.5459,0.585,0.4323,0.5459,0.8761
Adult Income,race,Reweighing,Validation,Surrogate,LogisticRegression,Asian-Pac-Islander,0.8841,0.9737,0.903,0.98,0.9803,0.9006,1.0,,,,,,,,
Adult Income,race,Reweighing,Validation,Surrogate,LogisticRegression,Black,0.3397,0.8406,0.865,0.8999,0.9003,0.8659,1.0,,,,,,,,
Adult Income,race,Reweighing,Validation,Surrogate,LogisticRegression,Other,0.2144,0.8212,0.6525,0.9033,0.9046,0.6526,1.0,,,,,,,,
Adult Income,race,Reweighing,Validation,Surrogate,LogisticRegression,White,2.3422,0.8588,1.1566,1.0878,0.9122,0.8456,1.0,,,,,,,,
Adult Income,race,Reweighing,Validation,Surrogate,SVC,Amer-Indian-Eskimo,0.1477,0.7668,0.3239,0.9025,0.9047,0.324,1.0,"[3092, 516, 378, 776]",0.8123,0.6345,0.6724,0.6006,0.5102,0.6724,0.857
Adult Income,race,Reweighing,Validation,Surrogate,SVC,Asian-Pac-Islander,0.8572,0.9611,0.8462,0.9791,0.9802,0.8473,0.9999,,,,,,,,
Adult Income,race,Reweighing,Validation,Surrogate,SVC,Black,0.2741,0.7884,0.7324,0.8756,0.876,0.733,1.0,,,,,,,,
Adult Income,race,Reweighing,Validation,Surrogate,SVC,Other,0.6724,0.9109,0.9274,0.9695,0.9743,0.9272,1.0,,,,,,,,
Adult Income,race,Reweighing,Validation,Surrogate,SVC,White,2.5727,0.8182,1.2517,1.1045,0.8957,0.7478,0.9999,,,,,,,,
