dataset,protected_attribute,unbiasing_algorithm,data,classifier_type,classification_algorithm,value,disparate_impact,discrimination_score,true_positive_rate_diff,false_positive_rate_diff,false_positive_error_rate_balance_score,false_negative_error_rate_balance_score,consistency,confusion_matrix,accuracy,f1_score,recall,precision,mathews_cc,roc_curve,auc,sensitivity,specificity
Adult Income,race,Reweighing,Validation,Surrogate,GaussianNB,Amer-Indian-Eskimo,0.7168,0.9082,0.5918,1.0229,0.9784,0.6173,1.0,"[2893, 715, 330, 824]",0.7806,0.612,0.714,0.5354,0.4726,"[[0.0, 0.19817073170731708, 1.0], [0.0, 0.7140381282495667, 1.0], [inf, 1.0, 0.0]]",0.7579,0.714,0.8018
Adult Income,race,Reweighing,Validation,Surrogate,GaussianNB,Asian-Pac-Islander,1.2509,0.9195,1.0126,1.0814,0.9196,0.9886,1.0,,,,,,,,,,
Adult Income,race,Reweighing,Validation,Surrogate,GaussianNB,Black,0.4405,0.809,0.8438,0.8821,0.8818,0.842,1.0,,,,,,,,,,
Adult Income,race,Reweighing,Validation,Surrogate,GaussianNB,Other,0.6394,0.8831,1.0864,0.9138,0.9187,0.9137,1.0,,,,,,,,,,
Adult Income,race,Reweighing,Validation,Surrogate,GaussianNB,White,1.6145,0.8699,1.1,1.0733,0.9268,0.8993,1.0,,,,,,,,,,
Adult Income,race,Reweighing,Validation,Surrogate,DecisionTreeClassifier,Amer-Indian-Eskimo,0.4203,0.8607,0.4409,0.9787,0.9843,0.4408,0.9996,"[3112, 496, 512, 642]",0.7883,0.5602,0.5563,0.5641,0.4209,"[[0.0, 0.13747228381374724, 1.0], [0.0, 0.5563258232235702, 1.0], [inf, 1.0, 0.0]]",0.7094,0.5563,0.8625
Adult Income,race,Reweighing,Validation,Surrogate,DecisionTreeClassifier,Asian-Pac-Islander,1.2773,0.9343,1.0156,1.0645,0.9356,0.9807,0.9993,,,,,,,,,,
Adult Income,race,Reweighing,Validation,Surrogate,DecisionTreeClassifier,Black,0.4198,0.8532,0.8359,0.9194,0.9189,0.8359,0.9987,,,,,,,,,,
Adult Income,race,Reweighing,Validation,Surrogate,DecisionTreeClassifier,Other,0.4065,0.8575,0.6422,0.9466,0.9503,0.6421,0.9994,,,,,,,,,,
Adult Income,race,Reweighing,Validation,Surrogate,DecisionTreeClassifier,White,1.7229,0.8933,1.1338,1.0508,0.9497,0.8653,0.9984,,,,,,,,,,
Adult Income,race,Reweighing,Validation,Surrogate,RandomForestClassifier,Amer-Indian-Eskimo,0.4137,0.8855,0.6113,0.9862,0.9897,0.624,1.0,"[3307, 301, 530, 624]",0.8255,0.6003,0.5407,0.6746,0.4953,"[[0.0, 0.08342572062084257, 1.0], [0.0, 0.5407279029462738, 1.0], [inf, 1.0, 0.0]]",0.7287,0.5407,0.9166
Adult Income,race,Reweighing,Validation,Surrogate,RandomForestClassifier,Asian-Pac-Islander,1.586,0.8882,1.1425,1.0826,0.9192,0.8609,0.9999,,,,,,,,,,
Adult Income,race,Reweighing,Validation,Surrogate,RandomForestClassifier,Black,0.3612,0.8679,0.7788,0.952,0.9514,0.7759,0.9999,,,,,,,,,,
Adult Income,race,Reweighing,Validation,Surrogate,RandomForestClassifier,Other,0.2497,0.8534,0.6579,0.9443,0.9455,0.6578,1.0,,,,,,,,,,
Adult Income,race,Reweighing,Validation,Surrogate,RandomForestClassifier,White,1.6819,0.9164,1.1068,1.0228,0.9769,0.8928,0.9996,,,,,,,,,,
Adult Income,race,Reweighing,Test,Surrogate,LogisticRegression,Amer-Indian-Eskimo,0.1755,0.7999,0.613,0.892,0.8933,0.613,1.0,"[3137, 471, 479, 676]",0.8005,0.5873,0.5853,0.5894,0.4558,"[[0.0, 0.13054323725055433, 1.0], [0.0, 0.5852813852813853, 1.0], [inf, 1.0, 0.0]]",0.7274,0.5853,0.8695
Adult Income,race,Reweighing,Test,Surrogate,LogisticRegression,Asian-Pac-Islander,0.9473,0.9873,0.975,0.9732,0.9735,0.9781,1.0,,,,,,,,,,
Adult Income,race,Reweighing,Test,Surrogate,LogisticRegression,Black,0.3685,0.8382,0.8125,0.9097,0.9098,0.8165,0.9999,,,,,,,,,,
Adult Income,race,Reweighing,Test,Surrogate,LogisticRegression,Other,0.5045,0.8802,1.0147,0.925,0.9276,0.9852,1.0,,,,,,,,,,
Adult Income,race,Reweighing,Test,Surrogate,LogisticRegression,White,2.1457,0.8608,1.1289,1.0855,0.9147,0.8696,0.9999,,,,,,,,,,
Adult Income,race,Reweighing,Test,Surrogate,SVC,Amer-Indian-Eskimo,0.5102,0.9183,0.9572,0.9696,0.9721,0.9574,0.9997,"[3328, 280, 644, 511]",0.806,0.5252,0.4424,0.646,0.4202,"[[0.0, 0.07760532150776053, 1.0], [0.0, 0.44242424242424244, 1.0], [inf, 1.0, 0.0]]",0.6824,0.4424,0.9224
Adult Income,race,Reweighing,Test,Surrogate,SVC,Asian-Pac-Islander,0.9561,0.9927,1.0469,0.9577,0.9593,0.9537,0.9997,,,,,,,,,,
Adult Income,race,Reweighing,Test,Surrogate,SVC,Black,0.0,0.8164,0.5349,0.9127,0.9128,0.535,0.9999,,,,,,,,,,
Adult Income,race,Reweighing,Test,Surrogate,SVC,Other,0.0,0.8325,0.5555,0.9216,0.9217,0.5557,0.9999,,,,,,,,,,
Adult Income,race,Reweighing,Test,Surrogate,SVC,White,4.7035,0.8526,1.2669,1.0797,0.92,0.7333,0.9992,,,,,,,,,,
Adult Income,race,Reweighing,Test,Surrogate,GaussianNB,Amer-Indian-Eskimo,0.7106,0.909,1.085,0.9695,0.9647,0.9148,1.0,"[2941, 667, 329, 826]",0.7909,0.6239,0.7152,0.5532,0.4899,"[[0.0, 0.1848669623059867, 1.0], [0.0, 0.7151515151515152, 1.0], [inf, 1.0, 0.0]]",0.7651,0.7152,0.8151
