dataset,sensitive_attribute,algorithm,model,value,disparate_impact,discrimination_score,true_positive_rate_diff,false_positive_rate_diff,false_positive_error_rate_balance_score,false_negative_error_rate_balance_score,consistency,confusion_matrix,accuracy,f1_score,recall,precision,mathews_cc,sensitivity,specificity
Adult Income,race,NA,RandomForestClassifier,Amer-Indian-Eskimo,0.2955,0.8479,0.3262,0.0784,0.923,0.6887,0.939,"[6456, 743, 1025, 1300]",0.8144,0.5952,0.5591,0.6363,0.4771,0.5591,0.8968
,,,,Asian-Pac-Islander,1.3307,0.9298,-0.0386,-0.0255,0.9731,0.9615,0.939,,,,,,,,
,,,,Black,0.4249,0.8694,0.1096,0.0595,0.9405,0.8931,0.9391,,,,,,,,
,,,,Other,0.1961,0.8266,0.3097,0.0739,0.9273,0.6903,0.939,,,,,,,,
,,,,White,1.7178,0.9046,-0.0632,-0.0492,0.9505,0.9346,0.9393,,,,,,,,
Adult Income,sex,NA,RandomForestClassifier,Female,0.2944,0.8023,0.1168,0.1078,0.8922,0.8831,0.9361,"[6461, 738, 1013, 1312]",0.8161,0.5998,0.5643,0.64,0.4827,0.5643,0.8975
,,,,Male,3.3964,0.8023,-0.1168,-0.1078,0.8922,0.8831,0.9361,,,,,,,,
Adult Income,race,LGAFFS,RandomForestClassifier,Amer-Indian-Eskimo,1.0329,0.9956,0.0867,-0.0358,0.9593,0.9318,0.9571,"[6808, 391, 1441, 884]",0.8076,0.4911,0.3802,0.6933,0.4111,0.3802,0.9457
,,,,Asian-Pac-Islander,1.8245,0.8924,-0.1252,-0.0515,0.9484,0.8696,0.9566,,,,,,,,
,,,,Black,0.3715,0.9105,0.0844,0.0363,0.9637,0.911,0.9569,,,,,,,,
,,,,Other,0.1046,0.8793,0.1304,0.0549,0.9452,0.8696,0.9569,,,,,,,,
,,,,White,1.4469,0.9567,0.0078,-0.0173,0.9828,0.9909,0.9567,,,,,,,,
Adult Income,race,LGAFFS,XGBClassifier,Amer-Indian-Eskimo,0.7399,0.9575,-0.0126,-0.0065,0.9989,0.9954,0.9657,"[10031, 759, 1927, 1570]",0.812,0.539,0.449,0.6741,0.4407,0.449,0.9297
