dataset,sensitive_attribute,algorithm,model,value,disparate_impact,discrimination_score,true_positive_rate_diff,false_positive_rate_diff,false_positive_error_rate_balance_score,false_negative_error_rate_balance_score,consistency,confusion_matrix,accuracy,f1_score,recall,precision,mathews_cc,sensitivity,specificity
,,,,Other,0.5311,0.8936,0.0935,0.039,0.9599,0.9065,0.9662,,,,,,,,
,,,,White,1.526,0.9181,-0.0301,-0.0358,0.9641,0.9684,0.9664,,,,,,,,
Adult Income,race,LGAFFS,RandomForestClassifier,Amer-Indian-Eskimo,0.9296,0.9847,0.1123,-0.0293,0.9638,0.9171,0.9453,"[6484, 715, 971, 1354]",0.823,0.6163,0.5824,0.6544,0.5032,0.5824,0.9007
,,,,Asian-Pac-Islander,1.5466,0.8833,-0.105,-0.0587,0.9435,0.8908,0.9451,,,,,,,,
,,,,Black,0.4616,0.8766,0.0864,0.0498,0.9505,0.9087,0.9449,,,,,,,,
,,,,Other,0.3226,0.8522,0.3331,0.04,0.9629,0.6671,0.945,,,,,,,,
,,,,White,1.4259,0.9322,-0.0085,-0.0256,0.9747,0.9928,0.9448,,,,,,,,
Adult Income,race,LGAFFS,XGBClassifier,Amer-Indian-Eskimo,0.5892,0.9157,0.12,0.0185,0.9799,0.9185,0.9626,"[9901, 889, 1465, 2032]",0.8352,0.6332,0.5811,0.6957,0.5316,0.5811,0.9176
,,,,Asian-Pac-Islander,1.3399,0.9312,-0.0929,-0.0361,0.9629,0.9026,0.9626,,,,,,,,
,,,,Black,0.4516,0.8817,0.1447,0.0433,0.9573,0.858,0.9624,,,,,,,,
,,,,Other,0.5283,0.9032,0.0812,0.0278,0.9751,0.9186,0.9625,,,,,,,,
,,,,White,1.5872,0.9202,-0.0505,-0.0268,0.9731,0.9478,0.9621,,,,,,,,
Adult Income,sex,LGAFFS,RandomForestClassifier,Female,0.2686,0.7928,0.2266,0.099,0.901,0.7747,0.9402,"[6476, 723, 998, 1327]",0.8193,0.6066,0.5708,0.6473,0.4916,0.5708,0.8996
,,,,Male,3.7227,0.7928,-0.2266,-0.099,0.901,0.7747,0.9402,,,,,,,,
Adult Income,sex,LGAFFS,XGBClassifier,Female,0.2638,0.7982,0.2112,0.0957,0.9043,0.7879,0.959,"[9874, 916, 1457, 2040]",0.8339,0.6323,0.5834,0.6901,0.5291,0.5834,0.9151
,,,,Male,3.7911,0.7982,-0.2112,-0.0957,0.9043,0.7879,0.959,,,,,,,,
Adult Income,sex,LGAFFS,RandomForestClassifier,Female,0.286,0.8015,0.1927,0.0922,0.9076,0.8074,0.9403,"[6503, 696, 994, 1331]",0.8226,0.6117,0.5725,0.6566,0.4993,0.5725,0.9033
,,,,Male,3.4969,0.8015,-0.1927,-0.0922,0.9076,0.8074,0.9403,,,,,,,,
Adult Income,sex,LGAFFS,XGBClassifier,Female,0.2741,0.803,0.1849,0.095,0.9048,0.8153,0.9592,"[9883, 907, 1464, 2033]",0.834,0.6317,0.5814,0.6915,0.5289,0.5814,0.9159
,,,,Male,3.6478,0.803,-0.1849,-0.095,0.9048,0.8153,0.9592,,,,,,,,
