dataset,attribute,class,algorithm,set,num_iterations,error,classifier_type,classification_algorithm,value,fairness_disparate_impact,fairness_discrimination_score,fairness_true_positive_rate_diff,fairness_false_positive_rate_diff,fairness_false_positive_error_rate_balance_score,fairness_false_negative_error_rate_balance_score,fairness_consistency,performance_accuracy,performance_f1_score,performance_auc
German Credit,Attribute9,NA,NA,Validation,0,False,Surrogate,LogisticRegression,Female,0.8300,0.8546,0.9400,0.7847,0.7847,0.9400,0.8267,0.8100,0.8742,0.7214
German Credit,Attribute9,NA,NA,Validation,0,False,Surrogate,LogisticRegression,Male,1.2049,0.8546,1.0600,1.2153,0.7847,0.9400,0.8267,0.8100,0.8742,0.7214
German Credit,Attribute9,NA,NA,Validation,0,False,Surrogate,SVC,Female,0.9372,0.9481,1.0400,0.8900,0.8900,0.9600,0.8267,0.8500,0.9007,0.7690
German Credit,Attribute9,NA,NA,Validation,0,False,Surrogate,SVC,Male,1.0670,0.9481,0.9600,1.1100,0.8900,0.9600,0.8267,0.8500,0.9007,0.7690
German Credit,Attribute9,NA,NA,Validation,0,False,Surrogate,GaussianNB,Female,0.6232,0.7270,0.7700,0.7751,0.7751,0.7700,0.8333,0.8000,0.8507,0.7905
German Credit,Attribute9,NA,NA,Validation,0,False,Surrogate,GaussianNB,Male,1.6046,0.7270,1.2300,1.2249,0.7751,0.7700,0.8333,0.8000,0.8507,0.7905
German Credit,Attribute9,NA,NA,Validation,0,False,Surrogate,DecisionTreeClassifier,Female,0.6956,0.7882,0.7500,0.9426,0.9426,0.7500,0.6067,0.6900,0.7669,0.6643
German Credit,Attribute9,NA,NA,Validation,0,False,Surrogate,DecisionTreeClassifier,Male,1.4377,0.7882,1.2500,1.0574,0.9426,0.7500,0.6067,0.6900,0.7669,0.6643
German Credit,Attribute9,NA,NA,Validation,0,False,Surrogate,RandomForestClassifier,Female,0.8677,0.8869,0.9900,0.7847,0.7847,0.9900,0.8433,0.8200,0.8816,0.7286
German Credit,Attribute9,NA,NA,Validation,0,False,Surrogate,RandomForestClassifier,Male,1.1525,0.8869,1.0100,1.2153,0.7847,0.9900,0.8433,0.8200,0.8816,0.7286
German Credit,Attribute9,NA,NA,Test,0,False,Surrogate,LogisticRegression,Female,0.9431,0.9514,0.9900,0.9665,0.9665,0.9900,0.8567,0.8000,0.8701,0.6952
German Credit,Attribute9,NA,NA,Test,0,False,Surrogate,LogisticRegression,Male,1.0603,0.9514,1.0100,1.0335,0.9665,0.9900,0.8567,0.8000,0.8701,0.6952
German Credit,Attribute9,NA,NA,Test,0,False,Surrogate,SVC,Female,0.9431,0.9514,0.9700,1.0191,0.9809,0.9700,0.8467,0.8200,0.8831,0.7190
German Credit,Attribute9,NA,NA,Test,0,False,Surrogate,SVC,Male,1.0603,0.9514,1.0300,0.9809,0.9809,0.9700,0.8467,0.8200,0.8831,0.7190
German Credit,Attribute9,NA,NA,Test,0,False,Surrogate,GaussianNB,Female,1.0202,0.9860,1.1000,0.9426,0.9426,0.9000,0.7833,0.7600,0.8286,0.7143
German Credit,Attribute9,NA,NA,Test,0,False,Surrogate,GaussianNB,Male,0.9802,0.9860,0.9000,1.0574,0.9426,0.9000,0.7833,0.7600,0.8286,0.7143
German Credit,Attribute9,NA,NA,Test,0,False,Surrogate,DecisionTreeClassifier,Female,0.8292,0.8738,0.9100,0.8900,0.8900,0.9100,0.6733,0.7400,0.8143,0.6905
German Credit,Attribute9,NA,NA,Test,0,False,Surrogate,DecisionTreeClassifier,Male,1.2059,0.8738,1.0900,1.1100,0.8900,0.9100,0.6733,0.7400,0.8143,0.6905
German Credit,Attribute9,NA,NA,Test,0,False,Surrogate,RandomForestClassifier,Female,0.7298,0.7611,0.8700,0.6411,0.6411,0.8700,0.8133,0.8100,0.8742,0.7214
German Credit,Attribute9,NA,NA,Test,0,False,Surrogate,RandomForestClassifier,Male,1.3703,0.7611,1.1300,1.3589,0.6411,0.8700,0.8133,0.8100,0.8742,0.7214
German Credit,Attribute9,NA,NA,Validation,0,False,Test,XGBClassifier,Female,0.7689,0.8158,0.8600,0.8517,0.8517,0.8600,0.8000,0.8200,0.8750,0.7667
German Credit,Attribute9,NA,NA,Validation,0,False,Test,XGBClassifier,Male,1.3005,0.8158,1.1400,1.1483,0.8517,0.8600,0.8000,0.8200,0.8750,0.7667
German Credit,Attribute9,NA,NA,Test,0,False,Test,XGBClassifier,Female,0.7979,0.8448,0.8000,1.0335,0.9665,0.8000,0.7100,0.7600,0.8310,0.7048
German Credit,Attribute9,NA,NA,Test,0,False,Test,XGBClassifier,Male,1.2532,0.8448,1.2000,0.9665,0.9665,0.8000,0.7100,0.7600,0.8310,0.7048
German Credit,Attribute9,Female,LexicographicGeneticAlgorithmFairFeatureSelection,Validation,1,False,Surrogate,LogisticRegression,Female,0.9645,0.9691,1.0600,0.8612,0.8612,0.9400,0.8833,0.7800,0.8590,0.6619
German Credit,Attribute9,Female,LexicographicGeneticAlgorithmFairFeatureSelection,Validation,1,False,Surrogate,LogisticRegression,Male,1.0368,0.9691,0.9400,1.1388,0.8612,0.9400,0.8833,0.7800,0.8590,0.6619
German Credit,Attribute9,Female,LexicographicGeneticAlgorithmFairFeatureSelection,Validation,1,False,Surrogate,SVC,Female,0.9122,0.9224,1.0200,0.8230,0.8230,0.9800,0.8400,0.8200,0.8846,0.7095
German Credit,Attribute9,Female,LexicographicGeneticAlgorithmFairFeatureSelection,Validation,1,False,Surrogate,SVC,Male,1.0962,0.9224,0.9800,1.1770,0.8230,0.9800,0.8400,0.8200,0.8846,0.7095
German Credit,Attribute9,Female,LexicographicGeneticAlgorithmFairFeatureSelection,Validation,1,False,Surrogate,GaussianNB,Female,0.9762,0.9804,1.0600,0.9282,0.9282,0.9400,0.8667,0.8200,0.8816,0.7286
German Credit,Attribute9,Female,LexicographicGeneticAlgorithmFairFeatureSelection,Validation,1,False,Surrogate,GaussianNB,Male,1.0243,0.9804,0.9400,1.0718,0.9282,0.9400,0.8667,0.8200,0.8816,0.7286
German Credit,Attribute9,Female,LexicographicGeneticAlgorithmFairFeatureSelection,Validation,1,False,Surrogate,DecisionTreeClassifier,Female,1.2787,0.8102,1.0600,1.5550,0.4450,0.9400,0.6400,0.7600,0.8333,0.6952
German Credit,Attribute9,Female,LexicographicGeneticAlgorithmFairFeatureSelection,Validation,1,False,Surrogate,DecisionTreeClassifier,Male,0.7821,0.8102,0.9400,0.4450,0.4450,0.9400,0.6400,0.7600,0.8333,0.6952
German Credit,Attribute9,Female,LexicographicGeneticAlgorithmFairFeatureSelection,Validation,1,False,Surrogate,RandomForestClassifier,Female,1.0273,0.9794,1.0200,1.1244,0.8756,0.9800,0.7300,0.7800,0.8493,0.7095
German Credit,Attribute9,Female,LexicographicGeneticAlgorithmFairFeatureSelection,Validation,1,False,Surrogate,RandomForestClassifier,Male,0.9734,0.9794,0.9800,0.8756,0.8756,0.9800,0.7300,0.7800,0.8493,0.7095
German Credit,Attribute9,Female,LexicographicGeneticAlgorithmFairFeatureSelection,Test,1,False,Surrogate,LogisticRegression,Female,0.9210,0.9336,0.9900,0.9282,0.9282,0.9900,0.8633,0.8200,0.8816,0.7286
German Credit,Attribute9,Female,LexicographicGeneticAlgorithmFairFeatureSelection,Test,1,False,Surrogate,LogisticRegression,Male,1.0857,0.9336,1.0100,1.0718,0.9282,0.9900,0.8633,0.8200,0.8816,0.7286
German Credit,Attribute9,Female,LexicographicGeneticAlgorithmFairFeatureSelection,Test,1,False,Surrogate,SVC,Female,0.9645,0.9691,1.0400,0.9139,0.9139,0.9600,0.8667,0.8000,0.8718,0.6857
German Credit,Attribute9,Female,LexicographicGeneticAlgorithmFairFeatureSelection,Test,1,False,Surrogate,SVC,Male,1.0368,0.9691,0.9600,1.0861,0.9139,0.9600,0.8667,0.8000,0.8718,0.6857
German Credit,Attribute9,Female,LexicographicGeneticAlgorithmFairFeatureSelection,Test,1,False,Surrogate,GaussianNB,Female,0.9659,0.9738,1.0700,0.8900,0.8900,0.9300,0.8533,0.8000,0.8630,0.7333
German Credit,Attribute9,Female,LexicographicGeneticAlgorithmFairFeatureSelection,Test,1,False,Surrogate,GaussianNB,Male,1.0353,0.9738,0.9300,1.1100,0.8900,0.9300,0.8533,0.8000,0.8630,0.7333
German Credit,Attribute9,Female,LexicographicGeneticAlgorithmFairFeatureSelection,Test,1,False,Surrogate,DecisionTreeClassifier,Female,0.8631,0.9028,0.8800,1.0335,0.9665,0.8800,0.6700,0.7200,0.7971,0.6762
German Credit,Attribute9,Female,LexicographicGeneticAlgorithmFairFeatureSelection,Test,1,False,Surrogate,DecisionTreeClassifier,Male,1.1587,0.9028,1.1200,0.9665,0.9665,0.8800,0.6700,0.7200,0.7971,0.6762
German Credit,Attribute9,Female,LexicographicGeneticAlgorithmFairFeatureSelection,Test,1,False,Surrogate,RandomForestClassifier,Female,0.8744,0.8981,0.9800,0.8373,0.8373,0.9800,0.7867,0.8000,0.8649,0.7238
German Credit,Attribute9,Female,LexicographicGeneticAlgorithmFairFeatureSelection,Test,1,False,Surrogate,RandomForestClassifier,Male,1.1436,0.8981,1.0200,1.1627,0.8373,0.9800,0.7867,0.8000,0.8649,0.7238
German Credit,Attribute9,Female,LexicographicGeneticAlgorithmFairFeatureSelection,Validation,1,False,Test,XGBClassifier,Female,0.9845,0.9883,1.0400,0.9809,0.9809,0.9600,0.7200,0.7700,0.8414,0.7024
German Credit,Attribute9,Female,LexicographicGeneticAlgorithmFairFeatureSelection,Validation,1,False,Test,XGBClassifier,Male,1.0158,0.9883,0.9600,1.0191,0.9809,0.9600,0.7200,0.7700,0.8414,0.7024
German Credit,Attribute9,Female,LexicographicGeneticAlgorithmFairFeatureSelection,Test,1,False,Test,XGBClassifier,Female,0.8094,0.8481,0.8300,0.9809,0.9809,0.8300,0.7167,0.7700,0.8414,0.7024
German Credit,Attribute9,Female,LexicographicGeneticAlgorithmFairFeatureSelection,Test,1,False,Test,XGBClassifier,Male,1.2355,0.8481,1.1700,1.0191,0.9809,0.8300,0.7167,0.7700,0.8414,0.7024
German Credit,Attribute9,Female,LexicographicGeneticAlgorithmFairFeatureSelection,Validation,2,False,Surrogate,LogisticRegression,Female,0.9645,0.9691,1.0600,0.8612,0.8612,0.9400,0.8833,0.7800,0.8590,0.6619
German Credit,Attribute9,Female,LexicographicGeneticAlgorithmFairFeatureSelection,Validation,2,False,Surrogate,LogisticRegression,Male,1.0368,0.9691,0.9400,1.1388,0.8612,0.9400,0.8833,0.7800,0.8590,0.6619
German Credit,Attribute9,Female,LexicographicGeneticAlgorithmFairFeatureSelection,Validation,2,False,Surrogate,SVC,Female,0.9122,0.9224,1.0200,0.8230,0.8230,0.9800,0.8400,0.8200,0.8846,0.7095
German Credit,Attribute9,Female,LexicographicGeneticAlgorithmFairFeatureSelection,Validation,2,False,Surrogate,SVC,Male,1.0962,0.9224,0.9800,1.1770,0.8230,0.9800,0.8400,0.8200,0.8846,0.7095
German Credit,Attribute9,Female,LexicographicGeneticAlgorithmFairFeatureSelection,Validation,2,False,Surrogate,GaussianNB,Female,0.9762,0.9804,1.0600,0.9282,0.9282,0.9400,0.8667,0.8200,0.8816,0.7286
German Credit,Attribute9,Female,LexicographicGeneticAlgorithmFairFeatureSelection,Validation,2,False,Surrogate,GaussianNB,Male,1.0243,0.9804,0.9400,1.0718,0.9282,0.9400,0.8667,0.8200,0.8816,0.7286
German Credit,Attribute9,Female,LexicographicGeneticAlgorithmFairFeatureSelection,Validation,2,False,Surrogate,DecisionTreeClassifier,Female,1.2787,0.8102,1.0600,1.5550,0.4450,0.9400,0.6400,0.7600,0.8333,0.6952
German Credit,Attribute9,Female,LexicographicGeneticAlgorithmFairFeatureSelection,Validation,2,False,Surrogate,DecisionTreeClassifier,Male,0.7821,0.8102,0.9400,0.4450,0.4450,0.9400,0.6400,0.7600,0.8333,0.6952
German Credit,Attribute9,Female,LexicographicGeneticAlgorithmFairFeatureSelection,Validation,2,False,Surrogate,RandomForestClassifier,Female,1.0273,0.9794,1.0200,1.1244,0.8756,0.9800,0.7300,0.7800,0.8493,0.7095
German Credit,Attribute9,Female,LexicographicGeneticAlgorithmFairFeatureSelection,Validation,2,False,Surrogate,RandomForestClassifier,Male,0.9734,0.9794,0.9800,0.8756,0.8756,0.9800,0.7300,0.7800,0.8493,0.7095
German Credit,Attribute9,Female,LexicographicGeneticAlgorithmFairFeatureSelection,Test,2,False,Surrogate,LogisticRegression,Female,0.9210,0.9336,0.9900,0.9282,0.9282,0.9900,0.8633,0.8200,0.8816,0.7286
German Credit,Attribute9,Female,LexicographicGeneticAlgorithmFairFeatureSelection,Test,2,False,Surrogate,LogisticRegression,Male,1.0857,0.9336,1.0100,1.0718,0.9282,0.9900,0.8633,0.8200,0.8816,0.7286
German Credit,Attribute9,Female,LexicographicGeneticAlgorithmFairFeatureSelection,Test,2,False,Surrogate,SVC,Female,0.9645,0.9691,1.0400,0.9139,0.9139,0.9600,0.8667,0.8000,0.8718,0.6857
German Credit,Attribute9,Female,LexicographicGeneticAlgorithmFairFeatureSelection,Test,2,False,Surrogate,SVC,Male,1.0368,0.9691,0.9600,1.0861,0.9139,0.9600,0.8667,0.8000,0.8718,0.6857
German Credit,Attribute9,Female,LexicographicGeneticAlgorithmFairFeatureSelection,Test,2,False,Surrogate,GaussianNB,Female,0.9659,0.9738,1.0700,0.8900,0.8900,0.9300,0.8533,0.8000,0.8630,0.7333
German Credit,Attribute9,Female,LexicographicGeneticAlgorithmFairFeatureSelection,Test,2,False,Surrogate,GaussianNB,Male,1.0353,0.9738,0.9300,1.1100,0.8900,0.9300,0.8533,0.8000,0.8630,0.7333
German Credit,Attribute9,Female,LexicographicGeneticAlgorithmFairFeatureSelection,Test,2,False,Surrogate,DecisionTreeClassifier,Female,0.8631,0.9028,0.8800,1.0335,0.9665,0.8800,0.6700,0.7200,0.7971,0.6762
German Credit,Attribute9,Female,LexicographicGeneticAlgorithmFairFeatureSelection,Test,2,False,Surrogate,DecisionTreeClassifier,Male,1.1587,0.9028,1.1200,0.9665,0.9665,0.8800,0.6700,0.7200,0.7971,0.6762
German Credit,Attribute9,Female,LexicographicGeneticAlgorithmFairFeatureSelection,Test,2,False,Surrogate,RandomForestClassifier,Female,0.8744,0.8981,0.9800,0.8373,0.8373,0.9800,0.7867,0.8000,0.8649,0.7238
German Credit,Attribute9,Female,LexicographicGeneticAlgorithmFairFeatureSelection,Test,2,False,Surrogate,RandomForestClassifier,Male,1.1436,0.8981,1.0200,1.1627,0.8373,0.9800,0.7867,0.8000,0.8649,0.7238
German Credit,Attribute9,Female,LexicographicGeneticAlgorithmFairFeatureSelection,Validation,2,False,Test,XGBClassifier,Female,0.9845,0.9883,1.0400,0.9809,0.9809,0.9600,0.7200,0.7700,0.8414,0.7024
German Credit,Attribute9,Female,LexicographicGeneticAlgorithmFairFeatureSelection,Validation,2,False,Test,XGBClassifier,Male,1.0158,0.9883,0.9600,1.0191,0.9809,0.9600,0.7200,0.7700,0.8414,0.7024
German Credit,Attribute9,Female,LexicographicGeneticAlgorithmFairFeatureSelection,Test,2,False,Test,XGBClassifier,Female,0.8094,0.8481,0.8300,0.9809,0.9809,0.8300,0.7167,0.7700,0.8414,0.7024
German Credit,Attribute9,Female,LexicographicGeneticAlgorithmFairFeatureSelection,Test,2,False,Test,XGBClassifier,Male,1.2355,0.8481,1.1700,1.0191,0.9809,0.8300,0.7167,0.7700,0.8414,0.7024
German Credit,Attribute9,Male,LexicographicGeneticAlgorithmFairFeatureSelection,Validation,1,False,Surrogate,LogisticRegression,Female,0.9645,0.9691,1.0600,0.8612,0.8612,0.9400,0.8833,0.7800,0.8590,0.6619
German Credit,Attribute9,Male,LexicographicGeneticAlgorithmFairFeatureSelection,Validation,1,False,Surrogate,LogisticRegression,Male,1.0368,0.9691,0.9400,1.1388,0.8612,0.9400,0.8833,0.7800,0.8590,0.6619
German Credit,Attribute9,Male,LexicographicGeneticAlgorithmFairFeatureSelection,Validation,1,False,Surrogate,SVC,Female,0.9122,0.9224,1.0200,0.8230,0.8230,0.9800,0.8400,0.8200,0.8846,0.7095
German Credit,Attribute9,Male,LexicographicGeneticAlgorithmFairFeatureSelection,Validation,1,False,Surrogate,SVC,Male,1.0962,0.9224,0.9800,1.1770,0.8230,0.9800,0.8400,0.8200,0.8846,0.7095
German Credit,Attribute9,Male,LexicographicGeneticAlgorithmFairFeatureSelection,Validation,1,False,Surrogate,GaussianNB,Female,0.9762,0.9804,1.0600,0.9282,0.9282,0.9400,0.8667,0.8200,0.8816,0.7286
German Credit,Attribute9,Male,LexicographicGeneticAlgorithmFairFeatureSelection,Validation,1,False,Surrogate,GaussianNB,Male,1.0243,0.9804,0.9400,1.0718,0.9282,0.9400,0.8667,0.8200,0.8816,0.7286
German Credit,Attribute9,Male,LexicographicGeneticAlgorithmFairFeatureSelection,Validation,1,False,Surrogate,DecisionTreeClassifier,Female,1.2787,0.8102,1.0600,1.5550,0.4450,0.9400,0.6400,0.7600,0.8333,0.6952
German Credit,Attribute9,Male,LexicographicGeneticAlgorithmFairFeatureSelection,Validation,1,False,Surrogate,DecisionTreeClassifier,Male,0.7821,0.8102,0.9400,0.4450,0.4450,0.9400,0.6400,0.7600,0.8333,0.6952
German Credit,Attribute9,Male,LexicographicGeneticAlgorithmFairFeatureSelection,Validation,1,False,Surrogate,RandomForestClassifier,Female,1.0273,0.9794,1.0200,1.1244,0.8756,0.9800,0.7300,0.7800,0.8493,0.7095
German Credit,Attribute9,Male,LexicographicGeneticAlgorithmFairFeatureSelection,Validation,1,False,Surrogate,RandomForestClassifier,Male,0.9734,0.9794,0.9800,0.8756,0.8756,0.9800,0.7300,0.7800,0.8493,0.7095
German Credit,Attribute9,Male,LexicographicGeneticAlgorithmFairFeatureSelection,Test,1,False,Surrogate,LogisticRegression,Female,0.9210,0.9336,0.9900,0.9282,0.9282,0.9900,0.8633,0.8200,0.8816,0.7286
German Credit,Attribute9,Male,LexicographicGeneticAlgorithmFairFeatureSelection,Test,1,False,Surrogate,LogisticRegression,Male,1.0857,0.9336,1.0100,1.0718,0.9282,0.9900,0.8633,0.8200,0.8816,0.7286
German Credit,Attribute9,Male,LexicographicGeneticAlgorithmFairFeatureSelection,Test,1,False,Surrogate,SVC,Female,0.9645,0.9691,1.0400,0.9139,0.9139,0.9600,0.8667,0.8000,0.8718,0.6857
German Credit,Attribute9,Male,LexicographicGeneticAlgorithmFairFeatureSelection,Test,1,False,Surrogate,SVC,Male,1.0368,0.9691,0.9600,1.0861,0.9139,0.9600,0.8667,0.8000,0.8718,0.6857
German Credit,Attribute9,Male,LexicographicGeneticAlgorithmFairFeatureSelection,Test,1,False,Surrogate,GaussianNB,Female,0.9659,0.9738,1.0700,0.8900,0.8900,0.9300,0.8533,0.8000,0.8630,0.7333
German Credit,Attribute9,Male,LexicographicGeneticAlgorithmFairFeatureSelection,Test,1,False,Surrogate,GaussianNB,Male,1.0353,0.9738,0.9300,1.1100,0.8900,0.9300,0.8533,0.8000,0.8630,0.7333
German Credit,Attribute9,Male,LexicographicGeneticAlgorithmFairFeatureSelection,Test,1,False,Surrogate,DecisionTreeClassifier,Female,0.8631,0.9028,0.8800,1.0335,0.9665,0.8800,0.6700,0.7200,0.7971,0.6762
German Credit,Attribute9,Male,LexicographicGeneticAlgorithmFairFeatureSelection,Test,1,False,Surrogate,DecisionTreeClassifier,Male,1.1587,0.9028,1.1200,0.9665,0.9665,0.8800,0.6700,0.7200,0.7971,0.6762
German Credit,Attribute9,Male,LexicographicGeneticAlgorithmFairFeatureSelection,Test,1,False,Surrogate,RandomForestClassifier,Female,0.8744,0.8981,0.9800,0.8373,0.8373,0.9800,0.7867,0.8000,0.8649,0.7238
German Credit,Attribute9,Male,LexicographicGeneticAlgorithmFairFeatureSelection,Test,1,False,Surrogate,RandomForestClassifier,Male,1.1436,0.8981,1.0200,1.1627,0.8373,0.9800,0.7867,0.8000,0.8649,0.7238
German Credit,Attribute9,Male,LexicographicGeneticAlgorithmFairFeatureSelection,Validation,1,False,Test,XGBClassifier,Female,0.9845,0.9883,1.0400,0.9809,0.9809,0.9600,0.7200,0.7700,0.8414,0.7024
German Credit,Attribute9,Male,LexicographicGeneticAlgorithmFairFeatureSelection,Validation,1,False,Test,XGBClassifier,Male,1.0158,0.9883,0.9600,1.0191,0.9809,0.9600,0.7200,0.7700,0.8414,0.7024
German Credit,Attribute9,Male,LexicographicGeneticAlgorithmFairFeatureSelection,Test,1,False,Test,XGBClassifier,Female,0.8094,0.8481,0.8300,0.9809,0.9809,0.8300,0.7167,0.7700,0.8414,0.7024
German Credit,Attribute9,Male,LexicographicGeneticAlgorithmFairFeatureSelection,Test,1,False,Test,XGBClassifier,Male,1.2355,0.8481,1.1700,1.0191,0.9809,0.8300,0.7167,0.7700,0.8414,0.7024
German Credit,Attribute9,Male,LexicographicGeneticAlgorithmFairFeatureSelection,Validation,2,False,Surrogate,LogisticRegression,Female,0.9645,0.9691,1.0600,0.8612,0.8612,0.9400,0.8833,0.7800,0.8590,0.6619
German Credit,Attribute9,Male,LexicographicGeneticAlgorithmFairFeatureSelection,Validation,2,False,Surrogate,LogisticRegression,Male,1.0368,0.9691,0.9400,1.1388,0.8612,0.9400,0.8833,0.7800,0.8590,0.6619
German Credit,Attribute9,Male,LexicographicGeneticAlgorithmFairFeatureSelection,Validation,2,False,Surrogate,SVC,Female,0.9122,0.9224,1.0200,0.8230,0.8230,0.9800,0.8400,0.8200,0.8846,0.7095
German Credit,Attribute9,Male,LexicographicGeneticAlgorithmFairFeatureSelection,Validation,2,False,Surrogate,SVC,Male,1.0962,0.9224,0.9800,1.1770,0.8230,0.9800,0.8400,0.8200,0.8846,0.7095
