dataset,protected_attribute,unbiasing_algorithm,data,classifier_type,classification_algorithm,value,disparate_impact_ssd,discrimination_score_ssd,true_positive_rate_diff_ssd,false_positive_rate_diff_ssd,false_positive_error_rate_balance_score_ssd,false_negative_error_rate_balance_score_ssd,consistency_ssd,confusion_matrix,accuracy_ssd,f1_score_ssd,recall_ssd,precision_ssd,mathews_cc_ssd,roc_curve,auc_ssd,sensitivity_ssd,specificity_ssd
Adult Income,race,Massaging,Test,Surrogate,DecisionTreeClassifier,Other,4.1508,0.2642,2.3534,0.028,0.0222,2.349,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adult Income,race,Massaging,Test,Surrogate,DecisionTreeClassifier,White,30.0767,0.5534,0.6083,0.2351,0.2352,0.6056,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adult Income,race,Massaging,Test,Surrogate,RandomForestClassifier,Amer-Indian-Eskimo,8.2667,0.4228,1.389,0.0612,0.0533,1.0284,0.0,"[6432, 785, 945, 1363]",0.9877,4.5313,5.061,3.991,7.6834,"[[0.0, 0.10877095746154912, 1.0], [0.0, 0.5905545927209706, 1.0], [inf, 1.0, 0.0]]",2.0189,5.061,0.3518
Adult Income,race,Massaging,Test,Surrogate,RandomForestClassifier,Asian-Pac-Islander,1.0486,0.0521,0.0473,0.0144,0.016,0.045,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adult Income,race,Massaging,Test,Surrogate,RandomForestClassifier,Black,10.4041,0.5913,0.9692,0.119,0.1185,0.9241,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adult Income,race,Massaging,Test,Surrogate,RandomForestClassifier,Other,16.042,0.8242,4.877,0.1283,0.1215,4.9083,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adult Income,race,Massaging,Test,Surrogate,RandomForestClassifier,White,20.37,0.3538,0.3748,0.072,0.0721,0.3786,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adult Income,race,Massaging,Validation,Test,XGBClassifier,Amer-Indian-Eskimo,12.9986,0.7426,3.5968,0.1154,0.1068,3.119,0.0,"[3212, 396, 416, 738]",0.8727,3.7902,3.9238,3.6561,6.5598,"[[0.0, 0.10975609756097561, 1.0], [0.0, 0.6395147313691508, 1.0], [inf, 1.0, 0.0]]",1.6643,3.9238,0.36
Adult Income,race,Massaging,Validation,Test,XGBClassifier,Asian-Pac-Islander,0.0447,0.0023,0.0211,0.0183,0.0192,0.0148,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adult Income,race,Massaging,Validation,Test,XGBClassifier,Black,12.064,0.7717,1.1292,0.1691,0.1709,1.1045,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adult Income,race,Massaging,Validation,Test,XGBClassifier,Other,10.9771,0.6255,0.7591,0.3673,0.3666,0.7573,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adult Income,race,Massaging,Validation,Test,XGBClassifier,White,36.5759,0.5455,0.443,0.1596,0.1605,0.4508,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
