dataset,protected_attribute,unbiasing_algorithm,data,classifier_type,classification_algorithm,value,disparate_impact,discrimination_score,true_positive_rate_diff,false_positive_rate_diff,false_positive_error_rate_balance_score,false_negative_error_rate_balance_score,consistency,confusion_matrix,accuracy,f1_score,recall,precision,mathews_cc,roc_curve,auc,sensitivity,specificity
Adult Income,race,Massaging,Validation,Surrogate,LogisticRegression, Other,0.1715,0.8256,0.4759,0.9302,0.9314,0.4757,0.9999,,,,,,,,,,
Adult Income,race,Massaging,Validation,Surrogate,LogisticRegression, White,2.8756,0.8492,1.2607,1.0805,0.9197,0.7414,0.9997,,,,,,,,,,
Adult Income,race,Massaging,Validation,Surrogate,SVC, Amer-Indian-Eskimo,0.2923,0.8518,1.0327,0.8731,0.8731,0.9673,1.0,"[2161, 310, 418, 367]",0.7764,0.5021,0.4675,0.5421,0.3605,"[[0.0, 0.1254552812626467, 1.0], [0.0, 0.467515923566879, 1.0], [inf, 1.0, 0.0]]",0.671,0.4675,0.8745
Adult Income,race,Massaging,Validation,Surrogate,SVC, Asian-Pac-Islander,1.0829,0.9828,1.1273,0.9635,0.9656,0.8705,0.9998,,,,,,,,,,
Adult Income,race,Massaging,Validation,Surrogate,SVC, Black,0.4973,0.8902,0.9115,0.9368,0.9372,0.9128,0.9998,,,,,,,,,,
Adult Income,race,Massaging,Validation,Surrogate,SVC, Other,1.9864,0.7966,1.2,1.2554,0.748,0.8001,1.0,,,,,,,,,,
Adult Income,race,Massaging,Validation,Surrogate,SVC, White,1.4773,0.9295,0.9887,1.046,0.9544,0.9868,0.9995,,,,,,,,,,
Adult Income,race,Massaging,Validation,Surrogate,GaussianNB, Amer-Indian-Eskimo,0.4971,0.8451,0.7855,0.9266,0.929,0.7855,1.0,"[2033, 438, 225, 560]",0.7964,0.6282,0.7134,0.5611,0.4974,"[[0.0, 0.1772561715904492, 1.0], [0.0, 0.7133757961783439, 1.0], [inf, 1.0, 0.0]]",0.7681,0.7134,0.8227
Adult Income,race,Massaging,Validation,Surrogate,GaussianNB, Asian-Pac-Islander,1.0121,0.9963,0.9849,0.9943,0.9936,0.99,0.9998,,,,,,,,,,
Adult Income,race,Massaging,Validation,Surrogate,GaussianNB, Black,0.3547,0.7891,0.7846,0.8665,0.8666,0.7889,1.0,,,,,,,,,,
Adult Income,race,Massaging,Validation,Surrogate,GaussianNB, Other,0.7058,0.9096,0.9531,0.9848,0.9893,0.9531,1.0,,,,,,,,,,
Adult Income,race,Massaging,Validation,Surrogate,GaussianNB, White,1.979,0.8366,1.1368,1.1042,0.8956,0.8629,1.0,,,,,,,,,,
Adult Income,race,Massaging,Validation,Surrogate,DecisionTreeClassifier, Amer-Indian-Eskimo,0.2026,0.7591,0.4827,0.8364,0.8381,0.4827,0.9999,"[1899, 572, 381, 404]",0.7073,0.4588,0.5146,0.4139,0.2644,"[[0.0, 0.23148522865236745, 1.0], [0.0, 0.5146496815286624, 1.0], [inf, 1.0, 0.0]]",0.6416,0.5146,0.7685
Adult Income,race,Massaging,Validation,Surrogate,DecisionTreeClassifier, Asian-Pac-Islander,0.7112,0.9126,0.9286,0.8984,0.8969,0.9272,1.0,,,,,,,,,,
Adult Income,race,Massaging,Validation,Surrogate,DecisionTreeClassifier, Black,0.3495,0.7921,0.888,0.8177,0.818,0.8902,0.9989,,,,,,,,,,
Adult Income,race,Massaging,Validation,Surrogate,DecisionTreeClassifier, Other,1.3704,0.8893,0.8179,1.1892,0.813,0.818,0.9999,,,,,,,,,,
Adult Income,race,Massaging,Validation,Surrogate,DecisionTreeClassifier, White,2.2051,0.822,1.1294,1.1543,0.8457,0.8706,0.9989,,,,,,,,,,
Adult Income,race,Massaging,Validation,Surrogate,RandomForestClassifier, Amer-Indian-Eskimo,0.3571,0.8347,0.4673,0.9357,0.938,0.4673,1.0,"[2055, 416, 369, 416]",0.7589,0.5145,0.5299,0.5,0.3546,"[[0.0, 0.16835289356535815, 1.0], [0.0, 0.5299363057324841, 1.0], [inf, 1.0, 0.0]]",0.6808,0.5299,0.8316
Adult Income,race,Massaging,Validation,Surrogate,RandomForestClassifier, Asian-Pac-Islander,0.7495,0.9355,0.8752,0.9503,0.9485,0.8731,0.9998,,,,,,,,,,
Adult Income,race,Massaging,Validation,Surrogate,RandomForestClassifier, Black,0.3168,0.8132,0.9512,0.8442,0.8437,0.955,0.9995,,,,,,,,,,
Adult Income,race,Massaging,Validation,Surrogate,RandomForestClassifier, Other,1.1803,0.954,0.8025,1.1167,0.8754,0.8026,0.9999,,,,,,,,,,
Adult Income,race,Massaging,Validation,Surrogate,RandomForestClassifier, White,2.2747,0.8441,1.1164,1.1206,0.8794,0.884,0.9991,,,,,,,,,,
Adult Income,race,Massaging,Test,Surrogate,LogisticRegression, Amer-Indian-Eskimo,0.0994,0.8071,0.4864,0.9055,0.8999,0.4862,1.0,"[4364, 581, 766, 802]",0.7932,0.5435,0.5115,0.5799,0.4119,"[[0.0, 0.11749241658240647, 1.0], [0.0, 0.5114795918367347, 1.0], [inf, 1.0, 0.0]]",0.697,0.5115,0.8825
Adult Income,race,Massaging,Test,Surrogate,LogisticRegression, Asian-Pac-Islander,0.7121,0.9383,0.8433,0.9578,0.9597,0.8399,1.0,,,,,,,,,,
Adult Income,race,Massaging,Test,Surrogate,LogisticRegression, Black,0.2644,0.832,0.738,0.9053,0.9048,0.7352,1.0,,,,,,,,,,
Adult Income,race,Massaging,Test,Surrogate,LogisticRegression, Other,0.3344,0.8579,0.4871,0.96,0.9621,0.4869,1.0,,,,,,,,,,
Adult Income,race,Massaging,Test,Surrogate,LogisticRegression, White,2.9835,0.8437,1.262,1.0881,0.9116,0.7404,1.0,,,,,,,,,,
Adult Income,race,Massaging,Test,Surrogate,SVC, Amer-Indian-Eskimo,0.2742,0.8592,0.7567,0.9159,0.9168,0.7175,0.9999,"[4355, 590, 903, 665]",0.7708,0.4711,0.4241,0.5299,0.3304,"[[0.0, 0.11931243680485339, 1.0], [0.0, 0.42410714285714285, 1.0], [inf, 1.0, 0.0]]",0.6524,0.4241,0.8807
Adult Income,race,Massaging,Test,Surrogate,SVC, Asian-Pac-Islander,1.1701,0.9674,1.1391,0.9867,0.9848,0.8657,0.9999,,,,,,,,,,
Adult Income,race,Massaging,Test,Surrogate,SVC, Black,0.4133,0.8802,0.8391,0.9314,0.9315,0.8408,0.9998,,,,,,,,,,
Adult Income,race,Massaging,Test,Surrogate,SVC, Other,0.8642,0.9738,0.5746,1.0631,0.9387,0.5745,1.0,,,,,,,,,,
Adult Income,race,Massaging,Test,Surrogate,SVC, White,1.743,0.9124,1.067,1.0546,0.945,0.9354,0.9998,,,,,,,,,,
Adult Income,race,Massaging,Test,Surrogate,GaussianNB, Amer-Indian-Eskimo,0.6326,0.8888,0.7645,0.9896,0.9876,0.7387,1.0,"[4060, 885, 488, 1080]",0.7892,0.6114,0.6888,0.5496,0.4749,"[[0.0, 0.1789686552072801, 1.0], [0.0, 0.6887755102040817, 1.0], [inf, 1.0, 0.0]]",0.7549,0.6888,0.821
Adult Income,race,Massaging,Test,Surrogate,GaussianNB, Asian-Pac-Islander,1.0764,0.977,1.0818,0.9823,0.9839,0.9179,0.9999,,,,,,,,,,
Adult Income,race,Massaging,Test,Surrogate,GaussianNB, Black,0.4581,0.8275,0.8905,0.8936,0.8931,0.8902,0.9999,,,,,,,,,,
Adult Income,race,Massaging,Test,Surrogate,GaussianNB, Other,0.4322,0.8279,0.5596,0.9373,0.9404,0.5097,1.0,,,,,,,,,,
Adult Income,race,Massaging,Test,Surrogate,GaussianNB, White,1.7173,0.8658,1.062,1.0862,0.9138,0.9402,0.9998,,,,,,,,,,
Adult Income,race,Massaging,Test,Surrogate,DecisionTreeClassifier, Amer-Indian-Eskimo,0.4993,0.8507,0.7675,0.9004,0.8975,0.7803,0.9999,"[3803, 1142, 777, 791]",0.7054,0.4519,0.5045,0.4092,0.256,"[[0.0, 0.23094034378159758, 1.0], [0.0, 0.5044642857142857, 1.0], [inf, 1.0, 0.0]]",0.6368,0.5045,0.7691
Adult Income,race,Massaging,Test,Surrogate,DecisionTreeClassifier, Asian-Pac-Islander,0.9324,0.9799,1.0555,0.9418,0.9438,0.949,0.9997,,,,,,,,,,
Adult Income,race,Massaging,Test,Surrogate,DecisionTreeClassifier, Black,0.3694,0.8008,0.9237,0.8219,0.8224,0.9202,0.9993,,,,,,,,,,
Adult Income,race,Massaging,Test,Surrogate,DecisionTreeClassifier, Other,0.6801,0.9048,0.7446,0.9636,0.9687,0.6946,0.9999,,,,,,,,,,
Adult Income,race,Massaging,Test,Surrogate,DecisionTreeClassifier, White,2.0145,0.8387,1.047,1.1511,0.8487,0.9533,0.9995,,,,,,,,,,
Adult Income,race,Massaging,Test,Surrogate,RandomForestClassifier, Amer-Indian-Eskimo,0.3911,0.851,0.4877,0.9491,0.9518,0.4875,0.9999,"[4160, 785, 768, 800]",0.7616,0.5075,0.5102,0.5047,0.3502,"[[0.0, 0.15874620829120323, 1.0], [0.0, 0.5102040816326531, 1.0], [inf, 1.0, 0.0]]",0.6757,0.5102,0.8413
Adult Income,race,Massaging,Test,Surrogate,RandomForestClassifier, Asian-Pac-Islander,0.9062,0.9771,1.0259,0.9459,0.9441,0.9736,0.9999,,,,,,,,,,
Adult Income,race,Massaging,Test,Surrogate,RandomForestClassifier, Black,0.3244,0.8242,0.8909,0.8668,0.8666,0.8868,0.9996,,,,,,,,,,
Adult Income,race,Massaging,Test,Surrogate,RandomForestClassifier, Other,0.438,0.8626,0.4883,0.9578,0.9609,0.4882,1.0,,,,,,,,,,
Adult Income,race,Massaging,Test,Surrogate,RandomForestClassifier, White,2.2747,0.8515,1.098,1.1153,0.8846,0.9014,0.9996,,,,,,,,,,
Adult Income,race,Massaging,Validation,Test,XGBClassifier, Amer-Indian-Eskimo,0.217,0.7792,0.4148,0.8848,0.8864,0.4149,1.0,"[2017, 454, 328, 457]",0.7598,0.5389,0.5822,0.5016,0.3797,"[[0.0, 0.1837312828814245, 1.0], [0.0, 0.5821656050955414, 1.0], [inf, 1.0, 0.0]]",0.6992,0.5822,0.8163
Adult Income,race,Massaging,Validation,Test,XGBClassifier, Asian-Pac-Islander,0.6145,0.8908,0.9335,0.8636,0.8647,0.9341,0.9998,,,,,,,,,,
Adult Income,race,Massaging,Validation,Test,XGBClassifier, Black,0.7146,0.9179,1.0099,0.9626,0.9623,0.9921,0.9998,,,,,,,,,,
Adult Income,race,Massaging,Validation,Test,XGBClassifier, Other,1.2077,0.942,0.7505,1.1555,0.849,0.7502,1.0,,,,,,,,,,
Adult Income,race,Massaging,Validation,Test,XGBClassifier, White,1.4969,0.9024,1.0662,1.0555,0.9444,0.932,0.9998,,,,,,,,,,
Adult Income,race,Massaging,Test,Test,XGBClassifier, Amer-Indian-Eskimo,0.3131,0.8133,0.6411,0.8864,0.8882,0.6022,0.9999,"[4032, 913, 723, 845]",0.7488,0.5081,0.5389,0.4807,0.3412,"[[0.0, 0.1846309403437816, 1.0], [0.0, 0.5389030612244898, 1.0], [inf, 1.0, 0.0]]",0.6771,0.5389,0.8154
Adult Income,race,Massaging,Test,Test,XGBClassifier, Asian-Pac-Islander,0.6854,0.9142,0.9238,0.8973,0.8972,0.9226,0.9999,,,,,,,,,,
