dataset,attribute,class,algorithm,set,num_iterations,error,classifier_type,classification_algorithm,value,fairness_disparate_impact,fairness_discrimination_score,fairness_true_positive_rate_diff,fairness_false_positive_rate_diff,fairness_false_positive_error_rate_balance_score,fairness_false_negative_error_rate_balance_score,fairness_consistency,performance_accuracy,performance_f1_score,performance_auc
German Credit,Attribute9,Female,Reweighing,Validation,1,False,Surrogate,GaussianNB,Female,1.1447,0.9266,1.0100,1.2967,0.7033,0.9900,0.7433,0.6700,0.7317,0.6881
German Credit,Attribute9,Female,Reweighing,Validation,1,False,Surrogate,GaussianNB,Male,0.8736,0.9266,0.9900,0.7033,0.7033,0.9900,0.7433,0.6700,0.7317,0.6881
German Credit,Attribute9,Female,Reweighing,Validation,1,False,Surrogate,DecisionTreeClassifier,Female,1.2719,0.8345,1.1800,1.2297,0.7703,0.8200,0.6367,0.7200,0.7941,0.6857
German Credit,Attribute9,Female,Reweighing,Validation,1,False,Surrogate,DecisionTreeClassifier,Male,0.7862,0.8345,0.8200,0.7703,0.7703,0.8200,0.6367,0.7200,0.7941,0.6857
German Credit,Attribute9,Female,Reweighing,Validation,1,False,Surrogate,RandomForestClassifier,Female,1.0273,0.9794,1.0200,1.1244,0.8756,0.9800,0.7667,0.7800,0.8493,0.7095
German Credit,Attribute9,Female,Reweighing,Validation,1,False,Surrogate,RandomForestClassifier,Male,0.9734,0.9794,0.9800,0.8756,0.8756,0.9800,0.7667,0.7800,0.8493,0.7095
German Credit,Attribute9,Female,Reweighing,Test,1,False,Surrogate,LogisticRegression,Female,0.8903,0.9126,0.9300,0.9809,0.9809,0.9300,0.8900,0.7900,0.8571,0.7167
German Credit,Attribute9,Female,Reweighing,Test,1,False,Surrogate,LogisticRegression,Male,1.1232,0.9126,1.0700,1.0191,0.9809,0.9300,0.8900,0.7900,0.8571,0.7167
German Credit,Attribute9,Female,Reweighing,Test,1,False,Surrogate,SVC,Female,1.0448,0.9682,1.0100,1.1770,0.8230,0.9900,0.8867,0.7600,0.8310,0.7048
German Credit,Attribute9,Female,Reweighing,Test,1,False,Surrogate,SVC,Male,0.9572,0.9682,0.9900,0.8230,0.8230,0.9900,0.8867,0.7600,0.8310,0.7048
German Credit,Attribute9,Female,Reweighing,Test,1,False,Surrogate,GaussianNB,Female,0.8038,0.8976,0.9000,0.9569,0.9569,0.9000,0.6833,0.6100,0.6723,0.6357
German Credit,Attribute9,Female,Reweighing,Test,1,False,Surrogate,GaussianNB,Male,1.2441,0.8976,1.1000,1.0431,0.9569,0.9000,0.6833,0.6100,0.6723,0.6357
German Credit,Attribute9,Female,Reweighing,Test,1,False,Surrogate,DecisionTreeClassifier,Female,1.1129,0.9280,1.0100,1.2679,0.7321,0.9900,0.6467,0.6800,0.7647,0.6381
German Credit,Attribute9,Female,Reweighing,Test,1,False,Surrogate,DecisionTreeClassifier,Male,0.8986,0.9280,0.9900,0.7321,0.7321,0.9900,0.6467,0.6800,0.7647,0.6381
German Credit,Attribute9,Female,Reweighing,Test,1,False,Surrogate,RandomForestClassifier,Female,0.9659,0.9738,0.9700,1.0718,0.9282,0.9700,0.8100,0.7600,0.8356,0.6857
German Credit,Attribute9,Female,Reweighing,Test,1,False,Surrogate,RandomForestClassifier,Male,1.0353,0.9738,1.0300,0.9282,0.9282,0.9700,0.8100,0.7600,0.8356,0.6857
German Credit,Attribute9,Female,Reweighing,Validation,1,False,Test,XGBClassifier,Female,1.0273,0.9794,1.0000,1.1770,0.8230,1.0000,0.7333,0.8000,0.8630,0.7333
German Credit,Attribute9,Female,Reweighing,Validation,1,False,Test,XGBClassifier,Male,0.9734,0.9794,1.0000,0.8230,0.8230,1.0000,0.7333,0.8000,0.8630,0.7333
German Credit,Attribute9,Female,Reweighing,Test,1,False,Test,XGBClassifier,Female,0.9239,0.9416,0.9400,1.0191,0.9809,0.9400,0.7767,0.7300,0.8138,0.6548
German Credit,Attribute9,Female,Reweighing,Test,1,False,Test,XGBClassifier,Male,1.0823,0.9416,1.0600,0.9809,0.9809,0.9400,0.7767,0.7300,0.8138,0.6548
