genotype,performance,disparate_impact,discrimination_score,true_positive_rate_diff,false_positive_rate_diff,false_positive_error_rate_balance_score,false_negative_error_rate_balance_score,consistency
"[1, 0]",-1,0.0917,0.0596,0.0172,0.0562,0.0562,0.0172,0.0044
"[1, 0]",-1,0.0917,0.0596,0.0172,0.0562,0.0562,0.0172,0.0044
"[1, 0]",-1,0.0917,0.0596,0.0172,0.0562,0.0562,0.0172,0.0044
"[1, 0]",-1,0.0917,0.0596,0.0172,0.0562,0.0562,0.0172,0.0044
"[1, 0]",-1,0.0917,0.0596,0.0172,0.0562,0.0562,0.0172,0.0044
"[1, 0]",-1,0.0917,0.0596,0.0172,0.0562,0.0562,0.0172,0.0044
"[1, 0]",-1,0.0917,0.0596,0.0172,0.0562,0.0562,0.0172,0.0044
"[1, 0]",-1,0.0917,0.0596,0.0172,0.0562,0.0562,0.0172,0.0044
"[1, 0]",-1,0.0917,0.0596,0.0172,0.0562,0.0562,0.0172,0.0044
"[1, 0]",-1,0.0917,0.0596,0.0172,0.0562,0.0562,0.0172,0.0044
"[1, 0]",-1,0.0917,0.0596,0.0172,0.0562,0.0562,0.0172,0.0044
"[1, 0]",-1,0.0917,0.0596,0.0172,0.0562,0.0562,0.0172,0.0044
"[1, 0]",-1,0.0917,0.0596,0.0172,0.0562,0.0562,0.0172,0.0044
"[1, 0]",-1,0.0917,0.0596,0.0172,0.0562,0.0562,0.0172,0.0044
"[1, 0]",-1,0.0917,0.0596,0.0172,0.0562,0.0562,0.0172,0.0044
"[1, 0]",-1,0.0917,0.0596,0.0172,0.0562,0.0562,0.0172,0.0044
"[1, 0]",-1,0.0917,0.0596,0.0172,0.0562,0.0562,0.0172,0.0044
"[1, 0]",-1,0.0917,0.0596,0.0172,0.0562,0.0562,0.0172,0.0044
"[1, 0]",-1,0.0917,0.0596,0.0172,0.0562,0.0562,0.0172,0.0044
"[1, 0]",-1,0.0917,0.0596,0.0172,0.0562,0.0562,0.0172,0.0044
"[1, 0]",-1,0.0917,0.0596,0.0172,0.0562,0.0562,0.0172,0.0044
"[1, 0]",-1,0.0917,0.0596,0.0172,0.0562,0.0562,0.0172,0.0044
"[1, 0]",-1,0.0917,0.0596,0.0172,0.0562,0.0562,0.0172,0.0044
"[1, 0]",-1,0.0917,0.0596,0.0172,0.0562,0.0562,0.0172,0.0044
"[1, 0]",-1,0.0917,0.0596,0.0172,0.0562,0.0562,0.0172,0.0044
"[1, 0]",-1,0.0917,0.0596,0.0172,0.0562,0.0562,0.0172,0.0044
"[1, 0]",-1,0.0917,0.0596,0.0172,0.0562,0.0562,0.0172,0.0044
"[1, 0]",-1,0.0917,0.0596,0.0172,0.0562,0.0562,0.0172,0.0044
"[1, 0]",-1,0.0917,0.0596,0.0172,0.0562,0.0562,0.0172,0.0044
"[1, 0]",-1,0.0917,0.0596,0.0172,0.0562,0.0562,0.0172,0.0044
