dataset,protected_attribute,unbiasing_algorithm,data,classifier_type,classification_algorithm,value,disparate_impact,discrimination_score,true_positive_rate_diff,false_positive_rate_diff,false_positive_error_rate_balance_score,false_negative_error_rate_balance_score,consistency,confusion_matrix,accuracy,f1_score,recall,precision,mathews_cc,roc_curve,auc,sensitivity,specificity
Adult Income,race,PermutationGeneticAlgorithm,Validation,Surrogate,SVC,Amer-Indian-Eskimo,0.128,0.8596,0.5297,0.9624,0.9636,0.5296,1.0,"[3388, 220, 614, 540]",0.8249,0.5643,0.4679,0.7105,0.4762,"[[0.0, 0.06097560975609756, 1.0], [0.0, 0.4679376083188908, 1.0], [inf, 1.0, 0.0]]",0.7035,0.4679,0.939
Adult Income,race,PermutationGeneticAlgorithm,Validation,Surrogate,SVC,Asian-Pac-Islander,1.4851,0.9237,1.1568,1.0262,0.9745,0.8373,0.9999,,,,,,,,,,
Adult Income,race,PermutationGeneticAlgorithm,Validation,Surrogate,SVC,Black,0.3208,0.8842,0.8555,0.9516,0.9512,0.8523,0.9999,,,,,,,,,,
Adult Income,race,PermutationGeneticAlgorithm,Validation,Surrogate,SVC,Other,0.4454,0.9111,1.1325,0.9384,0.9384,0.8674,1.0,,,,,,,,,,
Adult Income,race,PermutationGeneticAlgorithm,Validation,Surrogate,SVC,White,1.8596,0.921,1.0361,1.0372,0.9624,0.9626,0.9999,,,,,,,,,,
Adult Income,race,PermutationGeneticAlgorithm,Validation,Surrogate,GaussianNB,Amer-Indian-Eskimo,0.0623,0.6902,0.265,0.8237,0.8249,0.2648,1.0,"[2893, 715, 310, 844]",0.7848,0.6222,0.7314,0.5414,0.4869,"[[0.0, 0.19817073170731708, 1.0], [0.0, 0.7313691507798961, 1.0], [inf, 1.0, 0.0]]",0.7666,0.7314,0.8018
Adult Income,race,PermutationGeneticAlgorithm,Validation,Surrogate,GaussianNB,Asian-Pac-Islander,0.7785,0.927,0.8836,0.9129,0.9136,0.8898,0.9999,,,,,,,,,,
Adult Income,race,PermutationGeneticAlgorithm,Validation,Surrogate,GaussianNB,Black,0.3935,0.7893,0.8804,0.8565,0.8564,0.8812,0.9999,,,,,,,,,,
Adult Income,race,PermutationGeneticAlgorithm,Validation,Surrogate,GaussianNB,Other,0.5434,0.8499,1.069,0.8829,0.8864,0.9311,1.0,,,,,,,,,,
Adult Income,race,PermutationGeneticAlgorithm,Validation,Surrogate,GaussianNB,White,2.2719,0.8007,1.1532,1.1456,0.8546,0.8491,0.9999,,,,,,,,,,
Adult Income,race,PermutationGeneticAlgorithm,Validation,Surrogate,DecisionTreeClassifier,Amer-Indian-Eskimo,0.6992,0.9335,0.6241,1.033,0.9719,0.6371,0.9998,"[3167, 441, 545, 609]",0.7929,0.5526,0.5277,0.58,0.4191,"[[0.0, 0.12222838137472283, 1.0], [0.0, 0.5277296360485269, 1.0], [inf, 1.0, 0.0]]",0.7028,0.5277,0.8778
Adult Income,race,PermutationGeneticAlgorithm,Validation,Surrogate,DecisionTreeClassifier,Asian-Pac-Islander,1.3262,0.9288,1.0205,1.0707,0.9297,0.9769,0.9993,,,,,,,,,,
Adult Income,race,PermutationGeneticAlgorithm,Validation,Surrogate,DecisionTreeClassifier,Black,0.567,0.9004,0.948,0.9554,0.9558,0.9422,0.9994,,,,,,,,,,
Adult Income,race,PermutationGeneticAlgorithm,Validation,Surrogate,DecisionTreeClassifier,Other,0.7001,0.9337,1.2737,0.9319,0.9342,0.7265,0.9997,,,,,,,,,,
Adult Income,race,PermutationGeneticAlgorithm,Validation,Surrogate,DecisionTreeClassifier,White,1.3798,0.9368,1.0329,1.02,0.9801,0.9695,0.9994,,,,,,,,,,
Adult Income,race,PermutationGeneticAlgorithm,Validation,Surrogate,RandomForestClassifier,Amer-Indian-Eskimo,0.6207,0.9181,0.5789,1.0186,0.9753,0.5918,0.9999,"[3245, 363, 493, 661]",0.8202,0.607,0.5728,0.6455,0.4925,"[[0.0, 0.10060975609756098, 1.0], [0.0, 0.5727902946273831, 1.0], [inf, 1.0, 0.0]]",0.7361,0.5728,0.8994
Adult Income,race,PermutationGeneticAlgorithm,Validation,Surrogate,RandomForestClassifier,Asian-Pac-Islander,1.2002,0.9572,1.0478,1.0134,0.9859,0.9459,0.9997,,,,,,,,,,
Adult Income,race,PermutationGeneticAlgorithm,Validation,Surrogate,RandomForestClassifier,Black,0.3772,0.8577,0.9007,0.9233,0.9237,0.8949,0.9998,,,,,,,,,,
Adult Income,race,PermutationGeneticAlgorithm,Validation,Surrogate,RandomForestClassifier,Other,0.4407,0.8792,1.2281,0.8984,0.8984,0.7718,0.9999,,,,,,,,,,
Adult Income,race,PermutationGeneticAlgorithm,Validation,Surrogate,RandomForestClassifier,White,1.8254,0.896,1.0479,1.058,0.942,0.951,0.9997,,,,,,,,,,
Adult Income,race,PermutationGeneticAlgorithm,Test,Surrogate,LogisticRegression,Amer-Indian-Eskimo,0.2436,0.8733,0.7206,0.9455,0.9466,0.7356,1.0,"[6660, 557, 1281, 1027]",0.807,0.5277,0.445,0.6484,0.4232,"[[0.0, 0.07717888319246224, 1.0], [0.0, 0.4449740034662045, 1.0], [inf, 1.0, 0.0]]",0.6839,0.445,0.9228
Adult Income,race,PermutationGeneticAlgorithm,Test,Surrogate,LogisticRegression,Asian-Pac-Islander,1.0947,0.9843,0.963,1.0188,0.9814,0.9587,1.0,,,,,,,,,,
Adult Income,race,PermutationGeneticAlgorithm,Test,Surrogate,LogisticRegression,Black,0.3311,0.8812,0.8287,0.9441,0.9443,0.826,1.0,,,,,,,,,,
Adult Income,race,PermutationGeneticAlgorithm,Test,Surrogate,LogisticRegression,Other,0.221,0.8696,0.5534,0.9648,0.9666,0.5533,1.0,,,,,,,,,,
Adult Income,race,PermutationGeneticAlgorithm,Test,Surrogate,LogisticRegression,White,2.192,0.9019,1.1494,1.0437,0.9566,0.851,1.0,,,,,,,,,,
Adult Income,race,PermutationGeneticAlgorithm,Test,Surrogate,SVC,Amer-Indian-Eskimo,0.2569,0.882,0.6982,0.9643,0.9654,0.7134,1.0,"[6794, 423, 1230, 1078]",0.8265,0.566,0.4671,0.7182,0.4804,"[[0.0, 0.05861161147291118, 1.0], [0.0, 0.46707105719237435, 1.0], [inf, 1.0, 0.0]]",0.7042,0.4671,0.9414
Adult Income,race,PermutationGeneticAlgorithm,Test,Surrogate,SVC,Asian-Pac-Islander,1.5988,0.9073,1.1404,1.052,0.9476,0.8545,1.0,,,,,,,,,,
Adult Income,race,PermutationGeneticAlgorithm,Test,Surrogate,SVC,Black,0.3371,0.8885,0.8506,0.9556,0.9553,0.85,0.9999,,,,,,,,,,
Adult Income,race,PermutationGeneticAlgorithm,Test,Surrogate,SVC,Other,0.2333,0.8784,0.6426,0.9693,0.9705,0.6426,1.0,,,,,,,,,,
Adult Income,race,PermutationGeneticAlgorithm,Test,Surrogate,SVC,White,1.7864,0.926,1.0585,1.0267,0.9734,0.9419,1.0,,,,,,,,,,
Adult Income,race,PermutationGeneticAlgorithm,Test,Surrogate,GaussianNB,Amer-Indian-Eskimo,0.1223,0.7072,0.5228,0.8048,0.8055,0.5452,1.0,"[5741, 1476, 634, 1674]",0.7785,0.6134,0.7253,0.5314,0.4743,"[[0.0, 0.20451711237356243, 1.0], [0.0, 0.7253032928942807, 1.0], [inf, 1.0, 0.0]]",0.7604,0.7253,0.7955
Adult Income,race,PermutationGeneticAlgorithm,Test,Surrogate,GaussianNB,Asian-Pac-Islander,0.8951,0.9652,0.8605,0.9813,0.9806,0.865,1.0,,,,,,,,,,
Adult Income,race,PermutationGeneticAlgorithm,Test,Surrogate,GaussianNB,Black,0.4233,0.7982,0.8131,0.8736,0.8732,0.8153,1.0,,,,,,,,,,
Adult Income,race,PermutationGeneticAlgorithm,Test,Surrogate,GaussianNB,Other,0.2971,0.7662,0.7182,0.8505,0.8529,0.718,1.0,,,,,,,,,,
Adult Income,race,PermutationGeneticAlgorithm,Test,Surrogate,GaussianNB,White,2.1016,0.8125,1.1931,1.123,0.877,0.8045,1.0,,,,,,,,,,
Adult Income,race,PermutationGeneticAlgorithm,Test,Surrogate,DecisionTreeClassifier,Amer-Indian-Eskimo,0.5927,0.9088,0.808,0.9662,0.9708,0.8381,0.9999,"[6304, 913, 1097, 1211]",0.789,0.5465,0.5247,0.5702,0.4099,"[[0.0, 0.1265068588055979, 1.0], [0.0, 0.5246967071057193, 1.0], [inf, 1.0, 0.0]]",0.6991,0.5247,0.8735
Adult Income,race,PermutationGeneticAlgorithm,Test,Surrogate,DecisionTreeClassifier,Asian-Pac-Islander,1.2991,0.9339,0.943,1.0945,0.9047,0.9417,0.9997,,,,,,,,,,
Adult Income,race,PermutationGeneticAlgorithm,Test,Surrogate,DecisionTreeClassifier,Black,0.5407,0.8929,0.8711,0.9547,0.9553,0.8747,0.9995,,,,,,,,,,
Adult Income,race,PermutationGeneticAlgorithm,Test,Surrogate,DecisionTreeClassifier,Other,0.7735,0.9494,0.9195,1.0004,0.9941,0.9194,0.9998,,,,,,,,,,
Adult Income,race,PermutationGeneticAlgorithm,Test,Surrogate,DecisionTreeClassifier,White,1.4345,0.9294,1.107,1.0144,0.9853,0.8943,0.9996,,,,,,,,,,
Adult Income,race,PermutationGeneticAlgorithm,Test,Surrogate,RandomForestClassifier,Amer-Indian-Eskimo,0.5604,0.904,1.0112,0.942,0.9442,0.9357,0.9999,"[6467, 750, 987, 1321]",0.8176,0.6033,0.5724,0.6379,0.4866,"[[0.0, 0.10392129693778579, 1.0], [0.0, 0.5723570190641247, 1.0], [inf, 1.0, 0.0]]",0.7342,0.5724,0.8961
Adult Income,race,PermutationGeneticAlgorithm,Test,Surrogate,RandomForestClassifier,Asian-Pac-Islander,1.2704,0.9417,1.044,1.0381,0.9599,0.9504,0.9999,,,,,,,,,,
Adult Income,race,PermutationGeneticAlgorithm,Test,Surrogate,RandomForestClassifier,Black,0.4482,0.8733,0.8572,0.9451,0.9453,0.8624,0.9995,,,,,,,,,,
