dataset,protected_attribute,unbiasing_algorithm,data,classifier_type,classification_algorithm,value,disparate_impact,discrimination_score,true_positive_rate_diff,false_positive_rate_diff,false_positive_error_rate_balance_score,false_negative_error_rate_balance_score,consistency,confusion_matrix,accuracy,f1_score,recall,precision,mathews_cc,roc_curve,auc,sensitivity,specificity
German Credit,Attribute9,LGAFFS,Validation,Surrogate,GaussianNB,Female,0.8953,0.9156,1.014,0.7946,0.7946,0.982,0.9276,"[14, 16, 8, 62]",0.7533,0.8331,0.88,0.7911,0.3731,"[[0.0, 0.5333333333333333, 1.0], [0.0, 0.8857142857142857, 1.0], [inf, 1.0, 0.0]]",0.6689,0.88,0.4578
German Credit,Attribute9,LGAFFS,Validation,Surrogate,GaussianNB,Male,1.1198,0.9156,0.986,1.2054,0.7946,0.982,0.9276,,,,,,,,,,
German Credit,Attribute9,LGAFFS,Validation,Surrogate,DecisionTreeClassifier,Female,1.0257,0.9659,1.064,0.9876,0.9544,0.936,0.8774,"[12, 18, 10, 60]",0.712,0.806,0.8543,0.763,0.2604,"[[0.0, 0.6, 1.0], [0.0, 0.8571428571428571, 1.0], [inf, 1.0, 0.0]]",0.6171,0.8543,0.38
German Credit,Attribute9,LGAFFS,Validation,Surrogate,DecisionTreeClassifier,Male,0.9765,0.9659,0.936,1.0124,0.9544,0.936,0.8774,,,,,,,,,,
German Credit,Attribute9,LGAFFS,Validation,Surrogate,RandomForestClassifier,Female,1.0518,0.9503,0.998,1.2083,0.7917,0.9553,0.952,"[10, 20, 4, 66]",0.77,0.8519,0.9448,0.7757,0.3965,"[[0.0, 0.6666666666666666, 1.0], [0.0, 0.9428571428571428, 1.0], [inf, 1.0, 0.0]]",0.6535,0.9448,0.3622
German Credit,Attribute9,LGAFFS,Validation,Surrogate,RandomForestClassifier,Male,0.9566,0.9503,1.002,0.7917,0.7917,0.9553,0.952,,,,,,,,,,
German Credit,Attribute9,LGAFFS,Test,Surrogate,LogisticRegression,Female,0.8336,0.8577,0.8813,0.8673,0.8673,0.8813,0.8789,"[11, 19, 9, 61]",0.7287,0.8203,0.8847,0.7646,0.2911,"[[0.0, 0.6333333333333333, 1.0], [0.0, 0.8714285714285714, 1.0], [inf, 1.0, 0.0]]",0.6246,0.8847,0.3645
German Credit,Attribute9,LGAFFS,Test,Surrogate,LogisticRegression,Male,1.2012,0.8577,1.1187,1.1327,0.8673,0.8813,0.8789,,,,,,,,,,
German Credit,Attribute9,LGAFFS,Test,Surrogate,SVC,Female,0.7652,0.8009,0.86,0.7642,0.7642,0.86,0.8882,"[14, 16, 9, 61]",0.766,0.8423,0.8933,0.7969,0.4049,"[[0.0, 0.5333333333333333, 1.0], [0.0, 0.8714285714285714, 1.0], [inf, 1.0, 0.0]]",0.6811,0.8933,0.4689
German Credit,Attribute9,LGAFFS,Test,Surrogate,SVC,Male,1.3128,0.8009,1.14,1.2358,0.7642,0.86,0.8882,,,,,,,,,,
German Credit,Attribute9,LGAFFS,Test,Surrogate,GaussianNB,Female,0.652,0.7441,0.8393,0.6446,0.6446,0.8393,0.9067,"[18, 12, 16, 54]",0.7353,0.8046,0.7781,0.833,0.3984,"[[0.0, 0.4, 1.0], [0.0, 0.7714285714285715, 1.0], [inf, 1.0, 0.0]]",0.7068,0.7781,0.6356
German Credit,Attribute9,LGAFFS,Test,Surrogate,GaussianNB,Male,1.5381,0.7441,1.1607,1.3554,0.6446,0.8393,0.9067,,,,,,,,,,
German Credit,Attribute9,LGAFFS,Test,Surrogate,DecisionTreeClassifier,Female,0.8841,0.9142,0.9633,0.8931,0.8931,0.894,0.8627,"[17, 13, 13, 57]",0.716,0.7955,0.7895,0.8022,0.3308,"[[0.0, 0.43333333333333335, 1.0], [0.0, 0.8142857142857143, 1.0], [inf, 1.0, 0.0]]",0.667,0.7895,0.5444
German Credit,Attribute9,LGAFFS,Test,Surrogate,DecisionTreeClassifier,Male,1.1496,0.9142,1.0367,1.1069,0.8931,0.894,0.8627,,,,,,,,,,
German Credit,Attribute9,LGAFFS,Test,Surrogate,RandomForestClassifier,Female,0.8689,0.8935,0.918,0.9324,0.8865,0.918,0.8844,"[15, 15, 10, 60]",0.7673,0.8424,0.8886,0.801,0.411,"[[0.0, 0.5, 1.0], [0.0, 0.8571428571428571, 1.0], [inf, 1.0, 0.0]]",0.6865,0.8886,0.4844
German Credit,Attribute9,LGAFFS,Test,Surrogate,RandomForestClassifier,Male,1.1553,0.8935,1.082,1.0676,0.8865,0.918,0.8844,,,,,,,,,,
German Credit,Attribute9,LGAFFS,Validation,Test,XGBClassifier,Female,1.0737,0.9414,0.9993,1.2613,0.7387,0.946,0.9367,"[12, 18, 6, 64]",0.768,0.847,0.9172,0.7869,0.3984,"[[0.0, 0.6, 1.0], [0.0, 0.9142857142857143, 1.0], [inf, 1.0, 0.0]]",0.6686,0.9172,0.42
German Credit,Attribute9,LGAFFS,Validation,Test,XGBClassifier,Male,0.9338,0.9414,1.0007,0.7387,0.7387,0.946,0.9367,,,,,,,,,,
German Credit,Attribute9,LGAFFS,Test,Test,XGBClassifier,Female,0.8946,0.9182,0.902,1.0434,0.9106,0.902,0.8647,"[17, 13, 9, 61]",0.7593,0.8334,0.86,0.8084,0.4041,"[[0.0, 0.43333333333333335, 1.0], [0.0, 0.8714285714285714, 1.0], [inf, 1.0, 0.0]]",0.6922,0.86,0.5244
German Credit,Attribute9,LGAFFS,Test,Test,XGBClassifier,Male,1.1212,0.9182,1.098,0.9566,0.9106,0.902,0.8647,,,,,,,,,,
German Credit,Attribute13,LGAFFS,Validation,Surrogate,LogisticRegression,Aged,1.2237,0.8442,1.1156,1.0866,0.9109,0.8844,0.9506,"[10, 20, 5, 65]",0.752,0.8384,0.9191,0.771,0.347,"[[0.0, 0.6666666666666666, 1.0], [0.0, 0.9285714285714286, 1.0], [inf, 1.0, 0.0]]",0.6407,0.9191,0.3622
German Credit,Attribute13,LGAFFS,Validation,Surrogate,LogisticRegression,Young,0.8182,0.8442,0.8844,0.9134,0.9109,0.8844,0.9506,,,,,,,,,,
German Credit,Attribute13,LGAFFS,Validation,Surrogate,SVC,Aged,1.2197,0.8415,1.0962,1.1242,0.8559,0.9038,0.9442,"[9, 21, 5, 65]",0.7547,0.842,0.9352,0.7665,0.3553,"[[0.0, 0.7, 1.0], [0.0, 0.9285714285714286, 1.0], [inf, 1.0, 0.0]]",0.6343,0.9352,0.3333
German Credit,Attribute13,LGAFFS,Validation,Surrogate,SVC,Young,0.8203,0.8415,0.9038,0.8758,0.8559,0.9038,0.9442,,,,,,,,,,
German Credit,Attribute13,LGAFFS,Validation,Surrogate,GaussianNB,Aged,1.21,0.8486,1.0855,1.0182,0.8924,0.8919,0.9318,"[15, 15, 8, 62]",0.7367,0.8128,0.8257,0.8034,0.3693,"[[0.0, 0.5, 1.0], [0.0, 0.8857142857142857, 1.0], [inf, 1.0, 0.0]]",0.6773,0.8257,0.5289
German Credit,Attribute13,LGAFFS,Validation,Surrogate,GaussianNB,Young,0.8452,0.8486,0.9145,0.9818,0.8924,0.8919,0.9318,,,,,,,,,,
German Credit,Attribute13,LGAFFS,Validation,Surrogate,DecisionTreeClassifier,Aged,1.1923,0.8719,1.008,1.1739,0.8261,0.9704,0.8762,"[11, 19, 10, 60]",0.72,0.8106,0.8571,0.7699,0.2858,"[[0.0, 0.6333333333333333, 1.0], [0.0, 0.8571428571428571, 1.0], [inf, 1.0, 0.0]]",0.6286,0.8571,0.4
German Credit,Attribute13,LGAFFS,Validation,Surrogate,DecisionTreeClassifier,Young,0.8394,0.8719,0.992,0.8261,0.8261,0.9704,0.8762,,,,,,,,,,
