dataset,attribute,class,algorithm,set,num_iterations,error,classifier_type,classification_algorithm,value,fairness_disparate_impact,fairness_discrimination_score,fairness_true_positive_rate_diff,fairness_false_positive_rate_diff,fairness_false_positive_error_rate_balance_score,fairness_false_negative_error_rate_balance_score,fairness_consistency,performance_accuracy,performance_f1_score,performance_auc
German Credit,Attribute9,Attribute9,FairGenes,Validation,1,False,Surrogate,GaussianNB,Female,1.5409,0.7962,1.2600,1.1531,0.8469,0.7400,0.7200,0.5800,0.6316,0.6238
German Credit,Attribute9,Attribute9,FairGenes,Validation,1,False,Surrogate,GaussianNB,Male,0.6490,0.7962,0.7400,0.8469,0.8469,0.7400,0.7200,0.5800,0.6316,0.6238
German Credit,Attribute9,Attribute9,FairGenes,Validation,1,False,Surrogate,DecisionTreeClassifier,Female,1.2719,0.8345,1.1200,1.3062,0.6938,0.8800,0.6200,0.6400,0.7353,0.5905
German Credit,Attribute9,Attribute9,FairGenes,Validation,1,False,Surrogate,DecisionTreeClassifier,Male,0.7862,0.8345,0.8800,0.6938,0.6938,0.8800,0.6200,0.6400,0.7353,0.5905
German Credit,Attribute9,Attribute9,FairGenes,Validation,1,False,Surrogate,RandomForestClassifier,Female,1.1839,0.8747,1.1100,1.2010,0.7990,0.8900,0.7100,0.6600,0.7606,0.5857
German Credit,Attribute9,Attribute9,FairGenes,Validation,1,False,Surrogate,RandomForestClassifier,Male,0.8446,0.8747,0.8900,0.7990,0.7990,0.8900,0.7100,0.6600,0.7606,0.5857
German Credit,Attribute9,Attribute9,FairGenes,Test,1,False,Surrogate,LogisticRegression,Female,0.9762,0.9804,1.0000,1.0048,0.9952,1.0000,0.8167,0.7400,0.8289,0.6333
German Credit,Attribute9,Attribute9,FairGenes,Test,1,False,Surrogate,LogisticRegression,Male,1.0243,0.9804,1.0000,0.9952,0.9952,1.0000,0.8167,0.7400,0.8289,0.6333
German Credit,Attribute9,Attribute9,FairGenes,Test,1,False,Surrogate,SVC,Female,0.9845,0.9883,1.0600,0.9282,0.9282,0.9400,0.7867,0.7500,0.8276,0.6786
German Credit,Attribute9,Attribute9,FairGenes,Test,1,False,Surrogate,SVC,Male,1.0158,0.9883,0.9400,1.0718,0.9282,0.9400,0.7867,0.7500,0.8276,0.6786
German Credit,Attribute9,Attribute9,FairGenes,Test,1,False,Surrogate,GaussianNB,Female,0.7990,0.8864,0.8700,1.0096,0.9904,0.8700,0.7500,0.6700,0.7317,0.6881
German Credit,Attribute9,Attribute9,FairGenes,Test,1,False,Surrogate,GaussianNB,Male,1.2516,0.8864,1.1300,0.9904,0.9904,0.8700,0.7500,0.6700,0.7317,0.6881
German Credit,Attribute9,Attribute9,FairGenes,Test,1,False,Surrogate,DecisionTreeClassifier,Female,0.9602,0.9705,0.9800,1.0191,0.9809,0.9800,0.6767,0.7100,0.7972,0.6405
German Credit,Attribute9,Attribute9,FairGenes,Test,1,False,Surrogate,DecisionTreeClassifier,Male,1.0415,0.9705,1.0200,0.9809,0.9809,0.9800,0.6767,0.7100,0.7972,0.6405
German Credit,Attribute9,Attribute9,FairGenes,Test,1,False,Surrogate,RandomForestClassifier,Female,0.9068,0.9271,1.0600,0.7321,0.7321,0.9400,0.7367,0.7400,0.8219,0.6619
German Credit,Attribute9,Attribute9,FairGenes,Test,1,False,Surrogate,RandomForestClassifier,Male,1.1028,0.9271,0.9400,1.2679,0.7321,0.9400,0.7367,0.7400,0.8219,0.6619
German Credit,Attribute9,Attribute9,FairGenes,Validation,1,False,Test,XGBClassifier,Female,1.1871,0.8780,1.0600,1.3062,0.6938,0.9400,0.6367,0.6700,0.7626,0.6119
German Credit,Attribute9,Attribute9,FairGenes,Validation,1,False,Test,XGBClassifier,Male,0.8424,0.8780,0.9400,0.6938,0.6938,0.9400,0.6367,0.6700,0.7626,0.6119
German Credit,Attribute9,Attribute9,FairGenes,Test,1,False,Test,XGBClassifier,Female,0.9165,0.9383,1.0700,0.7321,0.7321,0.9300,0.6933,0.7000,0.7887,0.6333
German Credit,Attribute9,Attribute9,FairGenes,Test,1,False,Test,XGBClassifier,Male,1.0911,0.9383,0.9300,1.2679,0.7321,0.9300,0.6933,0.7000,0.7887,0.6333
German Credit,Attribute9,Attribute9,FairGenes,Validation,2,False,Surrogate,LogisticRegression,Female,1.0474,0.9649,1.0300,1.1100,0.8900,0.9700,0.7967,0.7100,0.8000,0.6310
German Credit,Attribute9,Attribute9,FairGenes,Validation,2,False,Surrogate,LogisticRegression,Male,0.9547,0.9649,0.9700,0.8900,0.8900,0.9700,0.7967,0.7100,0.8000,0.6310
German Credit,Attribute9,Attribute9,FairGenes,Validation,2,False,Surrogate,SVC,Female,1.1593,0.8892,1.1000,1.2153,0.7847,0.9000,0.7433,0.7300,0.8112,0.6643
German Credit,Attribute9,Attribute9,FairGenes,Validation,2,False,Surrogate,SVC,Male,0.8626,0.8892,0.9000,0.7847,0.7847,0.9000,0.7433,0.7300,0.8112,0.6643
