dataset,attribute,class,algorithm,set,num_iterations,error,classifier_type,classification_algorithm,value,fairness_disparate_impact,fairness_discrimination_score,fairness_true_positive_rate_diff,fairness_false_positive_rate_diff,fairness_false_positive_error_rate_balance_score,fairness_false_negative_error_rate_balance_score,fairness_consistency,performance_accuracy,performance_f1_score,performance_auc
German Credit,Attribute9,NA,NA,Validation,0,False,Surrogate,LogisticRegression,Female,0.8300,0.8546,1.0300,0.5885,0.5885,0.9700,0.8233,0.7900,0.8609,0.6976
German Credit,Attribute9,NA,NA,Validation,0,False,Surrogate,LogisticRegression,Male,1.2049,0.8546,0.9700,1.4115,0.5885,0.9700,0.8233,0.7900,0.8609,0.6976
German Credit,Attribute9,NA,NA,Validation,0,False,Surrogate,SVC,Female,0.9892,0.9916,1.0700,0.9282,0.9282,0.9300,0.8567,0.7800,0.8514,0.7000
German Credit,Attribute9,NA,NA,Validation,0,False,Surrogate,SVC,Male,1.0109,0.9916,0.9300,1.0718,0.9282,0.9300,0.8567,0.7800,0.8514,0.7000
German Credit,Attribute9,NA,NA,Validation,0,False,Surrogate,GaussianNB,Female,0.8458,0.8883,0.9400,0.9043,0.9043,0.9400,0.8467,0.7900,0.8489,0.7548
German Credit,Attribute9,NA,NA,Validation,0,False,Surrogate,GaussianNB,Male,1.1823,0.8883,1.0600,1.0957,0.9043,0.9400,0.8467,0.7900,0.8489,0.7548
German Credit,Attribute9,NA,NA,Validation,0,False,Surrogate,DecisionTreeClassifier,Female,0.7742,0.8495,0.8200,0.9952,0.9952,0.8200,0.6267,0.7000,0.7727,0.6810
German Credit,Attribute9,NA,NA,Validation,0,False,Surrogate,DecisionTreeClassifier,Male,1.2917,0.8495,1.1800,1.0048,0.9952,0.8200,0.6267,0.7000,0.7727,0.6810
German Credit,Attribute9,NA,NA,Validation,0,False,Surrogate,RandomForestClassifier,Female,1.0117,0.9906,1.0700,0.9665,0.9665,0.9300,0.8533,0.7600,0.8400,0.6667
German Credit,Attribute9,NA,NA,Validation,0,False,Surrogate,RandomForestClassifier,Male,0.9884,0.9906,0.9300,1.0335,0.9665,0.9300,0.8533,0.7600,0.8400,0.6667
German Credit,Attribute9,NA,NA,Test,0,False,Surrogate,LogisticRegression,Female,0.7949,0.8336,0.9500,0.6938,0.6938,0.9500,0.7900,0.7800,0.8493,0.7095
German Credit,Attribute9,NA,NA,Test,0,False,Surrogate,LogisticRegression,Male,1.2580,0.8336,1.0500,1.3062,0.6938,0.9500,0.7900,0.7800,0.8493,0.7095
