dataset,sensitive_attribute,algorithm,model,value,disparate_impact,discrimination_score,true_positive_rate_diff,false_positive_rate_diff,false_positive_error_rate_balance_score,false_negative_error_rate_balance_score,consistency,confusion_matrix,accuracy,f1_score,recall,precision,mathews_cc,sensitivity,specificity
Adult Income,race,NA,RandomForestClassifier,Amer-Indian-Eskimo,0.3953,0.8698,0.2661,0.0651,0.9369,0.7525,0.9392,"[6458, 741, 1027, 1298]",0.8144,0.5949,0.5583,0.6366,0.4769,0.5583,0.8971
,,,,Asian-Pac-Islander,1.3804,0.9195,-0.0796,-0.0209,0.9779,0.9184,0.9395,,,,,,,,
,,,,Black,0.4447,0.8744,0.0611,0.0606,0.9394,0.9339,0.9389,,,,,,,,
,,,,Other,0.1965,0.827,0.3089,0.0737,0.9276,0.6912,0.9391,,,,,,,,
,,,,White,1.6305,0.9123,-0.0199,-0.0507,0.9498,0.98,0.939,,,,,,,,
Adult Income,sex,NA,RandomForestClassifier,Female,0.2838,0.7971,0.1471,0.1096,0.8903,0.8543,0.9353,"[6450, 749, 1011, 1314]",0.8152,0.5989,0.5652,0.6369,0.4809,0.5652,0.896
,,,,Male,3.5236,0.7971,-0.1471,-0.1096,0.8903,0.8543,0.9353,,,,,,,,
Adult Income,race,Massaging,RandomForestClassifier,Amer-Indian-Eskimo,0.6725,0.9378,0.2088,0.0115,0.9927,0.8097,0.9429,"[6563, 636, 1159, 1166]",0.8115,0.5651,0.5015,0.6471,0.4531,0.5015,0.9117
,,,,Asian-Pac-Islander,1.4818,0.9102,-0.0889,-0.0358,0.9629,0.9119,0.943,,,,,,,,
,,,,Black,0.4192,0.8836,0.1062,0.0508,0.949,0.8937,0.9424,,,,,,,,
,,,,Other,0.3705,0.8804,0.2518,0.0289,0.9739,0.7481,0.9428,,,,,,,,
,,,,White,1.5586,0.9285,-0.0322,-0.0333,0.9672,0.9687,0.9424,,,,,,,,
Adult Income,race,Massaging,XGBClassifier,Amer-Indian-Eskimo,0.4812,0.8815,0.1081,0.0531,0.9452,0.875,0.9483,"[9531, 1259, 1508, 1989]",0.8063,0.5898,0.5688,0.6124,0.4638,0.5688,0.8833
,,,,Asian-Pac-Islander,1.0918,0.9792,-0.0047,-0.0103,0.9914,0.996,0.948,,,,,,,,
,,,,Black,0.5431,0.8914,0.1147,0.0434,0.9571,0.8889,0.9478,,,,,,,,
,,,,Other,0.5278,0.8922,0.2697,0.0348,0.9695,0.7875,0.948,,,,,,,,
,,,,White,1.5677,0.9132,-0.0805,-0.0362,0.9639,0.9207,0.9475,,,,,,,,
Adult Income,race,Massaging,RandomForestClassifier,Amer-Indian-Eskimo,0.5896,0.9111,0.2777,0.0247,0.9795,0.7408,0.9478,"[6469, 730, 1000, 1325]",0.8184,0.605,0.5699,0.6448,0.4892,0.5699,0.8986
,,,,Asian-Pac-Islander,1.3544,0.9244,-0.0476,-0.0274,0.9712,0.9516,0.9479,,,,,,,,
,,,,Black,0.4461,0.8737,0.064,0.0588,0.9412,0.9318,0.9481,,,,,,,,
,,,,Other,0.2596,0.8394,0.3204,0.057,0.945,0.6796,0.9477,,,,,,,,
,,,,White,1.6089,0.9136,-0.0372,-0.0431,0.9568,0.9622,0.948,,,,,,,,
Adult Income,race,Massaging,XGBClassifier,Amer-Indian-Eskimo,0.4893,0.8738,0.1792,0.0548,0.9436,0.8593,0.9623,"[9513, 1277, 1259, 2238]",0.8225,0.6383,0.64,0.6367,0.5207,0.64,0.8816
,,,,Asian-Pac-Islander,0.9919,0.998,0.0058,0.0252,0.973,0.9989,0.9625,,,,,,,,
