dataset,sensitive_attribute,algorithm,model,value,disparate_impact,discrimination_score,true_positive_rate_diff,false_positive_rate_diff,false_positive_error_rate_balance_score,false_negative_error_rate_balance_score,consistency,confusion_matrix,accuracy,f1_score,recall,precision,mathews_cc,sensitivity,specificity
Adult Income,race,NA,RandomForestClassifier,Amer-Indian-Eskimo,0.2456,0.8366,0.3274,0.0917,0.9089,0.6874,0.9403,"[6453, 746, 1022, 1303]",0.8144,0.5958,0.5604,0.6359,0.4775,0.5604,0.8964
,,,,Asian-Pac-Islander,1.3426,0.9271,-0.0374,-0.03,0.9684,0.9628,0.9403,,,,,,,,
,,,,Black,0.4474,0.8744,0.0637,0.06,0.94,0.9317,0.9401,,,,,,,,
,,,,Other,0.3258,0.8543,0.3109,0.0443,0.9585,0.689,0.94,,,,,,,,
,,,,White,1.6664,0.9087,-0.0457,-0.0478,0.9521,0.9529,0.9404,,,,,,,,
Adult Income,sex,NA,RandomForestClassifier,Female,0.2912,0.7999,0.1429,0.1073,0.8928,0.8588,0.9359,"[6448, 751, 1013, 1312]",0.8148,0.598,0.5643,0.636,0.4797,0.5643,0.8957
,,,,Male,3.4343,0.7999,-0.1429,-0.1073,0.8928,0.8588,0.9359,,,,,,,,
Adult Income,race,Massaging,RandomForestClassifier,Amer-Indian-Eskimo,0.5964,0.928,0.2445,0.0038,0.9996,0.7701,0.943,"[6618, 581, 1213, 1112]",0.8116,0.5535,0.4783,0.6568,0.4467,0.4783,0.9193
,,,,Asian-Pac-Islander,1.4108,0.9279,-0.0627,-0.0243,0.9755,0.9403,0.943,,,,,,,,
,,,,Black,0.4762,0.9019,0.0532,0.0395,0.9603,0.948,0.9421,,,,,,,,
,,,,Other,0.2367,0.8636,0.2289,0.0513,0.9501,0.7713,0.9426,,,,,,,,
,,,,White,1.5265,0.9355,-0.0205,-0.0282,0.9721,0.9796,0.9421,,,,,,,,
Adult Income,race,Massaging,XGBClassifier,Amer-Indian-Eskimo,0.4534,0.8675,0.1184,0.0684,0.93,0.8646,0.9448,"[9368, 1422, 1472, 2025]",0.7974,0.5832,0.5791,0.5875,0.4495,0.5791,0.8682
,,,,Asian-Pac-Islander,1.0994,0.9761,0.0311,-0.0238,0.9765,0.9757,0.9448,,,,,,,,
,,,,Black,0.515,0.8774,0.1259,0.0576,0.943,0.8721,0.9448,,,,,,,,
,,,,Other,0.4472,0.866,0.28,0.0502,0.9446,0.7771,0.9445,,,,,,,,
,,,,White,1.6324,0.9011,-0.1015,-0.0462,0.9536,0.8992,0.9445,,,,,,,,
