dataset,attribute,class,algorithm,set,num_iterations,error,classifier_type,classification_algorithm,value,fairness_disparate_impact,fairness_discrimination_score,fairness_true_positive_rate_diff,fairness_false_positive_rate_diff,fairness_false_positive_error_rate_balance_score,fairness_false_negative_error_rate_balance_score,fairness_consistency,performance_accuracy,performance_f1_score,performance_auc
German Credit,Attribute9,Female,DisparateImpactRemover,Validation,1,False,Surrogate,GaussianNB,Female,1.1593,0.8892,1.0400,1.3732,0.6268,0.9600,0.7967,0.7900,0.8531,0.7357
German Credit,Attribute9,Female,DisparateImpactRemover,Validation,1,False,Surrogate,GaussianNB,Male,0.8626,0.8892,0.9600,0.6268,0.6268,0.9600,0.7967,0.7900,0.8531,0.7357
German Credit,Attribute9,Female,DisparateImpactRemover,Validation,1,False,Surrogate,DecisionTreeClassifier,Female,0.9398,0.9607,1.0600,0.8517,0.8517,0.9400,0.6533,0.7200,0.7910,0.6952
German Credit,Attribute9,Female,DisparateImpactRemover,Validation,1,False,Surrogate,DecisionTreeClassifier,Male,1.0641,0.9607,0.9400,1.1483,0.8517,0.9400,0.6533,0.7200,0.7910,0.6952
German Credit,Attribute9,Female,DisparateImpactRemover,Validation,1,False,Surrogate,RandomForestClassifier,Female,1.1331,0.8939,1.0400,1.3589,0.6411,0.9600,0.8333,0.8300,0.8889,0.7357
German Credit,Attribute9,Female,DisparateImpactRemover,Validation,1,False,Surrogate,RandomForestClassifier,Male,0.8825,0.8939,0.9600,0.6411,0.6411,0.9600,0.8333,0.8300,0.8889,0.7357
German Credit,Attribute9,Female,DisparateImpactRemover,Test,1,False,Surrogate,LogisticRegression,Female,0.8133,0.8593,0.7400,1.1627,0.8373,0.7400,0.7700,0.6900,0.7801,0.6262
German Credit,Attribute9,Female,DisparateImpactRemover,Test,1,False,Surrogate,LogisticRegression,Male,1.2296,0.8593,1.2600,0.8373,0.8373,0.7400,0.7700,0.6900,0.7801,0.6262
German Credit,Attribute9,Female,DisparateImpactRemover,Test,1,False,Surrogate,SVC,Female,0.8819,0.9093,0.8000,1.2153,0.7847,0.8000,0.7833,0.7400,0.8194,0.6714
German Credit,Attribute9,Female,DisparateImpactRemover,Test,1,False,Surrogate,SVC,Male,1.1339,0.9093,1.2000,0.7847,0.7847,0.8000,0.7833,0.7400,0.8194,0.6714
German Credit,Attribute9,Female,DisparateImpactRemover,Test,1,False,Surrogate,GaussianNB,Female,0.8347,0.9042,0.8800,1.0622,0.9378,0.8800,0.7867,0.7100,0.7680,0.7262
German Credit,Attribute9,Female,DisparateImpactRemover,Test,1,False,Surrogate,GaussianNB,Male,1.1981,0.9042,1.1200,0.9378,0.9378,0.8800,0.7867,0.7100,0.7680,0.7262
German Credit,Attribute9,Female,DisparateImpactRemover,Test,1,False,Surrogate,DecisionTreeClassifier,Female,0.9892,0.9930,1.0100,1.0335,0.9665,0.9900,0.6433,0.6900,0.7704,0.6548
German Credit,Attribute9,Female,DisparateImpactRemover,Test,1,False,Surrogate,DecisionTreeClassifier,Male,1.0109,0.9930,0.9900,0.9665,0.9665,0.9900,0.6433,0.6900,0.7704,0.6548
German Credit,Attribute9,Female,DisparateImpactRemover,Test,1,False,Surrogate,RandomForestClassifier,Female,0.9308,0.9448,0.9000,1.1100,0.8900,0.9000,0.7500,0.7400,0.8243,0.6524
German Credit,Attribute9,Female,DisparateImpactRemover,Test,1,False,Surrogate,RandomForestClassifier,Male,1.0744,0.9448,1.1000,0.8900,0.8900,0.9000,0.7500,0.7400,0.8243,0.6524
German Credit,Attribute9,Female,DisparateImpactRemover,Validation,1,False,Test,XGBClassifier,Female,1.0362,0.9696,1.0400,1.1100,0.8900,0.9600,0.8067,0.8100,0.8774,0.7024
German Credit,Attribute9,Female,DisparateImpactRemover,Validation,1,False,Test,XGBClassifier,Male,0.9651,0.9696,0.9600,0.8900,0.8900,0.9600,0.8067,0.8100,0.8774,0.7024
German Credit,Attribute9,Female,DisparateImpactRemover,Test,1,False,Test,XGBClassifier,Female,1.0902,0.9360,1.0500,1.1627,0.8373,0.9500,0.6600,0.7100,0.7972,0.6405
German Credit,Attribute9,Female,DisparateImpactRemover,Test,1,False,Test,XGBClassifier,Male,0.9173,0.9360,0.9500,0.8373,0.8373,0.9500,0.6600,0.7100,0.7972,0.6405
German Credit,Attribute9,Female,DisparateImpactRemover,Validation,2,False,Surrogate,LogisticRegression,Female,1.1541,0.8794,1.0800,1.3062,0.6938,0.9200,0.8567,0.8000,0.8684,0.7048
German Credit,Attribute9,Female,DisparateImpactRemover,Validation,2,False,Surrogate,LogisticRegression,Male,0.8665,0.8794,0.9200,0.6938,0.6938,0.9200,0.8567,0.8000,0.8684,0.7048
German Credit,Attribute9,Female,DisparateImpactRemover,Validation,2,False,Surrogate,SVC,Female,1.0543,0.9551,1.0400,1.1627,0.8373,0.9600,0.8467,0.8200,0.8831,0.7190
German Credit,Attribute9,Female,DisparateImpactRemover,Validation,2,False,Surrogate,SVC,Male,0.9485,0.9551,0.9600,0.8373,0.8373,0.9600,0.8467,0.8200,0.8831,0.7190
German Credit,Attribute9,Female,DisparateImpactRemover,Validation,2,False,Surrogate,GaussianNB,Female,1.1593,0.8892,1.0400,1.3732,0.6268,0.9600,0.7967,0.7900,0.8531,0.7357
German Credit,Attribute9,Female,DisparateImpactRemover,Validation,2,False,Surrogate,GaussianNB,Male,0.8626,0.8892,0.9600,0.6268,0.6268,0.9600,0.7967,0.7900,0.8531,0.7357
German Credit,Attribute9,Female,DisparateImpactRemover,Validation,2,False,Surrogate,DecisionTreeClassifier,Female,0.9398,0.9607,1.0600,0.8517,0.8517,0.9400,0.6533,0.7200,0.7910,0.6952
German Credit,Attribute9,Female,DisparateImpactRemover,Validation,2,False,Surrogate,DecisionTreeClassifier,Male,1.0641,0.9607,0.9400,1.1483,0.8517,0.9400,0.6533,0.7200,0.7910,0.6952
