dataset,protected_attribute,unbiasing_algorithm,data,classifier_type,classification_algorithm,value,disparate_impact_ssd,discrimination_score_ssd,true_positive_rate_diff_ssd,false_positive_rate_diff_ssd,false_positive_error_rate_balance_score_ssd,false_negative_error_rate_balance_score_ssd,consistency_ssd,confusion_matrix,accuracy_ssd,f1_score_ssd,recall_ssd,precision_ssd,mathews_cc_ssd,roc_curve,auc_ssd,sensitivity_ssd,specificity_ssd
Adult Income,race,DisparateImpactRemover,Test,Surrogate,RandomForestClassifier,Other,18.8405,0.5996,2.1261,0.1247,0.1227,2.1276,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adult Income,race,DisparateImpactRemover,Test,Surrogate,RandomForestClassifier,White,10.1081,0.1417,0.0857,0.0135,0.0129,0.0936,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adult Income,race,DisparateImpactRemover,Validation,Test,XGBClassifier,Amer-Indian-Eskimo,0.9698,0.0153,1.083,0.0473,0.0594,0.9441,0.0,"[3406, 202, 758, 396]",1.2193,9.0058,12.9416,3.4233,11.8579,"[[0.0, 0.05598669623059867, 1.0], [0.0, 0.3431542461005199, 1.0], [inf, 1.0, 0.0]]",3.8106,12.9416,0.0941
Adult Income,race,DisparateImpactRemover,Validation,Test,XGBClassifier,Asian-Pac-Islander,9.8052,0.1495,0.7893,0.0145,0.013,0.7922,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adult Income,race,DisparateImpactRemover,Validation,Test,XGBClassifier,Black,10.9844,0.1949,0.6759,0.0212,0.0206,0.6777,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adult Income,race,DisparateImpactRemover,Validation,Test,XGBClassifier,Other,1.7744,0.0281,6.3177,0.0958,0.0958,6.3149,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adult Income,race,DisparateImpactRemover,Validation,Test,XGBClassifier,White,6.8574,0.0544,0.0002,0.0074,0.0068,0.0005,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adult Income,race,DisparateImpactRemover,Test,Test,XGBClassifier,Amer-Indian-Eskimo,0.002,0.0,0.2067,0.006,0.0093,0.4363,0.0,"[6814, 403, 1536, 772]",1.2436,9.2974,13.2867,3.5295,12.1692,"[[0.0, 0.05584037688790356, 1.0], [0.0, 0.3344887348353553, 1.0], [inf, 1.0, 0.0]]",3.9031,13.2867,0.0934
Adult Income,race,DisparateImpactRemover,Test,Test,XGBClassifier,Asian-Pac-Islander,34.4177,0.4915,1.5554,0.1625,0.1683,1.5925,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adult Income,race,DisparateImpactRemover,Test,Test,XGBClassifier,Black,10.7389,0.1835,0.2002,0.0387,0.0387,0.1774,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
