dataset,sensitive_attribute,algorithm,model,value,disparate_impact,discrimination_score,true_positive_rate_diff,false_positive_rate_diff,false_positive_error_rate_balance_score,false_negative_error_rate_balance_score,consistency,confusion_matrix,accuracy,f1_score,recall,precision,mathews_cc,sensitivity,specificity
,,,,Black,0.8006,0.9875,0.0033,0.0086,0.9894,0.9893,0.9918,,,,,,,,
,,,,Other,1.9381,0.9635,-0.0142,-0.0175,0.9658,0.9758,0.9918,,,,,,,,
,,,,White,inf,0.9894,0.0042,-0.0028,0.9918,0.991,0.9917,,,,,,,,
Adult Income,race,LearningFairRepresentations,RandomForestClassifier,Amer-Indian-Eskimo,0.5863,0.9656,-0.0037,0.0092,0.9672,0.9473,0.986,"[5638, 1561, 1490, 835]",0.7296,0.0862,0.0885,0.1576,0.0316,0.0885,0.9366
,,,,Asian-Pac-Islander,3.1028,0.9812,-0.0003,0.0022,0.9848,0.9737,0.9859,,,,,,,,
,,,,Black,0.7436,0.9731,0.0016,-0.0001,0.9783,0.9784,0.9858,,,,,,,,
,,,,Other,0.9198,0.9789,0.0386,-0.0053,0.9801,0.9535,0.9859,,,,,,,,
,,,,White,1.2678,0.9841,-0.0009,-0.0007,0.9863,0.9849,0.9858,,,,,,,,
Adult Income,race,LearningFairRepresentations,XGBClassifier,Amer-Indian-Eskimo,0.7848,0.9583,0.0107,0.0064,0.9574,0.9492,0.989,"[7239, 3551, 847, 2650]",0.7231,0.0901,0.1056,0.1289,0.0272,0.1056,0.9232
,,,,Asian-Pac-Islander,1.8456,0.9858,0.0007,0.002,0.9862,0.9798,0.9889,,,,,,,,
,,,,Black,0.8985,0.9727,0.0132,0.0077,0.9782,0.98,0.9888,,,,,,,,
,,,,Other,0.9649,0.9781,0.0223,0.0005,0.9826,0.968,0.9889,,,,,,,,
,,,,White,1.0761,0.9818,-0.0094,-0.0065,0.9862,0.9849,0.9888,,,,,,,,
Adult Income,sex,LearningFairRepresentations,RandomForestClassifier,Female,inf,0.9792,0.0265,0.0098,0.986,0.9706,0.9911,"[7199, 0, 2325, 0]",0.7498,0.062,0.048,0.1992,0.033,0.048,0.9764
,,,,Male,inf,0.9792,-0.0265,-0.0098,0.986,0.9706,0.9911,,,,,,,,
Adult Income,sex,LearningFairRepresentations,XGBClassifier,Female,inf,0.9338,0.0165,0.0044,0.9463,0.9213,0.9906,"[10790, 0, 3497, 0]",0.7227,0.0943,0.102,0.1064,0.021,0.102,0.9239
,,,,Male,32.4099,0.9338,-0.0165,-0.0044,0.9463,0.9213,0.9906,,,,,,,,
Adult Income,sex,LearningFairRepresentations,RandomForestClassifier,Female,3.8528,0.9715,-0.0034,-0.008,0.9751,0.9515,0.9911,"[7199, 0, 2325, 0]",0.7405,0.0607,0.0563,0.1086,0.0185,0.0563,0.9615
,,,,Male,inf,0.9715,0.0034,0.008,0.9751,0.9515,0.9911,,,,,,,,
Adult Income,sex,LearningFairRepresentations,XGBClassifier,Female,0.9875,0.9645,0.0302,0.0073,0.9727,0.9508,0.9925,"[10790, 0, 3497, 0]",0.7383,0.0853,0.0883,0.1033,0.0333,0.0883,0.9489
,,,,Male,inf,0.9645,-0.0302,-0.0073,0.9727,0.9508,0.9925,,,,,,,,
