dataset,sensitive_attribute,intervention_attribute,algorithm,classifier,disparate_impact,discrimination_score,true_positive_rate_diff,false_positive_rate_diff,consistency,fperbs,fnerbs,confusion_matrix,accuracy,f1_score,recall,precision,mathews_cc,sensitivity,specificity
Adult Income,race,NA,NA,RandomForestClassifier,0.6115,0.9123,0.0543,0.0433,0.9997,0.9332,0.9457,"[6456, 743, 1038, 1287]",0.813,0.591,0.5535,0.634,0.4724,0.5535,0.8968
Adult Income,sex,NA,NA,RandomForestClassifier,0.2893,0.7997,0.1387,0.1093,0.9997,0.9617,0.8613,"[6441, 758, 1025, 1300]",0.8128,0.5932,0.5591,0.6317,0.4737,0.5591,0.8947
Adult Income,race,race,LGAFFS,RandomForestClassifier,0.5689,0.9003,0.1166,0.0436,0.9999,0.9323,0.8834,"[6448, 751, 1011, 1314]",0.815,0.5986,0.5652,0.6363,0.4804,0.5652,0.8957
Adult Income,sex,race,LGAFFS,RandomForestClassifier,0.3033,0.8038,0.1562,0.0997,0.9999,0.9563,0.8438,"[6445, 754, 1011, 1314]",0.8147,0.5982,0.5652,0.6354,0.4797,0.5652,0.8953
,,,,XGBClassifier,0.5486,0.8981,0.1207,0.0381,0.9999,0.9468,0.8793,"[9870, 920, 1398, 2099]",0.8378,0.6443,0.6002,0.6953,0.5424,0.6002,0.9147
Adult Income,race,sex,LGAFFS,RandomForestClassifier,0.589,0.9067,0.1079,0.0363,1.0,0.9323,0.8921,"[6492, 707, 998, 1327]",0.821,0.6089,0.5708,0.6524,0.4953,0.5708,0.9018
Adult Income,sex,sex,LGAFFS,RandomForestClassifier,0.28,0.7978,0.206,0.0956,1.0,0.9595,0.794,"[6486, 713, 995, 1330]",0.8207,0.609,0.572,0.651,0.495,0.572,0.901
,,,,XGBClassifier,0.2707,0.8048,0.1997,0.0905,1.0,0.974,0.8003,"[9911, 879, 1481, 2016]",0.8348,0.6308,0.5765,0.6964,0.5295,0.5765,0.9185
