dataset,sensitive_attribute,value,algorithm,model,disparate_impact,discrimination_score,true_positive_rate_diff,false_positive_rate_diff,false_positive_error_rate_balance_score,false_negative_error_rate_balance_score,consistency,confusion_matrix,accuracy,f1_score,recall,precision,mathews_cc,sensitivity,specificity
Adult Income,race,Amer-Indian-Eskimo,race,RandomForestClassifier,0.3969,0.8707,0.2624,0.0651,0.9369,0.756,0.9393,"[6458, 741, 1035, 1290]",0.8135,0.5923,0.5548,0.6352,0.4739,0.5548,0.8971
Adult Income,race,Asian-Pac-Islander,race,RandomForestClassifier,1.3065,0.9352,-0.0289,-0.0219,0.9769,0.9716,0.9392,"[6465, 734, 1026, 1299]",0.8152,0.5961,0.5587,0.639,0.4788,0.5587,0.898
Adult Income,race,Black,race,RandomForestClassifier,0.443,0.8735,0.1027,0.0565,0.9438,0.9005,0.9391,"[6459, 740, 1019, 1306]",0.8153,0.5976,0.5617,0.6383,0.48,0.5617,0.8972
Adult Income,race,Other,race,RandomForestClassifier,0.3235,0.8528,0.3118,0.046,0.9568,0.6882,0.9402,"[6441, 758, 1020, 1305]",0.8133,0.5948,0.5613,0.6326,0.4755,0.5613,0.8947
Adult Income,race,White,race,RandomForestClassifier,1.6664,0.9087,-0.0574,-0.045,0.9548,0.9411,0.9399,"[6457, 742, 1018, 1307]",0.8152,0.5976,0.5622,0.6379,0.4799,0.5622,0.8969
Adult Income,sex,Female,sex,RandomForestClassifier,0.2878,0.801,0.1438,0.1057,0.8942,0.8578,0.9368,"[6467, 732, 1018, 1307]",0.8163,0.599,0.5622,0.641,0.4822,0.5622,0.8983
Adult Income,sex,Male,sex,RandomForestClassifier,3.512,0.8018,-0.1413,-0.1064,0.8935,0.8598,0.9364,"[6469, 730, 1036, 1289]",0.8146,0.5935,0.5544,0.6384,0.4761,0.5544,0.8986
Adult Income,race,Amer-Indian-Eskimo,Massaging,RandomForestClassifier,0.6929,0.9434,0.1968,0.0081,0.996,0.8218,0.9415,"[6587, 612, 1187, 1138]",0.8111,0.5585,0.4895,0.6503,0.4486,0.4895,0.915
Adult Income,race,Asian-Pac-Islander,Massaging,RandomForestClassifier,1.6387,0.8837,-0.1282,-0.0553,0.9427,0.8706,0.946,"[6597, 602, 1157, 1168]",0.8153,0.5705,0.5024,0.6599,0.4624,0.5024,0.9164
Adult Income,race,Black,Massaging,RandomForestClassifier,0.463,0.8941,0.047,0.0469,0.9528,0.9557,0.9386,"[6579, 620, 1164, 1161]",0.8127,0.5655,0.4994,0.6519,0.4553,0.4994,0.9139
Adult Income,race,Other,Massaging,RandomForestClassifier,0.4406,0.8927,0.0117,0.0279,0.9749,0.9882,0.9418,"[6570, 629, 1135, 1190]",0.8148,0.5743,0.5118,0.6542,0.4638,0.5118,0.9126
Adult Income,race,White,Massaging,RandomForestClassifier,1.473,0.9352,0.0143,-0.0322,0.9676,0.987,0.9404,"[6553, 646, 1138, 1187]",0.8127,0.5709,0.5105,0.6476,0.4585,0.5105,0.9103
,,,,XGBClassifier,0.5409,0.8974,0.0983,0.0499,0.9485,0.9404,0.9495,"[9566, 1224, 1541, 1956]",0.8065,0.5859,0.5593,0.6151,0.4609,0.5593,0.8866
Adult Income,race,Amer-Indian-Eskimo,Massaging,RandomForestClassifier,0.4947,0.8913,0.3332,0.0239,0.9803,0.6818,0.9467,"[6475, 724, 1009, 1316]",0.818,0.603,0.566,0.6451,0.4873,0.566,0.8994
Adult Income,race,Asian-Pac-Islander,Massaging,RandomForestClassifier,1.2926,0.9346,-0.0448,-0.013,0.9858,0.9537,0.9484,"[6403, 796, 972, 1353]",0.8144,0.6048,0.5819,0.6296,0.4844,0.5819,0.8894
Adult Income,race,Black,Massaging,RandomForestClassifier,0.4749,0.8807,0.0259,0.0559,0.9443,0.9713,0.9488,"[6471, 728, 999, 1326]",0.8187,0.6056,0.5703,0.6456,0.4901,0.5703,0.8989
Adult Income,race,Other,Massaging,RandomForestClassifier,0.3243,0.8533,0.315,0.0443,0.9585,0.6852,0.9481,"[6453, 746, 1013, 1312]",0.8153,0.5987,0.5643,0.6375,0.4808,0.5643,0.8964
Adult Income,race,White,Massaging,RandomForestClassifier,1.5082,0.9258,-0.0168,-0.0344,0.9658,0.9826,0.9487,"[6486, 713, 1043, 1282]",0.8156,0.5935,0.5514,0.6426,0.4775,0.5514,0.901
,,,,XGBClassifier,0.9919,0.998,0.0058,0.0252,0.973,0.9989,0.9625,"[9513, 1277, 1259, 2238]",0.8225,0.6383,0.64,0.6367,0.5207,0.64,0.8816
Adult Income,race,Amer-Indian-Eskimo,Massaging,RandomForestClassifier,0.4836,0.8523,0.2222,0.1153,0.8888,0.7999,0.9363,"[5823, 1376, 991, 1334]",0.7515,0.5299,0.5738,0.4923,0.3643,0.5738,0.8089
Adult Income,race,Asian-Pac-Islander,Massaging,RandomForestClassifier,1.1998,0.9429,-0.0821,0.0053,0.9942,0.9148,0.9329,"[5797, 1402, 988, 1337]",0.7491,0.528,0.5751,0.4881,0.3609,0.5751,0.8053
Adult Income,race,Black,Massaging,RandomForestClassifier,0.6592,0.8992,0.1134,0.0388,0.9618,0.8897,0.9358,"[5804, 1395, 995, 1330]",0.7491,0.5267,0.572,0.4881,0.3595,0.572,0.8062
Adult Income,race,Other,Massaging,RandomForestClassifier,0.6589,0.9052,0.3007,0.01,0.9827,0.6994,0.934,"[5838, 1361, 1046, 1279]",0.7473,0.5152,0.5501,0.4845,0.3465,0.5501,0.8109
Adult Income,race,White,Massaging,RandomForestClassifier,1.3473,0.9238,-0.0586,-0.0358,0.9645,0.9402,0.9352,"[5828, 1371, 985, 1340]",0.7526,0.5322,0.5763,0.4943,0.3674,0.5763,0.8096
,,,,XGBClassifier,0.7371,0.923,0.1338,0.0085,0.992,0.8671,0.9441,"[8790, 2000, 1416, 2081]",0.7609,0.5492,0.5951,0.5099,0.39,0.5951,0.8146
Adult Income,race,Amer-Indian-Eskimo,Massaging,RandomForestClassifier,0.4689,0.8795,0.3427,0.0363,0.9678,0.6723,0.9395,"[6386, 813, 987, 1338]",0.811,0.5979,0.5755,0.622,0.4752,0.5755,0.8871
Adult Income,race,Asian-Pac-Islander,Massaging,RandomForestClassifier,1.4894,0.8936,-0.1598,-0.0199,0.9786,0.8443,0.9392,"[6417, 782, 1004, 1321]",0.8125,0.5967,0.5682,0.6282,0.4759,0.5682,0.8914
Adult Income,race,Black,Massaging,RandomForestClassifier,0.4937,0.883,0.0463,0.0513,0.9494,0.9504,0.9403,"[6433, 766, 997, 1328]",0.8149,0.601,0.5712,0.6342,0.4821,0.5712,0.8936
Adult Income,race,Other,Massaging,RandomForestClassifier,0.4289,0.8687,0.0798,0.0414,0.9621,0.9201,0.9389,"[6366, 833, 977, 1348]",0.81,0.5983,0.5798,0.6181,0.4744,0.5798,0.8843
Adult Income,race,White,Massaging,RandomForestClassifier,1.4872,0.9221,0.0002,-0.0413,0.9583,0.9986,0.9386,"[6378, 821, 989, 1336]",0.81,0.5962,0.5746,0.6194,0.4727,0.5746,0.886
,,,,XGBClassifier,0.5,0.8434,0.1363,0.0658,0.9304,0.8353,0.9476,"[8905, 1885, 925, 2572]",0.8033,0.6467,0.7355,0.5771,0.5204,0.7355,0.8253
Adult Income,race,Amer-Indian-Eskimo,Massaging,RandomForestClassifier,0.4915,0.8899,0.2106,0.0528,0.95,0.8116,0.9376,"[6453, 746, 1018, 1307]",0.8148,0.5971,0.5622,0.6366,0.479,0.5622,0.8964
