dataset,sensitive_attribute,value,algorithm,model,disparate_impact,discrimination_score,true_positive_rate_diff,false_positive_rate_diff,false_positive_error_rate_balance_score,false_negative_error_rate_balance_score,consistency,confusion_matrix,accuracy,f1_score,recall,precision,mathews_cc,sensitivity,specificity
Adult Income,race,Amer-Indian-Eskimo,race,RandomForestClassifier,0.3424,0.8569,0.2694,0.08,0.9215,0.7491,0.9386,"[6445, 754, 1019, 1306]",0.8138,0.5957,0.5617,0.634,0.4768,0.5617,0.8953
Adult Income,race,Asian-Pac-Islander,race,RandomForestClassifier,1.2979,0.9366,-0.0444,-0.0118,0.9875,0.9554,0.941,"[6463, 736, 1015, 1310]",0.8161,0.5994,0.5634,0.6403,0.4824,0.5634,0.8978
Adult Income,race,Black,race,RandomForestClassifier,0.4482,0.8774,0.0932,0.0544,0.9458,0.9099,0.9405,"[6481, 718, 1040, 1285]",0.8154,0.5938,0.5527,0.6415,0.4774,0.5527,0.9003
Adult Income,race,Other,race,RandomForestClassifier,0.1978,0.8285,0.3097,0.0714,0.9299,0.6903,0.94,"[6474, 725, 1025, 1300]",0.8163,0.5977,0.5591,0.642,0.4813,0.5591,0.8993
Adult Income,race,White,race,RandomForestClassifier,1.7178,0.9046,-0.0437,-0.0536,0.9467,0.9554,0.9413,"[6464, 735, 1017, 1308]",0.816,0.5989,0.5626,0.6402,0.4819,0.5626,0.8979
Adult Income,sex,Female,sex,RandomForestClassifier,0.2887,0.8019,0.14,0.1052,0.8947,0.8618,0.9363,"[6472, 727, 1019, 1306]",0.8167,0.5994,0.5617,0.6424,0.483,0.5617,0.899
Adult Income,sex,Male,sex,RandomForestClassifier,3.3281,0.8063,-0.1187,-0.1032,0.8969,0.8806,0.9359,"[6471, 728, 1022, 1303]",0.8163,0.5983,0.5604,0.6416,0.4817,0.5604,0.8989
Adult Income,race,Amer-Indian-Eskimo,LearningFairRepresentations,RandomForestClassifier,0.0,0.9999,0.0,0.0001,0.9999,1.0,0.9999,"[7198, 1, 2325, 0]",0.7558,0.0,0.0,0.0,-0.0058,0.0,0.9999
Adult Income,race,Asian-Pac-Islander,LearningFairRepresentations,RandomForestClassifier,0.0,0.9999,0.0,0.0001,0.9999,1.0,0.9999,"[7198, 1, 2325, 0]",0.7558,0.0,0.0,0.0,-0.0058,0.0,0.9999
Adult Income,race,Black,LearningFairRepresentations,RandomForestClassifier,3.1,0.9979,0.0,-0.0022,0.9977,1.0,0.9993,"[7187, 12, 2325, 0]",0.7546,0.0,0.0,0.0,-0.0202,0.0,0.9983
Adult Income,race,Other,LearningFairRepresentations,RandomForestClassifier,,1.0,0.0,0.0,1.0,1.0,1.0,"[7199, 0, 2325, 0]",0.7559,0.0,0.0,0.0,0.0,0.0,1.0
Adult Income,race,White,LearningFairRepresentations,RandomForestClassifier,,1.0,0.0,0.0,1.0,1.0,1.0,"[7199, 0, 2325, 0]",0.7559,0.0,0.0,0.0,0.0,0.0,1.0
,,,,XGBClassifier,1.5069,0.8928,-0.189,-0.0659,0.9292,0.7854,0.9654,"[8174, 2616, 3078, 419]",0.6015,0.1283,0.1198,0.1381,-0.1289,0.1198,0.7576
Adult Income,race,Amer-Indian-Eskimo,LearningFairRepresentations,RandomForestClassifier,0.0,0.9985,0.0004,0.0019,0.9982,0.9996,0.9983,"[7186, 13, 2324, 1]",0.7546,0.0009,0.0004,0.0714,-0.0154,0.0004,0.9982
Adult Income,race,Asian-Pac-Islander,LearningFairRepresentations,RandomForestClassifier,0.0,0.9971,0.0004,0.0037,0.9963,0.9996,0.9979,"[7173, 26, 2324, 1]",0.7533,0.0009,0.0004,0.037,-0.0257,0.0004,0.9964
Adult Income,race,Black,LearningFairRepresentations,RandomForestClassifier,,1.0,0.0,0.0,1.0,1.0,1.0,"[7199, 0, 2325, 0]",0.7559,0.0,0.0,0.0,0.0,0.0,1.0
Adult Income,race,Other,LearningFairRepresentations,RandomForestClassifier,0.0,0.9997,0.0,0.0004,0.9996,1.0,0.9994,"[7196, 3, 2325, 0]",0.7556,0.0,0.0,0.0,-0.0101,0.0,0.9996
Adult Income,race,White,LearningFairRepresentations,RandomForestClassifier,,1.0,0.0,0.0,1.0,1.0,1.0,"[7199, 0, 2325, 0]",0.7559,0.0,0.0,0.0,0.0,0.0,1.0
,,,,XGBClassifier,,1.0,0.0,0.0,1.0,1.0,1.0,"[10790, 0, 3497, 0]",0.7552,0.0,0.0,0.0,0.0,0.0,1.0
Adult Income,race,Amer-Indian-Eskimo,LearningFairRepresentations,RandomForestClassifier,,1.0,0.0,0.0,1.0,1.0,1.0,"[7199, 0, 2325, 0]",0.7559,0.0,0.0,0.0,0.0,0.0,1.0
Adult Income,race,Asian-Pac-Islander,LearningFairRepresentations,RandomForestClassifier,,1.0,0.0,0.0,1.0,1.0,1.0,"[7199, 0, 2325, 0]",0.7559,0.0,0.0,0.0,0.0,0.0,1.0
Adult Income,race,Black,LearningFairRepresentations,RandomForestClassifier,,1.0,0.0,0.0,1.0,1.0,1.0,"[7199, 0, 2325, 0]",0.7559,0.0,0.0,0.0,0.0,0.0,1.0
Adult Income,race,Other,LearningFairRepresentations,RandomForestClassifier,,1.0,0.0,0.0,1.0,1.0,1.0,"[7199, 0, 2325, 0]",0.7559,0.0,0.0,0.0,0.0,0.0,1.0
Adult Income,race,White,LearningFairRepresentations,RandomForestClassifier,,1.0,0.0,0.0,1.0,1.0,1.0,"[7199, 0, 2325, 0]",0.7559,0.0,0.0,0.0,0.0,0.0,1.0
,,,,XGBClassifier,,1.0,0.0,0.0,1.0,1.0,1.0,"[10790, 0, 3497, 0]",0.7552,0.0,0.0,0.0,0.0,0.0,1.0
Adult Income,race,Amer-Indian-Eskimo,LearningFairRepresentations,RandomForestClassifier,,1.0,0.0,0.0,1.0,1.0,1.0,"[7199, 0, 2325, 0]",0.7559,0.0,0.0,0.0,0.0,0.0,1.0
Adult Income,race,Asian-Pac-Islander,LearningFairRepresentations,RandomForestClassifier,,1.0,0.0,0.0,1.0,1.0,1.0,"[7199, 0, 2325, 0]",0.7559,0.0,0.0,0.0,0.0,0.0,1.0
Adult Income,race,Black,LearningFairRepresentations,RandomForestClassifier,,1.0,0.0,0.0,1.0,1.0,1.0,"[7199, 0, 2325, 0]",0.7559,0.0,0.0,0.0,0.0,0.0,1.0
Adult Income,race,Other,LearningFairRepresentations,RandomForestClassifier,,1.0,0.0,0.0,1.0,1.0,1.0,"[7199, 0, 2325, 0]",0.7559,0.0,0.0,0.0,0.0,0.0,1.0
Adult Income,race,White,LearningFairRepresentations,RandomForestClassifier,,1.0,0.0,0.0,1.0,1.0,1.0,"[7199, 0, 2325, 0]",0.7559,0.0,0.0,0.0,0.0,0.0,1.0
,,,,XGBClassifier,,1.0,0.0,0.0,1.0,1.0,1.0,"[10790, 0, 3497, 0]",0.7552,0.0,0.0,0.0,0.0,0.0,1.0
Adult Income,race,Amer-Indian-Eskimo,LearningFairRepresentations,RandomForestClassifier,0.3617,0.8498,0.215,0.1081,0.8938,0.8036,0.9581,"[6151, 1048, 1145, 1180]",0.7697,0.5183,0.5075,0.5296,0.3673,0.5075,0.8544
Adult Income,race,Asian-Pac-Islander,LearningFairRepresentations,RandomForestClassifier,1.4718,0.8911,-0.1132,-0.0543,0.9462,0.8845,0.9541,"[6214, 985, 1079, 1246]",0.7833,0.547,0.5359,0.5585,0.4048,0.5359,0.8632
Adult Income,race,Black,LearningFairRepresentations,RandomForestClassifier,0.4942,0.8789,0.1597,0.052,0.9486,0.839,0.9616,"[6251, 948, 1104, 1221]",0.7845,0.5434,0.5252,0.5629,0.403,0.5252,0.8683
