algorithm,model,value,disparate_impact,discrimination_score,true_positive_rate_diff,false_positive_rate_diff,false_positive_error_rate_balance_score,false_negative_error_rate_balance_score,consistency,confusion_matrix,accuracy,f1_score,recall,precision,mathews_cc,sensitivity,specificity
LFR,RandomForestClassifier,Asian-Pac-Islander,0.9002,0.9738,0.0143,0.0163,0.9817,0.9772,0.9844,"[7199, 0, 2325, 0]",0.717,0.0713,0.0954,0.1096,0.0132,0.0954,0.9178
LFR,XGBClassifier,Asian-Pac-Islander,0.7896,0.9708,0.0095,0.0143,0.9761,0.9809,0.9895,"[10790, 0, 3497, 0]",0.7063,0.0837,0.1224,0.0967,0.012,0.1224,0.8955
LFR,RandomForestClassifier,Black,1.1314,0.9738,-0.066,-0.0012,0.9811,0.9242,0.9876,"[6591, 608, 1623, 702]",0.7415,0.1011,0.1052,0.1246,0.0452,0.1052,0.947
LFR,XGBClassifier,Black,1.9381,0.9635,-0.0142,-0.0175,0.9658,0.9758,0.9918,"[8687, 2103, 1600, 1897]",0.7091,0.1084,0.1598,0.1187,0.0407,0.1598,0.8872
LFR,RandomForestClassifier,Other,1.2678,0.9841,-0.0009,-0.0007,0.9863,0.9849,0.9858,"[7199, 0, 2325, 0]",0.7267,0.073,0.0924,0.1047,0.0145,0.0924,0.9315
LFR,XGBClassifier,Other,1.0761,0.9818,-0.0094,-0.0065,0.9862,0.9849,0.9888,"[10790, 0, 3497, 0]",0.7219,0.0692,0.0725,0.0912,-0.0018,0.0725,0.9324
LFR,RandomForestClassifier,White,0.5863,0.9656,-0.0037,0.0092,0.9672,0.9473,0.986,"[5638, 1561, 1490, 835]",0.7296,0.0862,0.0885,0.1576,0.0316,0.0885,0.9366
LFR,XGBClassifier,White,0.7848,0.9583,0.0107,0.0064,0.9574,0.9492,0.989,"[7239, 3551, 847, 2650]",0.7231,0.0901,0.1056,0.1289,0.0272,0.1056,0.9232
LGAFFS,RandomForestClassifier,Amer-Indian-Eskimo,1.5806,0.8784,-0.12,-0.0565,0.9427,0.8754,0.9471,"[6822, 377, 1539, 786]",0.8042,0.4752,0.3636,0.6866,0.3969,0.3636,0.9465
LGAFFS,XGBClassifier,Amer-Indian-Eskimo,1.2913,0.9404,-0.0748,-0.0288,0.9711,0.9244,0.9641,"[10145, 645, 1994, 1503]",0.8142,0.5347,0.4362,0.6912,0.4436,0.4362,0.9367
LGAFFS,RandomForestClassifier,Asian-Pac-Islander,0.3923,0.8599,0.18,0.0624,0.9378,0.8192,0.9467,"[6504, 695, 1009, 1316]",0.8229,0.6129,0.5743,0.657,0.5007,0.5743,0.9032
LGAFFS,XGBClassifier,Asian-Pac-Islander,0.4369,0.88,0.1245,0.0504,0.9501,0.8745,0.9625,"[9883, 907, 1464, 2033]",0.8337,0.6316,0.5822,0.6901,0.5284,0.5822,0.9152
LGAFFS,RandomForestClassifier,Black,0.4344,0.8862,-0.0543,0.0371,0.9656,0.9225,0.9525,"[6505, 694, 1007, 1318]",0.8093,0.5864,0.5536,0.6237,0.4645,0.5536,0.8919
LGAFFS,XGBClassifier,Black,0.5262,0.8914,0.09,0.0384,0.9591,0.9101,0.9662,"[9883, 907, 1464, 2033]",0.8284,0.6157,0.5617,0.6812,0.5104,0.5617,0.9148
LGAFFS,RandomForestClassifier,Other,1.4566,0.9304,-0.0123,-0.0269,0.9729,0.9885,0.9483,"[6424, 775, 1040, 1285]",0.812,0.5788,0.5292,0.6396,0.4629,0.5292,0.9034
LGAFFS,XGBClassifier,Other,1.5894,0.921,-0.0501,-0.0267,0.9734,0.948,0.9645,"[9505, 1285, 1460, 2037]",0.8157,0.6103,0.5896,0.6326,0.4903,0.5896,0.889
LGAFFS,RandomForestClassifier,White,0.8278,0.9642,0.1042,-0.0024,0.9689,0.9251,0.9485,"[6560, 639, 1029, 1296]",0.8236,0.6138,0.5743,0.6593,0.5022,0.5743,0.9041
LGAFFS,XGBClassifier,White,0.5971,0.9183,0.1395,0.0127,0.9858,0.8876,0.9649,"[9947, 843, 1531, 1966]",0.8347,0.63,0.5748,0.6971,0.529,0.5748,0.919
PGA,RandomForestClassifier,Amer-Indian-Eskimo,0.7791,0.9501,0.193,-0.0084,0.9696,0.8257,0.9404,"[6488, 711, 1170, 1155]",0.7981,0.542,0.4901,0.6073,0.4186,0.4901,0.8976
PGA,RandomForestClassifier,Asian-Pac-Islander,1.2483,0.947,-0.0146,-0.013,0.9828,0.9282,0.9405,"[6488, 711, 1170, 1155]",0.7981,0.542,0.4901,0.6073,0.4186,0.4901,0.8976
PGA,RandomForestClassifier,Black,0.5406,0.9051,0.0054,0.0442,0.956,0.9841,0.94,"[6488, 711, 1170, 1155]",0.7981,0.542,0.4901,0.6073,0.4186,0.4901,0.8976
PGA,RandomForestClassifier,Other,0.3317,0.8674,0.1332,0.0549,0.9473,0.852,0.9403,"[6488, 711, 1170, 1155]",0.7981,0.542,0.4901,0.6073,0.4186,0.4901,0.8976
PGA,RandomForestClassifier,White,1.4743,0.9341,-0.013,-0.0327,0.9673,0.9669,0.9402,"[6488, 711, 1170, 1155]",0.7981,0.542,0.4901,0.6073,0.4186,0.4901,0.8976
PGA,XGBClassifier,Amer-Indian-Eskimo,0.6704,0.9033,0.0443,0.0352,0.9242,0.8884,0.9548,"[9922, 868, 1603, 1894]",0.7991,0.5706,0.5495,0.6016,0.4438,0.5495,0.88
PGA,XGBClassifier,Asian-Pac-Islander,1.0483,0.9795,0.0268,-0.0056,0.9837,0.954,0.9547,,,,,,,,
PGA,XGBClassifier,Black,0.5727,0.899,0.0788,0.0425,0.9567,0.921,0.9545,,,,,,,,
PGA,XGBClassifier,Other,0.4856,0.8776,0.2074,0.0431,0.948,0.8017,0.9546,,,,,,,,
PGA,XGBClassifier,White,1.5466,0.9176,-0.0653,-0.0358,0.9642,0.934,0.9544,,,,,,,,
