Dataset,Protected Attribute,Intervention Attribute,Algorithm,Classifier,Accuracy,Disparate Impact,Discrimination Score
COMPAS,race,NA,NA,LogisticRegression,0.9706018518518519,0.84000753,-0.09745618
COMPAS,sex,NA,NA,LogisticRegression,0.96875,1.24590837,0.12799833
COMPAS,race,race,Massaging,LogisticRegression,0.9340277777777779,0.99984495,-8.449e-05
COMPAS,sex,race,Massaging,LogisticRegression,0.936574074074074,1.17908057,0.09436045
COMPAS,race,sex,Massaging,LogisticRegression,0.9729166666666667,0.84000753,-0.09745618
COMPAS,sex,sex,Massaging,LogisticRegression,0.9694444444444444,1.24590837,0.12799833
COMPAS,race,race,Reweighing,LogisticRegression,0.9722222222222223,0.84000753,-0.09745618
COMPAS,sex,race,Reweighing,LogisticRegression,0.9703703703703702,1.24590837,0.12799833
COMPAS,race,sex,Reweighing,LogisticRegression,0.9717592592592592,0.84000753,-0.09745618
COMPAS,sex,sex,Reweighing,LogisticRegression,0.9715277777777777,1.24590837,0.12799833
COMPAS,race,race,DisparateImpactRemover,LogisticRegression,0.9710648148148147,0.84000753,-0.09745618
COMPAS,sex,race,DisparateImpactRemover,LogisticRegression,0.9708333333333332,1.24590837,0.12799833
COMPAS,race,sex,DisparateImpactRemover,LogisticRegression,0.9680555555555556,0.84000753,-0.09745618
COMPAS,sex,sex,DisparateImpactRemover,LogisticRegression,0.9724537037037037,1.24590837,0.12799833
COMPAS,race,race,LearningFairRepresentations,LogisticRegression,1.0,0.82130023,-0.10443272
COMPAS,sex,race,LearningFairRepresentations,LogisticRegression,1.0,1.28871696,0.14109402
COMPAS,race,sex,LearningFairRepresentations,LogisticRegression,1.0,0.82130023,-0.10443272
COMPAS,sex,sex,LearningFairRepresentations,LogisticRegression,1.0,1.28871696,0.14109402
