dataset,sensitive_attribute,value,algorithm,model,disparate_impact,discrimination_score,true_positive_rate_diff,false_positive_rate_diff,false_positive_error_rate_balance_score,false_negative_error_rate_balance_score,consistency,confusion_matrix,accuracy,f1_score,recall,precision,mathews_cc,sensitivity,specificity
Adult Income,race,Amer-Indian-Eskimo,race,RandomForestClassifier,0.3478,0.8603,0.2641,0.0772,0.9243,0.7542,0.9392,"[6465, 734, 1031, 1294]",0.8147,0.5945,0.5566,0.6381,0.477,0.5566,0.898
Adult Income,race,Asian-Pac-Islander,race,RandomForestClassifier,1.2835,0.9404,-0.0384,-0.011,0.9883,0.9622,0.9396,"[6457, 742, 1047, 1278]",0.8122,0.5883,0.5497,0.6327,0.4693,0.5497,0.8969
Adult Income,race,Black,race,RandomForestClassifier,0.4293,0.8717,0.0967,0.0588,0.9412,0.9063,0.9398,"[6469, 730, 1032, 1293]",0.815,0.5948,0.5561,0.6391,0.4776,0.5561,0.8986
Adult Income,race,Other,race,RandomForestClassifier,0.2625,0.8418,0.3085,0.058,0.9442,0.6916,0.9407,"[6463, 736, 1028, 1297]",0.8148,0.5952,0.5578,0.638,0.4776,0.5578,0.8978
Adult Income,race,White,race,RandomForestClassifier,1.6463,0.911,-0.0454,-0.0454,0.9543,0.9532,0.9399,"[6454, 745, 1033, 1292]",0.8133,0.5924,0.5557,0.6343,0.4737,0.5557,0.8965
Adult Income,sex,Female,sex,RandomForestClassifier,0.296,0.8045,0.12,0.1056,0.8944,0.8792,0.9359,"[6465, 734, 1026, 1299]",0.8152,0.5961,0.5587,0.639,0.4788,0.5587,0.898
Adult Income,sex,Male,sex,RandomForestClassifier,3.2859,0.8105,-0.1251,-0.0994,0.9007,0.8768,0.9355,"[6480, 719, 1042, 1283]",0.8151,0.593,0.5518,0.6409,0.4765,0.5518,0.9001
Adult Income,race,Amer-Indian-Eskimo,DisparateImpactRemover,RandomForestClassifier,0.6504,0.9428,0.2243,-0.0091,0.9867,0.7905,0.9471,"[6710, 489, 1260, 1065]",0.8164,0.5491,0.4581,0.6853,0.4535,0.4581,0.9321
Adult Income,race,Asian-Pac-Islander,DisparateImpactRemover,RandomForestClassifier,1.6205,0.8991,-0.1026,-0.0472,0.9522,0.8988,0.9494,"[6710, 489, 1235, 1090]",0.819,0.5584,0.4688,0.6903,0.4631,0.4688,0.9321
Adult Income,race,Black,DisparateImpactRemover,RandomForestClassifier,0.4626,0.906,0.0793,0.0312,0.9684,0.9202,0.9479,"[6705, 494, 1240, 1085]",0.8179,0.5558,0.4667,0.6871,0.4598,0.4667,0.9314
Adult Income,race,Other,DisparateImpactRemover,RandomForestClassifier,0.1631,0.8553,0.219,0.0616,0.9391,0.7808,0.9439,"[6652, 547, 1235, 1090]",0.8129,0.5502,0.4688,0.6659,0.4473,0.4688,0.924
Adult Income,race,White,DisparateImpactRemover,RandomForestClassifier,1.4717,0.9458,-0.0186,-0.017,0.983,0.9806,0.9483,"[6721, 478, 1267, 1058]",0.8168,0.548,0.4551,0.6888,0.4539,0.4551,0.9336
,,,,XGBClassifier,0.8586,0.9819,-0.0092,-0.0169,0.9848,0.9865,0.9671,"[10278, 512, 2184, 1313]",0.8113,0.4934,0.3755,0.7195,0.4225,0.3755,0.9525
Adult Income,race,Amer-Indian-Eskimo,DisparateImpactRemover,RandomForestClassifier,0.4974,0.8925,0.3249,0.0248,0.9793,0.69,0.9497,"[6468, 731, 1028, 1297]",0.8153,0.5959,0.5578,0.6395,0.4788,0.5578,0.8985
Adult Income,race,Asian-Pac-Islander,DisparateImpactRemover,RandomForestClassifier,1.3292,0.9316,-0.0416,-0.0209,0.9782,0.9584,0.9497,"[6492, 707, 1032, 1293]",0.8174,0.5979,0.5561,0.6465,0.4829,0.5561,0.9018
Adult Income,race,Black,DisparateImpactRemover,RandomForestClassifier,0.4816,0.8828,0.097,0.0457,0.9549,0.9064,0.951,"[6468, 731, 1010, 1315]",0.8172,0.6017,0.5656,0.6427,0.4854,0.5656,0.8985
Adult Income,race,Other,DisparateImpactRemover,RandomForestClassifier,0.321,0.8511,0.3179,0.0461,0.9567,0.6821,0.9476,"[6440, 759, 1006, 1319]",0.8147,0.5991,0.5673,0.6347,0.4804,0.5673,0.8946
Adult Income,race,White,DisparateImpactRemover,RandomForestClassifier,1.6078,0.9146,-0.0444,-0.0418,0.9582,0.9544,0.9516,"[6465, 734, 1025, 1300]",0.8153,0.5965,0.5591,0.6391,0.4792,0.5591,0.898
,,,,XGBClassifier,0.947,0.9873,0.075,0.0126,0.986,0.9316,0.9643,"[9543, 1247, 1323, 2174]",0.8201,0.6285,0.6217,0.6355,0.5099,0.6217,0.8844
Adult Income,race,Amer-Indian-Eskimo,DisparateImpactRemover,RandomForestClassifier,0.4354,0.8759,0.3319,0.043,0.9605,0.6827,0.9554,"[6431, 768, 1011, 1314]",0.8132,0.5963,0.5652,0.6311,0.4765,0.5652,0.8933
