dataset,sensitive_attribute,intervention_attribute,algorithm,model,Label,disparate_impact,discrimination_score,true_positive_rate_diff,false_positive_rate_diff,false_positive_error_rate_balance_score,false_negative_error_rate_balance_score,consistency,confusion_matrix,accuracy,f1_score,recall,precision,mathews_cc,sensitivity,specificity
Adult Income,race,NA,NA,RandomForestClassifier,Amer-Indian-Eskimo,0.1995,0.8291,0.3808,0.0892,0.9115,0.6301,0.9396,"[6471, 728, 1035, 1290]",0.8149,0.5941,0.5548,0.6392,0.4769,0.5548,0.8989
,,,,,Asian-Pac-Islander,1.3963,0.9171,-0.0734,-0.0277,0.9709,0.9254,0.9396,,,,,,,,
,,,,,Black,0.4546,0.878,0.0859,0.0545,0.9456,0.9176,0.9396,,,,,,,,
,,,,,Other,0.1985,0.8292,0.3052,0.0718,0.9294,0.6946,0.9396,,,,,,,,
,,,,,White,1.6471,0.9118,-0.0398,-0.0457,0.954,0.9591,0.9396,,,,,,,,
,,,,,Average,0.7792,0.873,0.1317,0.0284,0.9423,0.8254,0.9396,,,,,,,,
,,,,,Std,0.6185,0.0383,0.1821,0.0546,0.0204,0.1354,0.0,,,,,,,,
Adult Income,sex,NA,NA,RandomForestClassifier,Female,0.2984,0.806,0.1413,0.1017,0.8981,0.8598,0.9366,"[6461, 738, 1036, 1289]",0.8137,0.5924,0.5544,0.6359,0.4743,0.5544,0.8975
,,,,,Male,3.3515,0.806,-0.1413,-0.1017,0.8981,0.8598,0.9366,,,,,,,,
,,,,,Average,1.825,0.806,0.0,0.0,0.8981,0.8598,0.9366,,,,,,,,
,,,,,Std,1.5266,0.0,0.1413,0.1017,0.0,0.0,0.0,,,,,,,,
Adult Income,race,race,PermutationGeneticAlgorithm,RandomForestClassifier,Amer-Indian-Eskimo,0.72,0.9421,0.2113,0.0074,0.9981,0.8071,0.9354,"[6407, 792, 1153, 1172]",0.7958,0.5465,0.5041,0.5967,0.4184,0.5041,0.89
,,,,,Asian-Pac-Islander,0.985,0.9969,0.115,0.001,0.9995,0.8849,0.9354,,,,,,,,
,,,,,Black,0.9792,0.9957,0.0327,-0.0646,0.9354,0.9708,0.9354,,,,,,,,
,,,,,Other,0.3398,0.8632,0.0039,0.0657,0.9363,0.9959,0.9354,,,,,,,,
,,,,,White,1.0837,0.9839,-0.0824,0.0433,0.9563,0.9165,0.9354,,,,,,,,
,,,,,Average,0.8215,0.9564,0.0561,0.0106,0.9651,0.915,0.9354,,,,,,,,
,,,,,Std,0.2693,0.0507,0.1,0.0444,0.0285,0.0666,0.0,,,,,,,,
Adult Income,sex,race,PermutationGeneticAlgorithm,RandomForestClassifier,Female,0.4102,0.8476,0.0838,0.0745,0.9255,0.9176,0.9342,"[6396, 803, 1144, 1181]",0.7956,0.5482,0.508,0.5953,0.4193,0.508,0.8885
,,,,,Male,2.4377,0.8476,-0.0838,-0.0745,0.9255,0.9176,0.9342,,,,,,,,
,,,,,Average,1.424,0.8476,0.0,0.0,0.9255,0.9176,0.9342,,,,,,,,
,,,,,Std,1.0138,0.0,0.0838,0.0745,0.0,0.0,0.0,,,,,,,,
,,,,XGBClassifier,Amer-Indian-Eskimo,0.7502,0.9488,0.0716,-0.0045,0.9999,0.9668,0.9544,"[9732, 1058, 1633, 1864]",0.8116,0.5808,0.533,0.6379,0.4637,0.533,0.9019
,,,,,Asian-Pac-Islander,0.8414,0.9674,0.1222,0.0188,0.9803,0.8818,0.9544,,,,,,,,
,,,,,Black,1.056,0.9886,0.0944,-0.0923,0.9073,0.9027,0.9544,,,,,,,,
,,,,,Other,0.7054,0.9396,0.0332,0.0022,0.9981,0.9668,0.9544,,,,,,,,
,,,,,White,1.0368,0.9927,-0.1042,0.0638,0.9363,0.896,0.9544,,,,,,,,
,,,,,Average,0.878,0.9674,0.0434,-0.0024,0.9644,0.9228,0.9544,,,,,,,,
,,,,,Std,0.1445,0.021,0.0794,0.0509,0.0366,0.0365,0.0,,,,,,,,
Adult Income,race,sex,PermutationGeneticAlgorithm,RandomForestClassifier,Amer-Indian-Eskimo,1.0005,0.9999,0.092,-0.037,0.9668,0.9266,0.9242,"[6171, 1028, 1429, 896]",0.742,0.4217,0.3854,0.4657,0.2595,0.3854,0.8572
,,,,,Asian-Pac-Islander,1.5003,0.9005,-0.0899,-0.0726,0.9269,0.9067,0.9242,,,,,,,,
,,,,,Black,0.8671,0.9728,-0.0537,-0.0013,0.9988,0.9448,0.9242,,,,,,,,
