dataset,sensitive_attribute,value,algorithm,model,disparate_impact,discrimination_score,true_positive_rate_diff,false_positive_rate_diff,false_positive_error_rate_balance_score,false_negative_error_rate_balance_score,consistency,confusion_matrix,accuracy,f1_score,recall,precision,mathews_cc,sensitivity,specificity
Adult Income,race,Amer-Indian-Eskimo,NA,RandomForestClassifier,0.3501,0.8617,0.2637,0.0755,0.9259,0.7547,0.9388,"[6477, 722, 1032, 1293]",0.8158,0.5959,0.5561,0.6417,0.4794,0.5561,0.8997
Adult Income,race,Asian-Pac-Islander,NA,RandomForestClassifier,1.3198,0.9323,-0.0617,-0.0108,0.9885,0.9373,0.9395,"[6456, 743, 1032, 1293]",0.8136,0.593,0.5561,0.6351,0.4746,0.5561,0.8968
Adult Income,race,Black,NA,RandomForestClassifier,0.4231,0.8699,0.1152,0.0586,0.9414,0.8868,0.9405,"[6462, 737, 1033, 1292]",0.8142,0.5935,0.5557,0.6368,0.4756,0.5557,0.8976
Adult Income,race,Other,NA,RandomForestClassifier,0.2625,0.8418,0.3105,0.0572,0.9449,0.6895,0.9392,"[6468, 731, 1023, 1302]",0.8158,0.5975,0.56,0.6404,0.4806,0.56,0.8985
Adult Income,race,White,NA,RandomForestClassifier,1.6844,0.9072,-0.048,-0.0487,0.9508,0.951,0.9398,"[6458, 741, 1018, 1307]",0.8153,0.5978,0.5622,0.6382,0.4801,0.5622,0.8971
Adult Income,sex,Female,NA,RandomForestClassifier,0.296,0.8066,0.1318,0.1032,0.8969,0.8699,0.9366,"[6471, 728, 1042, 1283]",0.8142,0.5918,0.5518,0.638,0.4744,0.5518,0.8989
Adult Income,sex,Male,NA,RandomForestClassifier,3.4284,0.8033,-0.1228,-0.1066,0.8933,0.8762,0.9358,"[6468, 731, 1027, 1298]",0.8154,0.5962,0.5583,0.6397,0.4792,0.5583,0.8985
Adult Income,race,Amer-Indian-Eskimo,PermutationGeneticAlgorithm,RandomForestClassifier,0.6331,0.926,0.2647,0.0154,0.9895,0.7502,0.9351,"[6443, 756, 1167, 1158]",0.7981,0.5464,0.4981,0.605,0.4213,0.4981,0.895
Adult Income,race,Asian-Pac-Islander,PermutationGeneticAlgorithm,RandomForestClassifier,1.2849,0.9451,-0.0538,-0.0061,0.9934,0.9495,0.9344,"[6457, 742, 1216, 1109]",0.7944,0.5311,0.477,0.5991,0.4059,0.477,0.8969
Adult Income,race,Black,PermutationGeneticAlgorithm,RandomForestClassifier,0.529,0.9049,0.0212,0.0438,0.9568,0.982,0.9374,"[6489, 710, 1200, 1125]",0.7995,0.5409,0.4839,0.6131,0.4196,0.4839,0.9014
Adult Income,race,Other,PermutationGeneticAlgorithm,RandomForestClassifier,0.2193,0.8494,0.226,0.0709,0.9304,0.7739,0.9369,"[6478, 721, 1219, 1106]",0.7963,0.5328,0.4757,0.6054,0.4097,0.4757,0.8998
Adult Income,race,White,PermutationGeneticAlgorithm,RandomForestClassifier,1.5463,0.9274,-0.037,-0.0356,0.9645,0.9633,0.9367,"[6478, 721, 1189, 1136]",0.7995,0.5433,0.4886,0.6117,0.4212,0.4886,0.8998
Adult Income,race,,,XGBClassifier,0.395,0.8317,0.2593,0.0822,0.9123,0.745,0.949,"[9083, 1707, 1250, 2247]",0.793,0.6031,0.6426,0.5683,0.4655,0.6426,0.8418
,,,,,1.0423,0.9883,0.0339,-0.0111,0.9901,0.963,0.9491,,,,,,,,
,,,,,0.5566,0.8719,0.0653,0.0683,0.9316,0.9361,0.9492,,,,,,,,
,,,,,0.4335,0.8425,0.2436,0.0766,0.9276,0.7852,0.9491,,,,,,,,
,,,,,1.6002,0.8904,-0.0749,-0.0604,0.9399,0.924,0.949,,,,,,,,
Adult Income,sex,Female,PermutationGeneticAlgorithm,RandomForestClassifier,1.0788,0.9844,-0.1057,-0.0618,0.9382,0.8938,0.9175,"[6161, 1038, 1429, 896]",0.741,0.4208,0.3854,0.4633,0.2575,0.3854,0.8558
Adult Income,sex,Male,PermutationGeneticAlgorithm,RandomForestClassifier,0.9162,0.9819,0.0801,0.0702,0.9297,0.9203,0.9166,"[6165, 1034, 1418, 907]",0.7425,0.4252,0.3901,0.4673,0.2628,0.3901,0.8564
Adult Income,sex,,,XGBClassifier,1.1999,0.9634,-0.117,-0.0884,0.9117,0.8824,0.9387,"[9429, 1361, 2068, 1429]",0.76,0.4546,0.4086,0.5122,0.3064,0.4086,0.8739
,,,,,0.8334,0.9634,0.117,0.0884,0.9117,0.8824,0.9387,,,,,,,,
