dataset,sensitive_attribute,value,algorithm,model,disparate_impact,discrimination_score,true_positive_rate_diff,false_positive_rate_diff,false_positive_error_rate_balance_score,false_negative_error_rate_balance_score,consistency,confusion_matrix,accuracy,f1_score,recall,precision,mathews_cc,sensitivity,specificity
Adult Income,race,Amer-Indian-Eskimo,NA,RandomForestClassifier,0.2477,0.8384,0.3208,0.0915,0.9092,0.6939,0.9391,"[6455, 744, 1037, 1288]",0.813,0.5912,0.554,0.6339,0.4725,0.554,0.8967
Adult Income,race,Asian-Pac-Islander,NA,RandomForestClassifier,1.3319,0.9288,-0.0636,-0.0145,0.9846,0.9352,0.9394,"[6447, 752, 1013, 1312]",0.8147,0.5979,0.5643,0.6357,0.4794,0.5643,0.8955
Adult Income,race,Black,NA,RandomForestClassifier,0.45,0.8757,0.0957,0.0542,0.9459,0.9077,0.9408,"[6473, 726, 1013, 1312]",0.8174,0.6014,0.5643,0.6438,0.4854,0.5643,0.8992
Adult Income,race,Other,NA,RandomForestClassifier,0.2616,0.8411,0.3056,0.0596,0.9425,0.6942,0.941,"[6451, 748, 1034, 1291]",0.8129,0.5917,0.5553,0.6332,0.4727,0.5553,0.8961
Adult Income,race,White,NA,RandomForestClassifier,1.7442,0.9037,-0.0659,-0.0525,0.9479,0.9357,0.9394,"[6459, 740, 1048, 1277]",0.8123,0.5882,0.5492,0.6331,0.4694,0.5492,0.8972
Adult Income,sex,Female,NA,RandomForestClassifier,0.3,0.8045,0.1286,0.1044,0.8955,0.8707,0.9351,"[6452, 747, 1023, 1302]",0.8142,0.5953,0.56,0.6354,0.4769,0.56,0.8962
Adult Income,sex,Male,NA,RandomForestClassifier,3.4679,0.8038,-0.137,-0.1059,0.894,0.8644,0.9362,"[6466, 733, 1045, 1280]",0.8133,0.5901,0.5505,0.6359,0.4721,0.5505,0.8982
Adult Income,race,Amer-Indian-Eskimo,PermutationGeneticAlgorithm,RandomForestClassifier,0.8106,0.9627,0.2096,-0.018,0.9758,0.8088,0.9418,"[6496, 703, 1157, 1168]",0.8047,0.5567,0.5024,0.6243,0.4376,0.5024,0.9023
Adult Income,race,Asian-Pac-Islander,PermutationGeneticAlgorithm,RandomForestClassifier,1.0341,0.9933,0.0697,0.0092,0.9904,0.9321,0.943,"[6487, 712, 1164, 1161]",0.803,0.5531,0.4994,0.6199,0.4328,0.4994,0.9011
Adult Income,race,Black,PermutationGeneticAlgorithm,RandomForestClassifier,0.5387,0.9041,-0.0133,0.045,0.9555,0.9907,0.9416,"[6481, 718, 1150, 1175]",0.8039,0.5571,0.5054,0.6207,0.4366,0.5054,0.9003
Adult Income,race,Other,PermutationGeneticAlgorithm,RandomForestClassifier,0.3585,0.874,0.249,0.0383,0.9645,0.7511,0.94,"[6496, 703, 1166, 1159]",0.8038,0.5536,0.4985,0.6224,0.4342,0.4985,0.9023
Adult Income,race,White,PermutationGeneticAlgorithm,RandomForestClassifier,1.5243,0.9289,-0.0293,-0.0333,0.9667,0.9718,0.9422,"[6498, 701, 1155, 1170]",0.8051,0.5577,0.5032,0.6253,0.4388,0.5032,0.9026
Adult Income,race,,,XGBClassifier,1.2096,0.96,-0.0071,-0.0996,0.9013,0.9759,0.9633,"[9917, 873, 1638, 1859]",0.8242,0.5969,0.5316,0.6805,0.4927,0.5316,0.9191
,,,,,0.8107,0.9636,0.1083,0.0301,0.9709,0.8922,0.9633,,,,,,,,
,,,,,0.4729,0.8939,0.0931,0.043,0.957,0.9043,0.9628,,,,,,,,
,,,,,0.376,0.88,0.3328,0.0402,0.9669,0.6814,0.963,,,,,,,,
,,,,,1.7784,0.9108,-0.1072,-0.0319,0.9678,0.8907,0.9628,,,,,,,,
Adult Income,sex,Female,PermutationGeneticAlgorithm,RandomForestClassifier,0.3873,0.8679,-0.1266,0.1276,0.8727,0.8744,0.9246,"[6354, 845, 1530, 795]",0.7506,0.401,0.3419,0.4848,0.2555,0.3419,0.8826
Adult Income,sex,Male,PermutationGeneticAlgorithm,RandomForestClassifier,2.7698,0.8593,0.0855,-0.1304,0.8697,0.9142,0.9261,"[6346, 853, 1520, 805]",0.7508,0.4042,0.3462,0.4855,0.258,0.3462,0.8815
Adult Income,sex,,,XGBClassifier,0.5868,0.921,-0.2679,0.0953,0.9049,0.7312,0.9437,"[9623, 1167, 2309, 1188]",0.7567,0.406,0.3397,0.5045,0.2683,0.3397,0.8918
,,,,,1.7041,0.921,0.2679,-0.0953,0.9049,0.7312,0.9437,,,,,,,,
