Dataset,Protected Attribute,Intervention Attribute,Algorithm,Classifier,Accuracy,Disparate Impact,Discrimination Score,TPRDiff,FPRDiff
German Credit,Attribute9,NA,NA,LogisticRegression,0.7357142857142858,1.1304,1.1538,-0.0921,-0.0353
German Credit,Attribute9,Attribute9,LearningFairRepresentations,LogisticRegression,0.9928571428571429,0.9884,-0.0909,0.0,9.997
