Dataset,Protected Attribute,Intervention Attribute,Algorithm,Classifier,Accuracy,Disparate Impact,Discrimination Score
COMPAS,race,NA,NA,LogisticRegression,0.9694444444444444,0.99167216,-0.00302147
COMPAS,sex,NA,NA,LogisticRegression,0.9699074074074074,0.93748819,-0.02264286
COMPAS,race,race,Reweighing,LogisticRegression,0.9722222222222223,0.99167216,-0.00302147
COMPAS,sex,race,Reweighing,LogisticRegression,0.9706018518518519,1.03608462,0.01274552
COMPAS,race,sex,Reweighing,LogisticRegression,0.9706018518518519,0.96002697,-0.01467388
COMPAS,sex,sex,Reweighing,LogisticRegression,0.9706018518518518,0.9984552,-0.00056357
