dataset,sensitive_attribute,value,algorithm,model,disparate_impact,discrimination_score,true_positive_rate_diff,false_positive_rate_diff,false_positive_error_rate_balance_score,false_negative_error_rate_balance_score,consistency,confusion_matrix,accuracy,f1_score,recall,precision,mathews_cc,sensitivity,specificity
Adult Income,race,Amer-Indian-Eskimo,race,RandomForestClassifier,0.2963,0.8485,0.3262,0.0776,0.9238,0.6887,0.9392,"[6462, 737, 1025, 1300]",0.815,0.5961,0.5591,0.6382,0.4785,0.5591,0.8976
Adult Income,race,Asian-Pac-Islander,race,RandomForestClassifier,1.3167,0.9328,-0.0438,-0.0194,0.9795,0.9566,0.9402,"[6447, 752, 1036, 1289]",0.8123,0.5905,0.5544,0.6316,0.471,0.5544,0.8955
Adult Income,race,Black,race,RandomForestClassifier,0.4579,0.8796,0.0877,0.0536,0.9465,0.9153,0.9389,"[6468, 731, 1052, 1273]",0.8128,0.5881,0.5475,0.6352,0.47,0.5475,0.8985
Adult Income,race,Other,race,RandomForestClassifier,0.1988,0.8295,0.3044,0.0717,0.9296,0.6955,0.939,"[6472, 727, 1037, 1288]",0.8148,0.5935,0.554,0.6392,0.4764,0.554,0.899
Adult Income,race,White,race,RandomForestClassifier,1.7216,0.9041,-0.0531,-0.0523,0.948,0.9456,0.9398,"[6460, 739, 1017, 1308]",0.8156,0.5984,0.5626,0.639,0.481,0.5626,0.8973
Adult Income,sex,Female,sex,RandomForestClassifier,0.3016,0.8066,0.1323,0.1023,0.8974,0.8693,0.9363,"[6458, 741, 1034, 1291]",0.8136,0.5926,0.5553,0.6353,0.4743,0.5553,0.8971
Adult Income,sex,Male,sex,RandomForestClassifier,3.3222,0.8054,-0.1205,-0.105,0.8953,0.8787,0.9357,"[6456, 743, 1025, 1300]",0.8144,0.5952,0.5591,0.6363,0.4771,0.5591,0.8968
Adult Income,race,Amer-Indian-Eskimo,Reweighing,RandomForestClassifier,0.7815,0.9643,0.1704,-0.011,0.9849,0.8482,0.9502,"[6723, 476, 1248, 1077]",0.819,0.5554,0.4632,0.6935,0.4618,0.4632,0.9339
Adult Income,race,Asian-Pac-Islander,Reweighing,RandomForestClassifier,1.5813,0.9078,-0.0824,-0.045,0.9545,0.9206,0.9506,"[6729, 470, 1257, 1068]",0.8187,0.5529,0.4594,0.6944,0.46,0.4594,0.9347
Adult Income,race,Black,Reweighing,RandomForestClassifier,0.4482,0.9068,0.0209,0.0393,0.9609,0.9809,0.9518,"[6737, 462, 1264, 1061]",0.8188,0.5515,0.4563,0.6967,0.4596,0.4563,0.9358
