dataset,sensitive_attribute,intervention_attribute,algorithm,classifier,disparate_impact,discrimination_score,true_positive_rate_diff,false_positive_rate_diff,consistency,fperbs,fnerbs,confusion_matrix,accuracy,f1_score,recall,precision,mathews_cc,sensitivity,specificity
Adult Income,race,NA,NA,RandomForestClassifier,0.58,-0.0958,0.0591,0.0516,0.9998,0.9401,0.9409,"[6456, 743, 1028, 1297]",0.814,0.5943,0.5578,0.6358,0.476,0.5578,0.8968
Adult Income,sex,NA,NA,RandomForestClassifier,0.2911,-0.2001,0.1348,0.1091,0.9998,0.9617,0.8652,"[6442, 757, 1019, 1306]",0.8135,0.5953,0.5617,0.6331,0.4761,0.5617,0.8948
Adult Income,race,race,LGAFFS,RandomForestClassifier,0.5937,-0.094,0.1175,0.0345,0.9999,0.9279,0.8825,"[6472, 727, 978, 1347]",0.821,0.6124,0.5794,0.6495,0.4979,0.5794,0.899
Adult Income,sex,race,LGAFFS,RandomForestClassifier,0.2812,-0.206,0.1514,0.1075,0.9999,0.9642,0.8486,"[6467, 732, 972, 1353]",0.8211,0.6136,0.5819,0.6489,0.4989,0.5819,0.8983
,,,,XGBClassifier,0.554,-0.0985,0.1131,0.0378,1.0,0.9462,0.8869,"[9866, 924, 1465, 2032]",0.8328,0.6298,0.5811,0.6874,0.5258,0.5811,0.9144
Adult Income,race,sex,LGAFFS,RandomForestClassifier,0.5726,-0.0987,0.1086,0.0438,0.9999,0.9332,0.8914,"[6453, 746, 1007, 1318]",0.8159,0.6006,0.5669,0.6386,0.483,0.5669,0.8964
Adult Income,sex,sex,LGAFFS,RandomForestClassifier,0.3025,-0.1954,0.1359,0.1006,0.9999,0.9595,0.8641,"[6464, 735, 1003, 1322]",0.8175,0.6034,0.5686,0.6427,0.487,0.5686,0.8979
,,,,XGBClassifier,0.3386,-0.1793,0.1158,0.0819,0.9999,0.9649,0.8842,"[9870, 920, 1398, 2099]",0.8378,0.6443,0.6002,0.6953,0.5424,0.6002,0.9147
