dataset,sensitive_attribute,intervention_attribute,algorithm,model,Label,disparate_impact,discrimination_score,true_positive_rate_diff,false_positive_rate_diff,false_positive_error_rate_balance_score,false_negative_error_rate_balance_score,consistency,confusion_matrix,accuracy,f1_score,recall,precision,mathews_cc,sensitivity,specificity
Adult Income,race,NA,NA,LogisticRegression,Amer-Indian-Eskimo,0.1937,0.8672,0.2591,0.0769,0.9231,0.7518,0.9635,"[6651, 548, 1316, 1009]",0.8043,0.5198,0.434,0.648,0.4157,0.434,0.9239
,,,,,Asian-Pac-Islander,0.9098,0.9852,0.0819,0.0295,0.9729,0.9159,0.9635,,,,,,,,
,,,,,Black,0.2836,0.8742,0.1783,0.0607,0.9391,0.8248,0.9635,,,,,,,,
,,,,,Other,0.3427,0.892,0.1841,0.0315,0.9705,0.8157,0.9635,,,,,,,,
,,,,,White,2.5119,0.8922,-0.1504,-0.0582,0.9414,0.8507,0.9635,,,,,,,,
,,,,,Average,0.8483,0.9022,0.1106,0.0281,0.9494,0.8318,0.9635,,,,,,,,
,,,,,Std,0.8688,0.0427,0.1421,0.0467,0.0193,0.0532,0.0,,,,,,,,
Adult Income,sex,NA,NA,LogisticRegression,Female,0.0821,0.7852,0.4409,0.1003,0.8997,0.5588,0.9628,"[6651, 548, 1316, 1009]",0.8043,0.5198,0.434,0.648,0.4157,0.434,0.9239
,,,,,Male,12.1875,0.7852,-0.4409,-0.1003,0.8997,0.5588,0.9628,,,,,,,,
,,,,,Average,6.1348,0.7852,0.0,0.0,0.8997,0.5588,0.9628,,,,,,,,
,,,,,Std,6.0527,0.0,0.4409,0.1003,0.0,0.0,0.0,,,,,,,,
Adult Income,race,race,Massaging,LogisticRegression,Amer-Indian-Eskimo,0.7384,0.9736,0.0481,0.0033,0.9987,0.9668,0.9712,"[6898, 301, 1667, 658]",0.7934,0.4007,0.283,0.6861,0.3443,0.283,0.9582
,,,,,Asian-Pac-Islander,1.8451,0.9171,-0.1462,-0.0204,0.9816,0.8525,0.9712,,,,,,,,
,,,,,Black,0.5523,0.9529,0.02,0.0129,0.9876,0.9829,0.9712,,,,,,,,
,,,,,Other,0.0,0.8986,0.2835,0.0422,0.9578,0.7165,0.9712,,,,,,,,
,,,,,White,1.2494,0.9793,0.054,-0.0085,0.9915,0.9476,0.9712,,,,,,,,
,,,,,Average,0.877,0.9443,0.0519,0.0059,0.9834,0.8933,0.9712,,,,,,,,
,,,,,Std,0.6276,0.0316,0.1371,0.0213,0.014,0.0993,0.0,,,,,,,,
Adult Income,sex,race,Massaging,LogisticRegression,Female,0.0478,0.8605,0.3078,0.0593,0.9405,0.6935,0.9711,"[6898, 301, 1667, 658]",0.7934,0.4007,0.283,0.6861,0.3443,0.283,0.9582
,,,,,Male,20.9286,0.8605,-0.3078,-0.0593,0.9405,0.6935,0.9711,,,,,,,,
,,,,,Average,10.4882,0.8605,0.0,0.0,0.9405,0.6935,0.9711,,,,,,,,
,,,,,Std,10.4404,0.0,0.3078,0.0593,0.0,0.0,0.0,,,,,,,,
,,,,XGBClassifier,Amer-Indian-Eskimo,0.9086,0.9812,0.0032,-0.0321,0.9711,0.9859,0.9533,"[9750, 1040, 1603, 1894]",0.815,0.589,0.5416,0.6455,0.4739,0.5416,0.9036
,,,,,Asian-Pac-Islander,0.8546,0.97,0.0936,0.0267,0.9719,0.9083,0.9533,,,,,,,,
