Dataset,Protected Attribute,Intervention Attribute,Algorithm,Classifier,Accuracy,Disparate Impact,Discrimination Score
German Credit,Attribute9,NA,NA,LogisticRegression,0.7542857142857142,0.93079179,-0.03861618
German Credit,Attribute9,Attribute9,Reweighing,LogisticRegression,0.7585714285714286,0.98720341,-0.00673212
