dataset,sensitive_attribute,algorithm,model,value,disparate_impact,discrimination_score,true_positive_rate_diff,false_positive_rate_diff,false_positive_error_rate_balance_score,false_negative_error_rate_balance_score,consistency,confusion_matrix,accuracy,f1_score,recall,precision,mathews_cc,sensitivity,specificity
Adult Income,race,NA,RandomForestClassifier,Amer-Indian-Eskimo,0.1971,0.8265,0.3854,0.0913,0.9094,0.6258,0.9388,"[6456, 743, 1025, 1300]",0.8144,0.5952,0.5591,0.6363,0.4771,0.5591,0.8968
,,,,Asian-Pac-Islander,1.3154,0.933,-0.0386,-0.0206,0.9782,0.9615,0.9388,,,,,,,,
,,,,Black,0.4679,0.8797,0.0901,0.0516,0.9488,0.9131,0.9387,,,,,,,,
,,,,Other,0.2611,0.8407,0.0593,0.0739,0.9273,0.9408,0.9386,,,,,,,,
,,,,White,1.6613,0.9094,-0.0538,-0.0451,0.9546,0.9444,0.939,,,,,,,,
Adult Income,sex,NA,RandomForestClassifier,Female,0.2968,0.8045,0.1356,0.1049,0.8953,0.8658,0.935,"[6454, 745, 1034, 1291]",0.8132,0.5921,0.5553,0.6341,0.4734,0.5553,0.8965
,,,,Male,3.3697,0.8045,-0.1356,-0.1049,0.8953,0.8658,0.935,,,,,,,,
Adult Income,race,PermutationGeneticAlgorithm,RandomForestClassifier,Amer-Indian-Eskimo,0.4986,0.8609,0.2591,0.0984,0.9065,0.7594,0.9392,"[5852, 1347, 1043, 1282]",0.7491,0.5176,0.5514,0.4876,0.3501,0.5514,0.8129
,,,,Asian-Pac-Islander,0.9533,0.9871,0.0838,0.0268,0.9713,0.9199,0.9389,,,,,,,,
,,,,Black,0.6694,0.9057,0.1015,0.0354,0.9652,0.9012,0.9376,,,,,,,,
,,,,Other,0.6103,0.8921,0.3019,0.0381,0.9688,0.6981,0.939,,,,,,,,
,,,,White,1.4335,0.9127,-0.111,-0.0408,0.9592,0.8888,0.9377,,,,,,,,
Adult Income,race,PermutationGeneticAlgorithm,XGBClassifier,Amer-Indian-Eskimo,0.3932,0.8304,0.1249,0.1155,0.883,0.858,0.9456,"[8866, 1924, 1449, 2048]",0.7639,0.5484,0.5856,0.5156,0.3909,0.5856,0.8217
,,,,Asian-Pac-Islander,0.8375,0.9546,0.0757,0.0529,0.9485,0.9246,0.9453,,,,,,,,
,,,,Black,0.751,0.9291,0.1753,-0.005,0.9944,0.8235,0.945,,,,,,,,
,,,,Other,0.6918,0.9141,0.2865,0.0002,0.9947,0.7705,0.9451,,,,,,,,
,,,,White,1.3703,0.9219,-0.1477,-0.0162,0.984,0.8514,0.945,,,,,,,,
Adult Income,sex,PermutationGeneticAlgorithm,RandomForestClassifier,Female,0.3914,0.875,-0.0898,0.1103,0.8899,0.9097,0.934,"[6430, 769, 1529, 796]",0.7587,0.4093,0.3424,0.5086,0.273,0.3424,0.8932
,,,,Male,2.5547,0.875,0.0898,-0.1103,0.8899,0.9097,0.934,,,,,,,,
Adult Income,sex,PermutationGeneticAlgorithm,XGBClassifier,Female,0.5217,0.9051,-0.182,0.0856,0.9144,0.8175,0.951,"[9750, 1040, 2154, 1343]",0.7764,0.4568,0.384,0.5636,0.3318,0.384,0.9036
,,,,Male,1.9169,0.9051,0.182,-0.0856,0.9144,0.8175,0.951,,,,,,,,
