dataset,sensitive_attribute,value,algorithm,model,disparate_impact,discrimination_score,true_positive_rate_diff,false_positive_rate_diff,false_positive_error_rate_balance_score,false_negative_error_rate_balance_score,consistency,confusion_matrix,accuracy,f1_score,recall,precision,mathews_cc,sensitivity,specificity
Adult Income,race,Amer-Indian-Eskimo,race,RandomForestClassifier,0.2972,0.8491,0.3808,0.0652,0.9368,0.6301,0.9392,"[6457, 742, 1035, 1290]",0.8134,0.5922,0.5548,0.6348,0.4737,0.5548,0.8969
Adult Income,race,Asian-Pac-Islander,race,RandomForestClassifier,1.3167,0.9328,-0.0491,-0.0159,0.9832,0.9505,0.9392,"[6457, 742, 1026, 1299]",0.8144,0.5951,0.5587,0.6365,0.477,0.5587,0.8969
Adult Income,race,Black,race,RandomForestClassifier,0.4558,0.8774,0.0681,0.0566,0.9436,0.9267,0.939,"[6458, 741, 1033, 1292]",0.8137,0.5929,0.5557,0.6355,0.4747,0.5557,0.8971
Adult Income,race,Other,race,RandomForestClassifier,0.261,0.8406,0.3113,0.0585,0.9436,0.6886,0.9402,"[6459, 740, 1021, 1304]",0.8151,0.5969,0.5609,0.638,0.4793,0.5609,0.8972
Adult Income,race,White,race,RandomForestClassifier,1.6709,0.9099,-0.0488,-0.0462,0.9534,0.9496,0.9412,"[6474, 725, 1036, 1289]",0.8151,0.5941,0.5544,0.64,0.4773,0.5544,0.8993
Adult Income,sex,Female,sex,RandomForestClassifier,0.3056,0.8069,0.1201,0.1021,0.8976,0.8796,0.9355,"[6459, 740, 1020, 1305]",0.8152,0.5973,0.5613,0.6381,0.4796,0.5613,0.8972
Adult Income,sex,Male,sex,RandomForestClassifier,3.493,0.8048,-0.1426,-0.1036,0.8965,0.8585,0.9371,"[6482, 717, 1047, 1278]",0.8148,0.5917,0.5497,0.6406,0.4751,0.5497,0.9004
Adult Income,race,Amer-Indian-Eskimo,Massaging,RandomForestClassifier,0.6833,0.9408,0.1213,0.0359,0.9683,0.8972,0.9372,"[6389, 810, 1361, 964]",0.772,0.4704,0.4146,0.5434,0.3333,0.4146,0.8875
Adult Income,race,Asian-Pac-Islander,Massaging,RandomForestClassifier,1.4339,0.9193,-0.1249,-0.0175,0.9811,0.8777,0.9382,"[6400, 799, 1329, 996]",0.7766,0.4835,0.4284,0.5549,0.3486,0.4284,0.889
Adult Income,race,Black,Massaging,RandomForestClassifier,0.6495,0.9306,0.0195,0.0255,0.9744,0.9811,0.9365,"[6371, 828, 1331, 994]",0.7733,0.4794,0.4275,0.5456,0.3413,0.4275,0.885
Adult Income,race,Other,Massaging,RandomForestClassifier,0.3001,0.8687,0.1706,0.0671,0.9351,0.8295,0.9367,"[6398, 801, 1348, 977]",0.7744,0.4762,0.4202,0.5495,0.3406,0.4202,0.8887
Adult Income,race,White,Massaging,RandomForestClassifier,1.307,0.9554,0.0199,-0.0222,0.9779,0.9809,0.9378,"[6428, 771, 1348, 977]",0.7775,0.4797,0.4202,0.5589,0.3475,0.4202,0.8929
,,,,XGBClassifier,0.6785,0.9375,-0.1313,0.0734,0.9212,0.83,0.9447,"[9178, 1612, 2340, 1157]",0.7234,0.3693,0.3309,0.4178,0.1974,0.3309,0.8506
Adult Income,race,Amer-Indian-Eskimo,Massaging,RandomForestClassifier,0.6049,0.9166,0.2686,0.0203,0.984,0.7499,0.9483,"[6501, 698, 1021, 1304]",0.8195,0.6027,0.5609,0.6513,0.4891,0.5609,0.903
Adult Income,race,Asian-Pac-Islander,Massaging,RandomForestClassifier,1.3068,0.9359,-0.014,-0.0285,0.9701,0.9873,0.9482,"[6477, 722, 1038, 1287]",0.8152,0.5939,0.5535,0.6406,0.4772,0.5535,0.8997
Adult Income,race,Black,Massaging,RandomForestClassifier,0.4853,0.8845,0.0468,0.0498,0.9506,0.9494,0.9467,"[6476, 723, 1017, 1308]",0.8173,0.6006,0.5626,0.644,0.4847,0.5626,0.8996
Adult Income,race,Other,Massaging,RandomForestClassifier,0.3259,0.8544,0.3126,0.0436,0.9592,0.6873,0.9487,"[6458, 741, 1018, 1307]",0.8153,0.5978,0.5622,0.6382,0.4801,0.5622,0.8971
Adult Income,race,White,Massaging,RandomForestClassifier,1.5545,0.9171,-0.0296,-0.0407,0.9595,0.9701,0.9485,"[6429, 770, 996, 1329]",0.8146,0.6008,0.5716,0.6332,0.4815,0.5716,0.893
,,,,XGBClassifier,0.9919,0.998,0.0058,0.0252,0.973,0.9989,0.9625,"[9513, 1277, 1259, 2238]",0.8225,0.6383,0.64,0.6367,0.5207,0.64,0.8816
Adult Income,race,Amer-Indian-Eskimo,Massaging,RandomForestClassifier,0.4566,0.848,0.2529,0.1163,0.888,0.7655,0.9412,"[5817, 1382, 1057, 1268]",0.7439,0.5097,0.5454,0.4785,0.3388,0.5454,0.808
Adult Income,race,Asian-Pac-Islander,Massaging,RandomForestClassifier,0.9189,0.9773,0.0846,0.0451,0.9572,0.919,0.937,"[5825, 1374, 1041, 1284]",0.7464,0.5154,0.5523,0.4831,0.3461,0.5523,0.8091
Adult Income,race,Black,Massaging,RandomForestClassifier,0.7042,0.9146,0.0719,0.026,0.9739,0.9226,0.9382,"[5828, 1371, 1024, 1301]",0.7485,0.5207,0.5596,0.4869,0.3529,0.5596,0.8096
