dataset,sensitive_attribute,intervention_attribute,algorithm,model,Label,disparate_impact,discrimination_score,true_positive_rate_diff,false_positive_rate_diff,false_positive_error_rate_balance_score,false_negative_error_rate_balance_score,consistency,confusion_matrix,accuracy,f1_score,recall,precision,mathews_cc,sensitivity,specificity
Adult Income,race,NA,NA,RandomForestClassifier,Amer-Indian-Eskimo,0.1988,0.8283,0.3225,0.1031,0.897,0.6922,0.9388,"[6465, 734, 1033, 1292]",0.8145,0.5939,0.5557,0.6377,0.4763,0.5557,0.898
,,,,,Asian-Pac-Islander,1.2957,0.9377,-0.0219,-0.0219,0.9769,0.979,0.9388,,,,,,,,
,,,,,Black,0.4768,0.8828,0.049,0.0528,0.9475,0.9467,0.9388,,,,,,,,
,,,,,Other,0.2633,0.8425,0.0556,0.0727,0.9286,0.9442,0.9388,,,,,,,,
,,,,,White,1.6552,0.9107,-0.0407,-0.0467,0.953,0.9582,0.9388,,,,,,,,
,,,,,Average,0.778,0.8804,0.0729,0.032,0.9406,0.9041,0.9388,,,,,,,,
,,,,,Std,0.588,0.0409,0.1304,0.057,0.0267,0.1066,0.0,,,,,,,,
Adult Income,sex,NA,NA,RandomForestClassifier,Female,0.2903,0.802,0.1432,0.1058,0.8944,0.8583,0.9364,"[6460, 739, 1026, 1299]",0.8147,0.5955,0.5587,0.6374,0.4777,0.5587,0.8973
,,,,,Male,3.4444,0.802,-0.1432,-0.1058,0.8944,0.8583,0.9364,,,,,,,,
,,,,,Average,1.8674,0.802,0.0,0.0,0.8944,0.8583,0.9364,,,,,,,,
,,,,,Std,1.577,0.0,0.1432,0.1058,0.0,0.0,0.0,,,,,,,,
Adult Income,race,race,PermutationGeneticAlgorithm,RandomForestClassifier,Amer-Indian-Eskimo,0.7331,0.9458,0.2059,0.0043,0.9988,0.8127,0.9354,"[6429, 770, 1166, 1159]",0.7967,0.5449,0.4985,0.6008,0.4185,0.4985,0.893
,,,,,Asian-Pac-Islander,0.858,0.9711,0.1491,0.0223,0.977,0.8486,0.9354,,,,,,,,
,,,,,Black,0.9362,0.987,0.0461,-0.055,0.9445,0.9566,0.9354,,,,,,,,
,,,,,Other,0.2078,0.8387,0.249,0.0777,0.9236,0.7511,0.9354,,,,,,,,
,,,,,White,1.1722,0.9696,-0.1134,0.032,0.9682,0.888,0.9354,,,,,,,,
,,,,,Average,0.7815,0.9424,0.1073,0.0163,0.9624,0.8514,0.9354,,,,,,,,
,,,,,Std,0.3206,0.0535,0.1296,0.0431,0.0261,0.0692,0.0,,,,,,,,
Adult Income,sex,race,PermutationGeneticAlgorithm,RandomForestClassifier,Female,0.4166,0.8528,0.0819,0.0691,0.9309,0.9192,0.9358,"[6420, 779, 1161, 1164]",0.7963,0.5455,0.5006,0.5991,0.4183,0.5006,0.8918
,,,,,Male,2.4006,0.8528,-0.0819,-0.0691,0.9309,0.9192,0.9358,,,,,,,,
,,,,,Average,1.4086,0.8528,0.0,0.0,0.9309,0.9192,0.9358,,,,,,,,
,,,,,Std,0.992,0.0,0.0819,0.0691,0.0,0.0,0.0,,,,,,,,
,,,,XGBClassifier,Amer-Indian-Eskimo,0.7099,0.9416,0.0695,0.0042,0.9954,0.9691,0.9556,"[9777, 1013, 1641, 1856]",0.8142,0.5831,0.5307,0.6469,0.4689,0.5307,0.9061
,,,,,Asian-Pac-Islander,0.8923,0.9783,0.1074,0.0096,0.9914,0.8931,0.9556,,,,,,,,
,,,,,Black,1.1249,0.9752,0.0663,-0.1038,0.8959,0.9349,0.9556,,,,,,,,
,,,,,Other,0.598,0.919,0.2316,0.0118,0.9925,0.8257,0.9556,,,,,,,,
,,,,,White,0.9828,0.9965,-0.0869,0.0738,0.9264,0.912,0.9556,,,,,,,,
,,,,,Average,0.8616,0.9621,0.0776,-0.0009,0.9603,0.907,0.9556,,,,,,,,
,,,,,Std,0.1884,0.0279,0.1018,0.0574,0.0413,0.0479,0.0,,,,,,,,
Adult Income,race,sex,PermutationGeneticAlgorithm,RandomForestClassifier,Amer-Indian-Eskimo,0.526,0.9041,0.2113,0.0527,0.9523,0.7999,0.925,"[6178, 1021, 1427, 898]",0.743,0.4232,0.3862,0.468,0.2617,0.3862,0.8582
,,,,,Asian-Pac-Islander,1.3705,0.9262,-0.1488,-0.0052,0.9923,0.8548,0.925,,,,,,,,
,,,,,Black,0.7813,0.955,-0.0143,0.0133,0.9871,0.9856,0.925,,,,,,,,
,,,,,Other,0.6977,0.939,0.1365,0.0076,0.9988,0.8635,0.925,,,,,,,,
,,,,,White,1.1296,0.9765,0.0575,-0.0114,0.9882,0.9433,0.925,,,,,,,,
,,,,,Average,0.901,0.9402,0.0484,0.0114,0.9837,0.8894,0.925,,,,,,,,
,,,,,Std,0.3063,0.0246,0.1243,0.0224,0.0162,0.0664,0.0,,,,,,,,
Adult Income,sex,sex,PermutationGeneticAlgorithm,RandomForestClassifier,Female,1.0985,0.9805,-0.0924,-0.0699,0.9301,0.9074,0.9224,"[6161, 1038, 1416, 909]",0.7423,0.4256,0.391,0.4669,0.2629,0.391,0.8558
,,,,,Male,0.9103,0.9805,0.0924,0.0699,0.9301,0.9074,0.9224,,,,,,,,
,,,,,Average,1.0044,0.9805,0.0,0.0,0.9301,0.9074,0.9224,,,,,,,,
,,,,,Std,0.0941,0.0,0.0924,0.0699,0.0,0.0,0.0,,,,,,,,
,,,,XGBClassifier,Female,1.1519,0.9715,-0.0888,-0.0843,0.9156,0.9103,0.9427,"[9424, 1366, 2047, 1450]",0.7611,0.4594,0.4146,0.5149,0.3113,0.4146,0.8734
,,,,,Male,0.8681,0.9715,0.0888,0.0843,0.9156,0.9103,0.9427,,,,,,,,
,,,,,Average,1.01,0.9715,0.0,0.0,0.9156,0.9103,0.9427,,,,,,,,
,,,,,Std,0.1419,0.0,0.0888,0.0843,0.0,0.0,0.0,,,,,,,,
