dataset,sensitive_attribute,value,algorithm,model,disparate_impact,discrimination_score,true_positive_rate_diff,false_positive_rate_diff,false_positive_error_rate_balance_score,false_negative_error_rate_balance_score,consistency,confusion_matrix,accuracy,f1_score,recall,precision,mathews_cc,sensitivity,specificity
Adult Income,race,Amer-Indian-Eskimo,NA,RandomForestClassifier,0.3465,0.8595,0.2661,0.0777,0.9237,0.7525,0.9398,"[6461, 738, 1027, 1298]",0.8147,0.5953,0.5583,0.6375,0.4775,0.5583,0.8975
Adult Income,race,Asian-Pac-Islander,NA,RandomForestClassifier,1.3627,0.9231,-0.0679,-0.021,0.9778,0.9308,0.9395,"[6459, 740, 1023, 1302]",0.8149,0.5963,0.56,0.6376,0.4785,0.56,0.8972
Adult Income,race,Black,NA,RandomForestClassifier,0.4207,0.8671,0.0944,0.064,0.936,0.9091,0.9398,"[6445, 754, 1016, 1309]",0.8142,0.5966,0.563,0.6345,0.4779,0.563,0.8953
Adult Income,race,Other,NA,RandomForestClassifier,0.198,0.8287,0.304,0.073,0.9283,0.6959,0.941,"[6463, 736, 1038, 1287]",0.8137,0.592,0.5535,0.6362,0.474,0.5535,0.8978
Adult Income,race,White,NA,RandomForestClassifier,1.6834,0.9087,-0.0454,-0.0489,0.9516,0.9532,0.9392,"[6475, 724, 1033, 1292]",0.8155,0.5953,0.5557,0.6409,0.4786,0.5557,0.8994
Adult Income,sex,Female,NA,RandomForestClassifier,0.2833,0.7989,0.1447,0.1077,0.8924,0.8568,0.9357,"[6464, 735, 1016, 1309]",0.8161,0.5992,0.563,0.6404,0.4823,0.563,0.8979
Adult Income,sex,Male,NA,RandomForestClassifier,3.4465,0.8011,-0.1433,-0.1049,0.8951,0.8583,0.9343,"[6466, 733, 1012, 1313]",0.8168,0.6008,0.5647,0.6417,0.4842,0.5647,0.8982
Adult Income,race,Amer-Indian-Eskimo,Massaging,RandomForestClassifier,0.684,0.941,0.2038,0.0089,0.9953,0.8144,0.9435,"[6582, 617, 1170, 1155]",0.8124,0.5638,0.4968,0.6518,0.4538,0.4968,0.9143
Adult Income,race,Asian-Pac-Islander,Massaging,RandomForestClassifier,1.5218,0.9042,-0.1033,-0.038,0.9608,0.8968,0.9427,"[6578, 621, 1169, 1156]",0.8121,0.5636,0.4972,0.6505,0.4531,0.4972,0.9137
Adult Income,race,Black,Massaging,RandomForestClassifier,0.4323,0.8897,0.0717,0.0504,0.9491,0.9289,0.9415,"[6582, 617, 1193, 1132]",0.81,0.5557,0.4869,0.6472,0.4451,0.4869,0.9143
Adult Income,race,Other,Massaging,RandomForestClassifier,0.3065,0.8726,0.2383,0.0398,0.9622,0.7618,0.9418,"[6592, 607, 1191, 1134]",0.8112,0.5578,0.4877,0.6513,0.4484,0.4877,0.9157
Adult Income,race,White,Massaging,RandomForestClassifier,1.4728,0.9365,0.0198,-0.0328,0.9675,0.9813,0.9429,"[6578, 621, 1150, 1175]",0.814,0.5702,0.5054,0.6542,0.4602,0.5054,0.9137
Adult Income,race,,,XGBClassifier,0.5335,0.8943,0.0098,0.0705,0.9319,0.9928,0.9456,"[9484, 1306, 1579, 1918]",0.7981,0.5707,0.5485,0.5949,0.4396,0.5485,0.879
,,,,,1.0844,0.981,-0.0002,-0.006,0.9925,0.9985,0.9458,,,,,,,,
,,,,,0.5053,0.8829,0.1361,0.0512,0.9483,0.8627,0.9453,,,,,,,,
,,,,,0.4252,0.8697,0.2496,0.0393,0.9554,0.7362,0.9454,,,,,,,,
,,,,,1.6471,0.9061,-0.0919,-0.0445,0.9552,0.9094,0.9451,,,,,,,,
Adult Income,race,Amer-Indian-Eskimo,Massaging,RandomForestClassifier,0.5734,0.905,0.3451,0.0171,0.9878,0.6697,0.9486,"[6431, 768, 981, 1344]",0.8164,0.6058,0.5781,0.6364,0.4874,0.5781,0.8933
Adult Income,race,Asian-Pac-Islander,Massaging,RandomForestClassifier,1.4203,0.9098,-0.0597,-0.0392,0.9587,0.9388,0.9489,"[6449, 750, 1005, 1320]",0.8157,0.6007,0.5677,0.6377,0.4828,0.5677,0.8958
Adult Income,race,Black,Massaging,RandomForestClassifier,0.4564,0.8777,0.0468,0.0576,0.9424,0.9494,0.9483,"[6477, 722, 1017, 1308]",0.8174,0.6007,0.5626,0.6443,0.4849,0.5626,0.8997
Adult Income,race,Other,Massaging,RandomForestClassifier,0.3997,0.8731,0.304,0.0254,0.9782,0.6959,0.9466,"[6481, 718, 1038, 1287]",0.8156,0.5945,0.5535,0.6419,0.4782,0.5535,0.9003
Adult Income,race,White,Massaging,RandomForestClassifier,1.5664,0.9181,-0.0179,-0.0429,0.957,0.982,0.9485,"[6458, 741, 1021, 1304]",0.815,0.5968,0.5609,0.6377,0.479,0.5609,0.8971
Adult Income,race,,,XGBClassifier,0.4893,0.8738,0.1792,0.0548,0.9436,0.8593,0.9623,"[9513, 1277, 1259, 2238]",0.8225,0.6383,0.64,0.6367,0.5207,0.64,0.8816
