dataset,sensitive_attribute,intervention_attribute,algorithm,model,Label,disparate_impact,discrimination_score,true_positive_rate_diff,false_positive_rate_diff,false_positive_error_rate_balance_score,false_negative_error_rate_balance_score,consistency,confusion_matrix,accuracy,f1_score,recall,precision,mathews_cc,sensitivity,specificity
Adult Income,race,NA,NA,RandomForestClassifier,Amer-Indian-Eskimo,0.3499,0.8616,0.2645,0.0753,0.9261,0.7538,0.9385,"[6478, 721, 1030, 1295]",0.8161,0.5966,0.557,0.6424,0.4804,0.557,0.8998
,,,,,Asian-Pac-Islander,1.3177,0.9334,-0.0709,-0.0043,0.9955,0.9276,0.9385,,,,,,,,
,,,,,Black,0.4499,0.877,0.0694,0.0561,0.9439,0.9253,0.9385,,,,,,,,
,,,,,Other,0.1987,0.8294,0.3077,0.0709,0.9304,0.6925,0.9385,,,,,,,,
,,,,,White,1.6739,0.9095,-0.0279,-0.0514,0.949,0.9715,0.9385,,,,,,,,
,,,,,Average,0.798,0.8822,0.1086,0.0293,0.949,0.8541,0.9385,,,,,,,,
,,,,,Std,0.5862,0.0363,0.1525,0.0494,0.0247,0.1099,0.0,,,,,,,,
Adult Income,sex,NA,NA,RandomForestClassifier,Female,0.2992,0.803,0.139,0.1049,0.8949,0.8628,0.9335,"[6442, 757, 1021, 1304]",0.8133,0.5946,0.5609,0.6327,0.4754,0.5609,0.8948
,,,,,Male,3.3424,0.803,-0.139,-0.1049,0.8949,0.8628,0.9335,,,,,,,,
,,,,,Average,1.8208,0.803,0.0,0.0,0.8949,0.8628,0.9335,,,,,,,,
,,,,,Std,1.5216,0.0,0.139,0.1049,0.0,0.0,0.0,,,,,,,,
Adult Income,race,race,Massaging,RandomForestClassifier,Amer-Indian-Eskimo,0.6454,0.924,0.2641,0.0132,0.9917,0.7542,0.9365,"[6459, 740, 1031, 1294]",0.814,0.5937,0.5566,0.6362,0.4756,0.5566,0.8972
,,,,,Asian-Pac-Islander,1.2586,0.9452,-0.011,-0.0162,0.9829,0.9905,0.9365,,,,,,,,
,,,,,Black,0.47,0.8807,0.0594,0.0539,0.9466,0.9357,0.9365,,,,,,,,
,,,,,Other,0.3941,0.8701,0.0568,0.0435,0.9593,0.9433,0.9365,,,,,,,,
,,,,,White,1.5906,0.9162,-0.0463,-0.0398,0.9603,0.9522,0.9365,,,,,,,,
,,,,,Average,0.8717,0.9072,0.0646,0.0109,0.9682,0.9152,0.9365,,,,,,,,
,,,,,Std,0.4706,0.0279,0.1076,0.0353,0.0166,0.0827,0.0,,,,,,,,
Adult Income,sex,race,Massaging,RandomForestClassifier,Female,0.2866,0.8021,0.1356,0.109,0.891,0.8659,0.9366,"[6453, 746, 1048, 1277]",0.8116,0.5874,0.5492,0.6312,0.468,0.5492,0.8964
,,,,,Male,3.4893,0.8021,-0.1356,-0.109,0.891,0.8659,0.9366,,,,,,,,
,,,,,Average,1.888,0.8021,0.0,0.0,0.891,0.8659,0.9366,,,,,,,,
,,,,,Std,1.6014,0.0,0.1356,0.109,0.0,0.0,0.0,,,,,,,,
Adult Income,race,race,Massaging,RandomForestClassifier,Amer-Indian-Eskimo,0.2974,0.8493,0.2624,0.0909,0.9098,0.756,0.9374,"[6459, 740, 1035, 1290]",0.8136,0.5924,0.5548,0.6355,0.4742,0.5548,0.8972
