dataset,sensitive_attribute,value,algorithm,model,disparate_impact,discrimination_score,true_positive_rate_diff,false_positive_rate_diff,false_positive_error_rate_balance_score,false_negative_error_rate_balance_score,consistency,confusion_matrix,accuracy,f1_score,recall,precision,mathews_cc,sensitivity,specificity
Adult Income,race,Amer-Indian-Eskimo,race,RandomForestClassifier,0.2983,0.8499,0.3225,0.0768,0.9245,0.6922,0.9403,"[6467, 732, 1033, 1292]",0.8147,0.5942,0.5557,0.6383,0.4767,0.5557,0.8983
Adult Income,race,Asian-Pac-Islander,race,RandomForestClassifier,1.3866,0.9177,-0.0828,-0.0211,0.9776,0.915,0.9429,"[6460, 739, 1011, 1314]",0.8163,0.6003,0.5652,0.64,0.4832,0.5652,0.8973
Adult Income,race,Black,race,RandomForestClassifier,0.431,0.8713,0.0967,0.0597,0.9403,0.9063,0.9403,"[6455, 744, 1032, 1293]",0.8135,0.5928,0.5561,0.6348,0.4743,0.5561,0.8967
Adult Income,race,Other,race,RandomForestClassifier,0.26,0.8398,0.3109,0.0597,0.9423,0.689,0.9386,"[6450, 749, 1022, 1303]",0.814,0.5954,0.5604,0.635,0.4768,0.5604,0.896
Adult Income,race,White,race,RandomForestClassifier,1.7774,0.8994,-0.0818,-0.0528,0.9475,0.9199,0.9383,"[6457, 742, 1015, 1310]",0.8155,0.5986,0.5634,0.6384,0.481,0.5634,0.8969
Adult Income,sex,Female,sex,RandomForestClassifier,0.2935,0.8029,0.1456,0.1035,0.8966,0.8558,0.9351,"[6462, 737, 1021, 1304]",0.8154,0.5973,0.5609,0.6389,0.48,0.5609,0.8976
Adult Income,sex,Male,sex,RandomForestClassifier,3.3948,0.8053,-0.1408,-0.1029,0.8971,0.8603,0.9355,"[6467, 732, 1037, 1288]",0.8143,0.5929,0.554,0.6376,0.4753,0.554,0.8983
Adult Income,race,Amer-Indian-Eskimo,LGAFFS,RandomForestClassifier,0.9835,0.9975,0.2534,-0.0668,0.9262,0.7579,0.9543,"[6752, 447, 1330, 995]",0.8134,0.5283,0.428,0.69,0.4385,0.428,0.9379
Adult Income,race,Asian-Pac-Islander,LGAFFS,RandomForestClassifier,1.5953,0.9088,-0.061,-0.0514,0.9479,0.9338,0.9534,"[6740, 459, 1298, 1027]",0.8155,0.539,0.4417,0.6911,0.4474,0.4417,0.9362
Adult Income,race,Black,LGAFFS,RandomForestClassifier,0.4544,0.9091,0.0717,0.0312,0.9683,0.9268,0.9541,"[6722, 477, 1299, 1026]",0.8135,0.5361,0.4413,0.6826,0.4419,0.4413,0.9337
Adult Income,race,Other,LGAFFS,RandomForestClassifier,0.2613,0.8804,0.203,0.0374,0.9639,0.7972,0.9521,"[6717, 482, 1273, 1052]",0.8157,0.5452,0.4525,0.6858,0.4505,0.4525,0.933
Adult Income,race,White,LGAFFS,RandomForestClassifier,1.4743,0.9475,-0.0189,-0.0165,0.9833,0.9793,0.9541,"[6736, 463, 1306, 1019]",0.8143,0.5353,0.4383,0.6876,0.4432,0.4383,0.9357
,,,,XGBClassifier,0.8226,0.9763,-0.0677,-0.0153,0.9863,0.9494,0.9669,"[10262, 528, 2119, 1378]",0.8147,0.5101,0.3941,0.723,0.4364,0.3941,0.9511
Adult Income,race,Amer-Indian-Eskimo,LGAFFS,RandomForestClassifier,0.5628,0.9008,0.283,0.0366,0.9676,0.7356,0.9502,"[6384, 815, 988, 1337]",0.8107,0.5973,0.5751,0.6213,0.4744,0.5751,0.8868
Adult Income,race,Asian-Pac-Islander,LGAFFS,RandomForestClassifier,1.3731,0.9215,-0.0585,-0.0294,0.969,0.9411,0.9508,"[6449, 750, 1047, 1278]",0.8113,0.5872,0.5497,0.6302,0.4675,0.5497,0.8958
Adult Income,race,Black,LGAFFS,RandomForestClassifier,0.5079,0.8874,0.0659,0.0438,0.956,0.9294,0.952,"[6431, 768, 1017, 1308]",0.8126,0.5944,0.5626,0.6301,0.4743,0.5626,0.8933
Adult Income,race,Other,LGAFFS,RandomForestClassifier,0.3666,0.854,0.0909,0.0536,0.9491,0.9093,0.9496,"[6386, 813, 952, 1373]",0.8147,0.6087,0.5905,0.6281,0.4879,0.5905,0.8871
Adult Income,race,White,LGAFFS,RandomForestClassifier,1.419,0.9333,-0.0149,-0.0264,0.9736,0.9848,0.9501,"[6427, 772, 1037, 1288]",0.8101,0.5875,0.554,0.6252,0.4661,0.554,0.8928
,,,,XGBClassifier,1.0483,0.9889,0.0186,0.0056,0.9965,0.9856,0.9665,"[9617, 1173, 1386, 2111]",0.8209,0.6226,0.6037,0.6428,0.5058,0.6037,0.8913
Adult Income,race,Amer-Indian-Eskimo,LGAFFS,RandomForestClassifier,0.4667,0.8784,0.3435,0.0375,0.9667,0.6714,0.9522,"[6378, 821, 985, 1340]",0.8104,0.5974,0.5763,0.6201,0.4742,0.5763,0.886
