dataset,protected_attribute,unbiasing_algorithm,data,classifier_type,classification_algorithm,value,disparate_impact,discrimination_score,true_positive_rate_diff,false_positive_rate_diff,false_positive_error_rate_balance_score,false_negative_error_rate_balance_score,consistency,confusion_matrix,accuracy,f1_score,recall,precision,mathews_cc,sensitivity,specificity
Adult Income,race,Massaging,Test,Surrogate,RandomForestClassifier,Black,0.472,0.8814,0.8094,0.963,0.9625,0.8124,0.9995,,,,,,,,
Adult Income,race,Massaging,Test,Surrogate,RandomForestClassifier,Other,0.3413,0.8587,0.8279,0.9289,0.9301,0.8278,1.0,,,,,,,,
Adult Income,race,Massaging,Test,Surrogate,RandomForestClassifier,White,1.7389,0.9035,1.1239,1.0329,0.9672,0.8742,0.9994,,,,,,,,
Adult Income,race,Massaging,Validation,Test,XGBClassifier,Amer-Indian-Eskimo,0.481,0.891,0.5764,1.0013,0.9941,0.5892,0.9996,"[3277, 331, 490, 664]",0.8276,0.618,0.5754,0.6673,0.5098,0.5754,0.9083
Adult Income,race,Massaging,Validation,Test,XGBClassifier,Asian-Pac-Islander,0.8941,0.9778,0.8722,0.9945,0.9938,0.8701,0.9995,,,,,,,,
Adult Income,race,Massaging,Validation,Test,XGBClassifier,Black,0.3787,0.862,0.8525,0.9359,0.9364,0.8541,0.9997,,,,,,,,
Adult Income,race,Massaging,Validation,Test,XGBClassifier,Other,0.7569,0.9491,1.2256,0.9642,0.9667,0.7744,0.9998,,,,,,,,
Adult Income,race,Massaging,Validation,Test,XGBClassifier,White,2.0233,0.886,1.1449,1.0494,0.9505,0.8547,0.9995,,,,,,,,
Adult Income,race,Massaging,Test,Test,XGBClassifier,Amer-Indian-Eskimo,0.5055,0.8959,0.82,0.9801,0.9836,0.82,0.9998,"[3279, 329, 486, 669]",0.8289,0.6215,0.5792,0.6703,0.514,0.5792,0.9088
Adult Income,race,Massaging,Test,Test,XGBClassifier,Asian-Pac-Islander,0.8173,0.9615,0.9052,0.9669,0.9649,0.9048,0.9997,,,,,,,,
Adult Income,race,Massaging,Test,Test,XGBClassifier,Black,0.3963,0.8658,0.8368,0.9432,0.9427,0.8417,0.9994,,,,,,,,
Adult Income,race,Massaging,Test,Test,XGBClassifier,Other,0.5804,0.9118,1.0209,0.9647,0.9673,0.9791,0.9998,,,,,,,,
Adult Income,race,Massaging,Test,Test,XGBClassifier,White,2.0639,0.8834,1.1326,1.0525,0.9472,0.8657,0.9996,,,,,,,,
Adult Income,race,Massaging,Validation,Surrogate,LogisticRegression,Amer-Indian-Eskimo,0.2886,0.8506,0.6382,0.9349,0.9372,0.651,0.9999,"[3208, 400, 561, 593]",0.7982,0.5524,0.5139,0.5972,0.4251,0.5139,0.8891
Adult Income,race,Massaging,Validation,Surrogate,LogisticRegression,Asian-Pac-Islander,0.5601,0.907,0.7514,0.9467,0.9446,0.7526,1.0,,,,,,,,
Adult Income,race,Massaging,Validation,Surrogate,LogisticRegression,Black,0.2962,0.8427,0.844,0.9036,0.9036,0.8422,1.0,,,,,,,,
Adult Income,race,Massaging,Validation,Surrogate,LogisticRegression,Other,0.2326,0.839,0.6849,0.9165,0.9178,0.6848,1.0,,,,,,,,
Adult Income,race,Massaging,Validation,Surrogate,LogisticRegression,White,3.0395,0.8452,1.2249,1.0928,0.9072,0.7769,1.0,,,,,,,,
Adult Income,race,Massaging,Validation,Surrogate,SVC,Amer-Indian-Eskimo,0.189,0.8266,0.5359,0.9134,0.9156,0.5357,0.9999,"[3131, 477, 621, 533]",0.7694,0.4926,0.4619,0.5277,0.3456,0.4619,0.8678
Adult Income,race,Massaging,Validation,Surrogate,SVC,Asian-Pac-Islander,0.9126,0.9814,1.0395,0.9434,0.9423,0.9605,0.9999,,,,,,,,
Adult Income,race,Massaging,Validation,Surrogate,SVC,Black,0.4658,0.8806,0.8252,0.9388,0.939,0.8205,0.9999,,,,,,,,
Adult Income,race,Massaging,Validation,Surrogate,SVC,Other,0.5736,0.9093,0.9379,0.9519,0.9556,0.9379,0.9999,,,,,,,,
Adult Income,race,Massaging,Validation,Surrogate,SVC,White,1.8998,0.8922,1.1134,1.0671,0.9332,0.8862,0.9999,,,,,,,,
Adult Income,race,Massaging,Validation,Surrogate,GaussianNB,Amer-Indian-Eskimo,0.5172,0.8586,0.4769,0.9819,0.977,0.4899,0.9999,"[2998, 610, 376, 778]",0.7929,0.6121,0.6742,0.5605,0.4763,0.6742,0.8309
Adult Income,race,Massaging,Validation,Surrogate,GaussianNB,Asian-Pac-Islander,0.8195,0.9471,0.8687,0.9522,0.9534,0.8714,0.9999,,,,,,,,
Adult Income,race,Massaging,Validation,Surrogate,GaussianNB,Black,0.4299,0.8243,0.9037,0.8893,0.8891,0.903,0.9999,,,,,,,,
Adult Income,race,Massaging,Validation,Surrogate,GaussianNB,Other,0.5417,0.8659,0.7245,0.9431,0.948,0.7246,0.9999,,,,,,,,
Adult Income,race,Massaging,Validation,Surrogate,GaussianNB,White,1.9855,0.8442,1.1498,1.0964,0.9037,0.8497,0.9999,,,,,,,,
Adult Income,race,Massaging,Validation,Surrogate,DecisionTreeClassifier,Amer-Indian-Eskimo,0.3528,0.8147,0.6619,0.873,0.8775,0.6745,0.9999,"[2819, 789, 588, 566]",0.7108,0.4512,0.4905,0.4177,0.2581,0.4905,0.7813
Adult Income,race,Massaging,Validation,Surrogate,DecisionTreeClassifier,Asian-Pac-Islander,0.8988,0.9711,1.0594,0.92,0.9219,0.9383,0.9997,,,,,,,,
Adult Income,race,Massaging,Validation,Surrogate,DecisionTreeClassifier,Black,0.7503,0.9272,0.9417,0.9654,0.966,0.9432,0.9998,,,,,,,,
Adult Income,race,Massaging,Validation,Surrogate,DecisionTreeClassifier,Other,0.6409,0.8975,1.1102,0.8931,0.898,0.89,1.0,,,,,,,,
Adult Income,race,Massaging,Validation,Surrogate,DecisionTreeClassifier,White,1.3666,0.9206,1.0216,1.0583,0.9415,0.9793,0.9998,,,,,,,,
Adult Income,race,Massaging,Validation,Surrogate,RandomForestClassifier,Amer-Indian-Eskimo,0.3191,0.8276,0.6374,0.9013,0.9047,0.6501,0.9999,"[3004, 604, 560, 594]",0.7556,0.5051,0.5147,0.4958,0.343,0.5147,0.8326
