dataset,attribute,class,algorithm,set,num_iterations,error,classifier_type,classification_algorithm,value,fairness_disparate_impact,fairness_discrimination_score,fairness_true_positive_rate_diff,fairness_false_positive_rate_diff,fairness_false_positive_error_rate_balance_score,fairness_false_negative_error_rate_balance_score,fairness_consistency,performance_accuracy,performance_f1_score,performance_auc
German Credit,Attribute9,,,Validation,0,False,Surrogate,LogisticRegression,Female,0.8161,0.8401,0.94,0.7321,0.7321,0.94,0.8333,0.8,0.8684,0.7048
German Credit,Attribute9,,,Validation,0,False,Surrogate,LogisticRegression,Male,1.2253,0.8401,1.06,1.2679,0.7321,0.94,0.8333,0.8,0.8684,0.7048
German Credit,Attribute9,,,Validation,0,False,Surrogate,SVC,Female,0.8616,0.8756,0.92,0.8612,0.8612,0.92,0.83,0.78,0.859,0.6619
German Credit,Attribute9,,,Validation,0,False,Surrogate,SVC,Male,1.1606,0.8756,1.08,1.1388,0.8612,0.92,0.83,0.78,0.859,0.6619
German Credit,Attribute9,,,Validation,0,False,Surrogate,GaussianNB,Female,0.8176,0.8705,1.01,0.7225,0.7225,0.99,0.7433,0.81,0.8613,0.7881
German Credit,Attribute9,,,Validation,0,False,Surrogate,GaussianNB,Male,1.223,0.8705,0.99,1.2775,0.7225,0.99,0.7433,0.81,0.8613,0.7881
German Credit,Attribute9,,,Validation,0,False,Surrogate,DecisionTreeClassifier,Female,0.9165,0.9383,0.83,1.201,0.799,0.83,0.6167,0.66,0.7606,0.5857
German Credit,Attribute9,,,Validation,0,False,Surrogate,DecisionTreeClassifier,Male,1.0911,0.9383,1.17,0.799,0.799,0.83,0.6167,0.66,0.7606,0.5857
German Credit,Attribute9,,,Validation,0,False,Surrogate,RandomForestClassifier,Female,0.8532,0.8724,0.97,0.7847,0.7847,0.97,0.79,0.83,0.8889,0.7357
German Credit,Attribute9,,,Validation,0,False,Surrogate,RandomForestClassifier,Male,1.172,0.8724,1.03,1.2153,0.7847,0.97,0.79,0.83,0.8889,0.7357
German Credit,Attribute9,,,Test,0,False,Surrogate,LogisticRegression,Female,0.8094,0.8481,1.02,0.6029,0.6029,0.98,0.8333,0.79,0.8552,0.7262
German Credit,Attribute9,,,Test,0,False,Surrogate,LogisticRegression,Male,1.2355,0.8481,0.98,1.3971,0.6029,0.98,0.8333,0.79,0.8552,0.7262
German Credit,Attribute9,,,Test,0,False,Surrogate,SVC,Female,0.9142,0.9303,1.05,0.7847,0.7847,0.95,0.8333,0.79,0.8591,0.7071
German Credit,Attribute9,,,Test,0,False,Surrogate,SVC,Male,1.0939,0.9303,0.95,1.2153,0.7847,0.95,0.8333,0.79,0.8591,0.7071
German Credit,Attribute9,,,Test,0,False,Surrogate,GaussianNB,Female,0.8479,0.9074,0.94,0.9713,0.9713,0.94,0.7933,0.76,0.8125,0.7714
German Credit,Attribute9,,,Test,0,False,Surrogate,GaussianNB,Male,1.1793,0.9074,1.06,1.0287,0.9713,0.94,0.7933,0.76,0.8125,0.7714
German Credit,Attribute9,,,Test,0,False,Surrogate,DecisionTreeClassifier,Female,0.8561,0.8915,0.93,0.8756,0.8756,0.93,0.69,0.7,0.7887,0.6333
German Credit,Attribute9,,,Test,0,False,Surrogate,DecisionTreeClassifier,Male,1.1681,0.8915,1.07,1.1244,0.8756,0.93,0.69,0.7,0.7887,0.6333
German Credit,Attribute9,,,Test,0,False,Surrogate,RandomForestClassifier,Female,0.9239,0.9416,1.07,0.799,0.799,0.93,0.7433,0.81,0.869,0.75
German Credit,Attribute9,,,Test,0,False,Surrogate,RandomForestClassifier,Male,1.0823,0.9416,0.93,1.201,0.799,0.93,0.7433,0.81,0.869,0.75
