dataset,attribute,group,algorithm,set,iteration,error,classifier_type,classification_algorithm,value,fairness_disparate_impact,fairness_discrimination_score,fairness_true_positive_rate_diff,fairness_false_positive_rate_diff,fairness_false_positive_error_rate_balance_score,fairness_false_negative_error_rate_balance_score,fairness_consistency,performance_accuracy,performance_f1_score,performance_auc
German Credit,Attribute9,Female,Massaging,Validation,2,False,Surrogate,LogisticRegression,Female,0.7999,0.8144,0.92,0.6651,0.6651,0.92,0.88,0.77,0.8535,0.6452
German Credit,Attribute9,Female,Massaging,Validation,2,False,Surrogate,LogisticRegression,Male,1.2502,0.8144,1.08,1.3349,0.6651,0.92,0.88,0.77,0.8535,0.6452
German Credit,Attribute9,Female,Massaging,Validation,2,False,Surrogate,SVC,Female,0.8903,0.8967,0.97,0.7943,0.7943,0.97,0.93,0.75,0.8447,0.6024
German Credit,Attribute9,Female,Massaging,Validation,2,False,Surrogate,SVC,Male,1.1232,0.8967,1.03,1.2057,0.7943,0.97,0.93,0.75,0.8447,0.6024
German Credit,Attribute9,Female,Massaging,Validation,2,False,Surrogate,GaussianNB,Female,0.7298,0.7611,0.81,0.7177,0.7177,0.81,0.8033,0.73,0.8212,0.6262
German Credit,Attribute9,Female,Massaging,Validation,2,False,Surrogate,GaussianNB,Male,1.3703,0.7611,1.19,1.2823,0.7177,0.81,0.8033,0.73,0.8212,0.6262
German Credit,Attribute9,Female,Massaging,Validation,2,False,Surrogate,DecisionTreeClassifier,Female,0.7419,0.8093,0.83,0.8373,0.8373,0.83,0.5833,0.7,0.7826,0.6524
German Credit,Attribute9,Female,Massaging,Validation,2,False,Surrogate,DecisionTreeClassifier,Male,1.3478,0.8093,1.17,1.1627,0.8373,0.83,0.5833,0.7,0.7826,0.6524
German Credit,Attribute9,Female,Massaging,Validation,2,False,Surrogate,RandomForestClassifier,Female,0.7675,0.8046,0.88,0.7321,0.7321,0.88,0.76,0.76,0.8378,0.6762
German Credit,Attribute9,Female,Massaging,Validation,2,False,Surrogate,RandomForestClassifier,Male,1.3029,0.8046,1.12,1.2679,0.7321,0.88,0.76,0.76,0.8378,0.6762
German Credit,Attribute9,Female,Massaging,Test,2,False,Surrogate,LogisticRegression,Female,0.9809,0.9836,1.0,0.9904,0.9904,1.0,0.84,0.71,0.8129,0.5833
German Credit,Attribute9,Female,Massaging,Test,2,False,Surrogate,LogisticRegression,Male,1.0195,0.9836,1.0,1.0096,0.9904,1.0,0.84,0.71,0.8129,0.5833
