dataset,attribute,group,algorithm,set,iteration,error,classifier_type,classification_algorithm,value,fairness_disparate_impact,fairness_discrimination_score,fairness_true_positive_rate_diff,fairness_false_positive_rate_diff,fairness_false_positive_error_rate_balance_score,fairness_false_negative_error_rate_balance_score,fairness_consistency,performance_accuracy,performance_f1_score,performance_auc
German Credit,Attribute9,,,Validation,0,False,Surrogate,LogisticRegression,Female,0.83,0.8546,0.96,0.7321,0.7321,0.96,0.8333,0.79,0.8609,0.6976
German Credit,Attribute9,,,Validation,0,False,Surrogate,LogisticRegression,Male,1.2049,0.8546,1.04,1.2679,0.7321,0.96,0.8333,0.79,0.8609,0.6976
German Credit,Attribute9,,,Validation,0,False,Surrogate,SVC,Female,0.9431,0.9514,1.04,0.8756,0.8756,0.96,0.8533,0.82,0.8831,0.719
German Credit,Attribute9,,,Validation,0,False,Surrogate,SVC,Male,1.0603,0.9514,0.96,1.1244,0.8756,0.96,0.8533,0.82,0.8831,0.719
German Credit,Attribute9,,,Validation,0,False,Surrogate,GaussianNB,Female,0.6849,0.7625,0.82,0.7608,0.7608,0.82,0.7767,0.78,0.8406,0.7476
German Credit,Attribute9,,,Validation,0,False,Surrogate,GaussianNB,Male,1.4601,0.7625,1.18,1.2392,0.7608,0.82,0.7767,0.78,0.8406,0.7476
German Credit,Attribute9,,,Validation,0,False,Surrogate,DecisionTreeClassifier,Female,0.7722,0.8382,0.82,0.9282,0.9282,0.82,0.62,0.66,0.75,0.6143
German Credit,Attribute9,,,Validation,0,False,Surrogate,DecisionTreeClassifier,Male,1.295,0.8382,1.18,1.0718,0.9282,0.82,0.62,0.66,0.75,0.6143
German Credit,Attribute9,,,Validation,0,False,Surrogate,RandomForestClassifier,Female,0.8059,0.8368,0.91,0.7847,0.7847,0.91,0.85,0.79,0.8591,0.7071
German Credit,Attribute9,,,Validation,0,False,Surrogate,RandomForestClassifier,Male,1.2409,0.8368,1.09,1.2153,0.7847,0.91,0.85,0.79,0.8591,0.7071
German Credit,Attribute9,,,Test,0,False,Surrogate,LogisticRegression,Female,0.614,0.6755,0.84,0.3923,0.3923,0.84,0.79,0.7,0.7917,0.6238
German Credit,Attribute9,,,Test,0,False,Surrogate,LogisticRegression,Male,1.6286,0.6755,1.16,1.6077,0.3923,0.84,0.79,0.7,0.7917,0.6238
German Credit,Attribute9,,,Test,0,False,Surrogate,SVC,Female,0.7419,0.7868,0.97,0.4976,0.4976,0.97,0.8167,0.76,0.8356,0.6857
German Credit,Attribute9,,,Test,0,False,Surrogate,SVC,Male,1.3478,0.7868,1.03,1.5024,0.4976,0.97,0.8167,0.76,0.8356,0.6857
German Credit,Attribute9,,,Test,0,False,Surrogate,GaussianNB,Female,0.5441,0.7027,0.73,0.7895,0.7895,0.73,0.8167,0.78,0.8254,0.8048
German Credit,Attribute9,,,Test,0,False,Surrogate,GaussianNB,Male,1.8379,0.7027,1.27,1.2105,0.7895,0.73,0.8167,0.78,0.8254,0.8048
German Credit,Attribute9,,,Test,0,False,Surrogate,DecisionTreeClassifier,Female,0.8903,0.9205,0.8,1.2823,0.7177,0.8,0.7133,0.78,0.8429,0.7381
German Credit,Attribute9,,,Test,0,False,Surrogate,DecisionTreeClassifier,Male,1.1232,0.9205,1.2,0.7177,0.7177,0.8,0.7133,0.78,0.8429,0.7381
German Credit,Attribute9,,,Test,0,False,Surrogate,RandomForestClassifier,Female,0.7689,0.8158,0.89,0.8134,0.8134,0.89,0.7767,0.86,0.9028,0.8143
German Credit,Attribute9,,,Test,0,False,Surrogate,RandomForestClassifier,Male,1.3005,0.8158,1.11,1.1866,0.8134,0.89,0.7767,0.86,0.9028,0.8143
German Credit,Attribute9,,,Validation,0,False,Test,XGBClassifier,Female,0.8347,0.8658,1.02,0.6411,0.6411,0.98,0.7767,0.77,0.8435,0.6929
German Credit,Attribute9,,,Validation,0,False,Test,XGBClassifier,Male,1.1981,0.8658,0.98,1.3589,0.6411,0.98,0.7767,0.77,0.8435,0.6929
German Credit,Attribute9,,,Test,0,False,Test,XGBClassifier,Female,0.7419,0.798,0.91,0.7225,0.7225,0.91,0.8133,0.86,0.9014,0.8238
German Credit,Attribute9,,,Test,0,False,Test,XGBClassifier,Male,1.3478,0.798,1.09,1.2775,0.7225,0.91,0.8133,0.86,0.9014,0.8238
German Credit,Attribute9,Female,Massaging,Validation,1,False,Surrogate,LogisticRegression,Female,0.9122,0.9224,1.06,0.7177,0.7177,0.94,0.8567,0.78,0.859,0.6619
German Credit,Attribute9,Female,Massaging,Validation,1,False,Surrogate,LogisticRegression,Male,1.0962,0.9224,0.94,1.2823,0.7177,0.94,0.8567,0.78,0.859,0.6619
German Credit,Attribute9,Female,Massaging,Validation,1,False,Surrogate,SVC,Female,1.0052,0.9953,1.04,0.9904,0.9904,0.96,0.9,0.76,0.85,0.619
German Credit,Attribute9,Female,Massaging,Validation,1,False,Surrogate,SVC,Male,0.9948,0.9953,0.96,1.0096,0.9904,0.96,0.9,0.76,0.85,0.619
German Credit,Attribute9,Female,Massaging,Validation,1,False,Surrogate,GaussianNB,Female,0.9594,0.9659,1.1,0.7703,0.7703,0.9,0.8533,0.77,0.8497,0.6643
German Credit,Attribute9,Female,Massaging,Validation,1,False,Surrogate,GaussianNB,Male,1.0423,0.9659,0.9,1.2297,0.7703,0.9,0.8533,0.77,0.8497,0.6643
German Credit,Attribute9,Female,Massaging,Validation,1,False,Surrogate,DecisionTreeClassifier,Female,1.0911,0.9327,1.02,1.1866,0.8134,0.98,0.6967,0.64,0.7534,0.5429
German Credit,Attribute9,Female,Massaging,Validation,1,False,Surrogate,DecisionTreeClassifier,Male,0.9165,0.9327,0.98,0.8134,0.8134,0.98,0.6967,0.64,0.7534,0.5429
German Credit,Attribute9,Female,Massaging,Validation,1,False,Surrogate,RandomForestClassifier,Female,0.8443,0.8691,0.98,0.7321,0.7321,0.98,0.8067,0.78,0.8533,0.6905
German Credit,Attribute9,Female,Massaging,Validation,1,False,Surrogate,RandomForestClassifier,Male,1.1845,0.8691,1.02,1.2679,0.7321,0.98,0.8067,0.78,0.8533,0.6905
German Credit,Attribute9,Female,Massaging,Test,1,False,Surrogate,LogisticRegression,Female,0.9308,0.9448,1.01,0.8612,0.8612,0.99,0.76,0.7,0.7973,0.6048
German Credit,Attribute9,Female,Massaging,Test,1,False,Surrogate,LogisticRegression,Male,1.0744,0.9448,0.99,1.1388,0.8612,0.99,0.76,0.7,0.7973,0.6048
German Credit,Attribute9,Female,Massaging,Test,1,False,Surrogate,SVC,Female,0.9334,0.9402,1.01,0.8469,0.8469,0.99,0.8533,0.74,0.8354,0.6048
German Credit,Attribute9,Female,Massaging,Test,1,False,Surrogate,SVC,Male,1.0713,0.9402,0.99,1.1531,0.8469,0.99,0.8533,0.74,0.8354,0.6048
German Credit,Attribute9,Female,Massaging,Test,1,False,Surrogate,GaussianNB,Female,0.8499,0.8803,1.01,0.6794,0.6794,0.99,0.75,0.72,0.8082,0.6381
German Credit,Attribute9,Female,Massaging,Test,1,False,Surrogate,GaussianNB,Male,1.1767,0.8803,0.99,1.3206,0.6794,0.99,0.75,0.72,0.8082,0.6381
German Credit,Attribute9,Female,Massaging,Test,1,False,Surrogate,DecisionTreeClassifier,Female,0.8656,0.8948,0.9,0.9809,0.9809,0.9,0.73,0.77,0.8414,0.7024
German Credit,Attribute9,Female,Massaging,Test,1,False,Surrogate,DecisionTreeClassifier,Male,1.1553,0.8948,1.1,1.0191,0.9809,0.9,0.73,0.77,0.8414,0.7024
German Credit,Attribute9,Female,Massaging,Test,1,False,Surrogate,RandomForestClassifier,Female,0.9372,0.9481,0.98,0.9665,0.9665,0.98,0.79,0.77,0.8477,0.6738
German Credit,Attribute9,Female,Massaging,Test,1,False,Surrogate,RandomForestClassifier,Male,1.067,0.9481,1.02,1.0335,0.9665,0.98,0.79,0.77,0.8477,0.6738
German Credit,Attribute9,Female,Massaging,Validation,1,False,Test,XGBClassifier,Female,0.9308,0.9448,1.04,0.823,0.823,0.96,0.78,0.74,0.8243,0.6524
German Credit,Attribute9,Female,Massaging,Validation,1,False,Test,XGBClassifier,Male,1.0744,0.9448,0.96,1.177,0.823,0.96,0.78,0.74,0.8243,0.6524
German Credit,Attribute9,Female,Massaging,Test,1,False,Test,XGBClassifier,Female,0.9539,0.9626,0.93,1.11,0.89,0.93,0.7533,0.76,0.84,0.6667
German Credit,Attribute9,Female,Massaging,Test,1,False,Test,XGBClassifier,Male,1.0483,0.9626,1.07,0.89,0.89,0.93,0.7533,0.76,0.84,0.6667
German Credit,Attribute9,Female,Massaging,Validation,2,False,Surrogate,LogisticRegression,Female,0.9122,0.9224,1.06,0.7177,0.7177,0.94,0.8567,0.78,0.859,0.6619
German Credit,Attribute9,Female,Massaging,Validation,2,False,Surrogate,LogisticRegression,Male,1.0962,0.9224,0.94,1.2823,0.7177,0.94,0.8567,0.78,0.859,0.6619
German Credit,Attribute9,Female,Massaging,Validation,2,False,Surrogate,SVC,Female,1.0052,0.9953,1.04,0.9904,0.9904,0.96,0.9,0.76,0.85,0.619
German Credit,Attribute9,Female,Massaging,Validation,2,False,Surrogate,SVC,Male,0.9948,0.9953,0.96,1.0096,0.9904,0.96,0.9,0.76,0.85,0.619
German Credit,Attribute9,Female,Massaging,Validation,2,False,Surrogate,GaussianNB,Female,0.9594,0.9659,1.1,0.7703,0.7703,0.9,0.8533,0.77,0.8497,0.6643
German Credit,Attribute9,Female,Massaging,Validation,2,False,Surrogate,GaussianNB,Male,1.0423,0.9659,0.9,1.2297,0.7703,0.9,0.8533,0.77,0.8497,0.6643
German Credit,Attribute9,Female,Massaging,Validation,2,False,Surrogate,DecisionTreeClassifier,Female,1.0911,0.9327,1.02,1.1866,0.8134,0.98,0.6967,0.64,0.7534,0.5429
German Credit,Attribute9,Female,Massaging,Validation,2,False,Surrogate,DecisionTreeClassifier,Male,0.9165,0.9327,0.98,0.8134,0.8134,0.98,0.6967,0.64,0.7534,0.5429
German Credit,Attribute9,Female,Massaging,Validation,2,False,Surrogate,RandomForestClassifier,Female,0.8443,0.8691,0.98,0.7321,0.7321,0.98,0.8067,0.78,0.8533,0.6905
German Credit,Attribute9,Female,Massaging,Validation,2,False,Surrogate,RandomForestClassifier,Male,1.1845,0.8691,1.02,1.2679,0.7321,0.98,0.8067,0.78,0.8533,0.6905
German Credit,Attribute9,Female,Massaging,Test,2,False,Surrogate,LogisticRegression,Female,0.9308,0.9448,1.01,0.8612,0.8612,0.99,0.76,0.7,0.7973,0.6048
