dataset,attribute,group,algorithm,set,iteration,error,classifier_type,classification_algorithm,value,fairness_disparate_impact,fairness_discrimination_score,fairness_true_positive_rate_diff,fairness_false_positive_rate_diff,fairness_false_positive_error_rate_balance_score,fairness_false_negative_error_rate_balance_score,fairness_consistency,performance_accuracy,performance_f1_score,performance_auc
German Credit,Attribute9,,,Validation,0,False,Surrogate,LogisticRegression,Female,0.9892,0.9916,1.04,0.9665,0.9665,0.96,0.7933,0.74,0.8243,0.6524
German Credit,Attribute9,,,Validation,0,False,Surrogate,LogisticRegression,Male,1.0109,0.9916,0.96,1.0335,0.9665,0.96,0.7933,0.74,0.8243,0.6524
German Credit,Attribute9,,,Validation,0,False,Surrogate,SVC,Female,0.9892,0.9916,1.02,1.0191,0.9809,0.98,0.7733,0.76,0.8378,0.6762
German Credit,Attribute9,,,Validation,0,False,Surrogate,SVC,Male,1.0109,0.9916,0.98,0.9809,0.9809,0.98,0.7733,0.76,0.8378,0.6762
German Credit,Attribute9,,,Validation,0,False,Surrogate,GaussianNB,Female,1.0858,0.949,1.1,1.0478,0.9522,0.9,0.75,0.71,0.7786,0.6976
German Credit,Attribute9,,,Validation,0,False,Surrogate,GaussianNB,Male,0.921,0.949,0.9,0.9522,0.9522,0.9,0.75,0.71,0.7786,0.6976
German Credit,Attribute9,,,Validation,0,False,Surrogate,DecisionTreeClassifier,Female,0.8524,0.8995,1.03,0.6938,0.6938,0.97,0.62,0.67,0.7556,0.631
German Credit,Attribute9,,,Validation,0,False,Surrogate,DecisionTreeClassifier,Male,1.1731,0.8995,0.97,1.3062,0.6938,0.97,0.62,0.67,0.7556,0.631
German Credit,Attribute9,,,Validation,0,False,Surrogate,RandomForestClassifier,Female,1.0684,0.9504,1.08,1.0718,0.9282,0.92,0.7433,0.74,0.8194,0.6714
German Credit,Attribute9,,,Validation,0,False,Surrogate,RandomForestClassifier,Male,0.936,0.9504,0.92,0.9282,0.9282,0.92,0.7433,0.74,0.8194,0.6714
German Credit,Attribute9,,,Test,0,False,Surrogate,LogisticRegression,Female,0.9142,0.9303,1.0,0.8756,0.8756,1.0,0.7733,0.77,0.8456,0.6833
German Credit,Attribute9,,,Test,0,False,Surrogate,LogisticRegression,Male,1.0939,0.9303,1.0,1.1244,0.8756,1.0,0.7733,0.77,0.8456,0.6833
