dataset,attribute,group,algorithm,set,iteration,error,classifier_type,classification_algorithm,value,fairness_disparate_impact,fairness_discrimination_score,fairness_true_positive_rate_diff,fairness_false_positive_rate_diff,fairness_false_positive_error_rate_balance_score,fairness_false_negative_error_rate_balance_score,fairness_consistency,performance_accuracy,performance_f1_score,performance_auc
German Credit,Attribute9,,,Validation,0,False,Surrogate,LogisticRegression,Female,1.0665,0.9537,1.07,1.1531,0.8469,0.93,0.8233,0.85,0.8936,0.8167
German Credit,Attribute9,,,Validation,0,False,Surrogate,LogisticRegression,Male,0.9376,0.9537,0.93,0.8469,0.8469,0.93,0.8233,0.85,0.8936,0.8167
German Credit,Attribute9,,,Validation,0,False,Surrogate,SVC,Female,1.0684,0.9504,1.12,1.0478,0.9522,0.88,0.8067,0.84,0.8889,0.7905
German Credit,Attribute9,,,Validation,0,False,Surrogate,SVC,Male,0.936,0.9504,0.88,0.9522,0.9522,0.88,0.8067,0.84,0.8889,0.7905
German Credit,Attribute9,,,Validation,0,False,Surrogate,GaussianNB,Female,0.82,0.9009,0.9,1.0239,0.9761,0.9,0.7567,0.72,0.7705,0.7524
German Credit,Attribute9,,,Validation,0,False,Surrogate,GaussianNB,Male,1.2195,0.9009,1.1,0.9761,0.9761,0.9,0.7567,0.72,0.7705,0.7524
German Credit,Attribute9,,,Validation,0,False,Surrogate,DecisionTreeClassifier,Female,1.0161,0.9892,1.01,1.0718,0.9282,0.99,0.6333,0.67,0.7591,0.6214
German Credit,Attribute9,,,Validation,0,False,Surrogate,DecisionTreeClassifier,Male,0.9841,0.9892,0.99,0.9282,0.9282,0.99,0.6333,0.67,0.7591,0.6214
German Credit,Attribute9,,,Validation,0,False,Surrogate,RandomForestClassifier,Female,1.1366,0.907,1.18,1.0478,0.9522,0.82,0.77,0.81,0.8652,0.769
German Credit,Attribute9,,,Validation,0,False,Surrogate,RandomForestClassifier,Male,0.8798,0.907,0.82,0.9522,0.9522,0.82,0.77,0.81,0.8652,0.769
German Credit,Attribute9,,,Test,0,False,Surrogate,LogisticRegression,Female,0.9308,0.9448,1.1,0.6651,0.6651,0.9,0.82,0.68,0.7838,0.581
German Credit,Attribute9,,,Test,0,False,Surrogate,LogisticRegression,Male,1.0744,0.9448,0.9,1.3349,0.6651,0.9,0.82,0.68,0.7838,0.581
German Credit,Attribute9,,,Test,0,False,Surrogate,SVC,Female,0.8677,0.8869,1.04,0.6124,0.6124,0.96,0.8367,0.7,0.8026,0.5857
German Credit,Attribute9,,,Test,0,False,Surrogate,SVC,Male,1.1525,0.8869,0.96,1.3876,0.6124,0.96,0.8367,0.7,0.8026,0.5857
German Credit,Attribute9,,,Test,0,False,Surrogate,GaussianNB,Female,0.9398,0.9607,1.1,0.7464,0.7464,0.9,0.7433,0.68,0.7612,0.6476
German Credit,Attribute9,,,Test,0,False,Surrogate,GaussianNB,Male,1.0641,0.9607,0.9,1.2536,0.7464,0.9,0.7433,0.68,0.7612,0.6476
German Credit,Attribute9,,,Test,0,False,Surrogate,DecisionTreeClassifier,Female,1.1388,0.9135,1.08,1.177,0.823,0.92,0.62,0.69,0.7704,0.6548
German Credit,Attribute9,,,Test,0,False,Surrogate,DecisionTreeClassifier,Male,0.8781,0.9135,0.92,0.823,0.823,0.92,0.62,0.69,0.7704,0.6548
German Credit,Attribute9,,,Test,0,False,Surrogate,RandomForestClassifier,Female,1.0239,0.9827,1.19,0.7321,0.7321,0.81,0.7367,0.71,0.7972,0.6405
German Credit,Attribute9,,,Test,0,False,Surrogate,RandomForestClassifier,Male,0.9767,0.9827,0.81,1.2679,0.7321,0.81,0.7367,0.71,0.7972,0.6405
German Credit,Attribute9,,,Validation,0,False,Test,XGBClassifier,Female,0.9274,0.9495,1.03,0.9043,0.9043,0.97,0.7533,0.78,0.8406,0.7476
German Credit,Attribute9,,,Validation,0,False,Test,XGBClassifier,Male,1.0783,0.9495,0.97,1.0957,0.9043,0.97,0.7533,0.78,0.8406,0.7476
German Credit,Attribute9,,,Test,0,False,Test,XGBClassifier,Female,0.9892,0.993,1.06,0.9426,0.9426,0.94,0.6467,0.71,0.7852,0.6786
German Credit,Attribute9,,,Test,0,False,Test,XGBClassifier,Male,1.0109,0.993,0.94,1.0574,0.9426,0.94,0.6467,0.71,0.7852,0.6786
German Credit,Attribute9,Female,Massaging,Validation,1,False,Surrogate,LogisticRegression,Female,1.1129,0.9149,1.14,1.0718,0.9282,0.86,0.84,0.78,0.8514,0.7
German Credit,Attribute9,Female,Massaging,Validation,1,False,Surrogate,LogisticRegression,Male,0.8986,0.9149,0.86,0.9282,0.9282,0.86,0.84,0.78,0.8514,0.7
German Credit,Attribute9,Female,Massaging,Validation,1,False,Surrogate,SVC,Female,1.1331,0.8939,1.08,1.2536,0.7464,0.92,0.8367,0.79,0.8627,0.6881
German Credit,Attribute9,Female,Massaging,Validation,1,False,Surrogate,SVC,Male,0.8825,0.8939,0.92,0.7464,0.7464,0.92,0.8367,0.79,0.8627,0.6881
German Credit,Attribute9,Female,Massaging,Validation,1,False,Surrogate,GaussianNB,Female,1.3065,0.7957,1.19,1.3062,0.6938,0.81,0.7433,0.71,0.7972,0.6405
German Credit,Attribute9,Female,Massaging,Validation,1,False,Surrogate,GaussianNB,Male,0.7654,0.7957,0.81,0.6938,0.6938,0.81,0.7433,0.71,0.7972,0.6405
German Credit,Attribute9,Female,Massaging,Validation,1,False,Surrogate,DecisionTreeClassifier,Female,0.9348,0.9528,0.88,1.1627,0.8373,0.88,0.6133,0.69,0.7801,0.6262
German Credit,Attribute9,Female,Massaging,Validation,1,False,Surrogate,DecisionTreeClassifier,Male,1.0697,0.9528,1.12,0.8373,0.8373,0.88,0.6133,0.69,0.7801,0.6262
German Credit,Attribute9,Female,Massaging,Validation,1,False,Surrogate,RandomForestClassifier,Female,1.0273,0.9794,1.09,0.9809,0.9809,0.91,0.83,0.78,0.8493,0.7095
German Credit,Attribute9,Female,Massaging,Validation,1,False,Surrogate,RandomForestClassifier,Male,0.9734,0.9794,0.91,1.0191,0.9809,0.91,0.83,0.78,0.8493,0.7095
German Credit,Attribute9,Female,Massaging,Test,1,False,Surrogate,LogisticRegression,Female,0.8744,0.8981,1.03,0.6651,0.6651,0.97,0.77,0.68,0.7838,0.581
German Credit,Attribute9,Female,Massaging,Test,1,False,Surrogate,LogisticRegression,Male,1.1436,0.8981,0.97,1.3349,0.6651,0.97,0.77,0.68,0.7838,0.581
German Credit,Attribute9,Female,Massaging,Test,1,False,Surrogate,SVC,Female,1.0411,0.9631,1.05,1.0144,0.9856,0.95,0.8867,0.67,0.795,0.5071
German Credit,Attribute9,Female,Massaging,Test,1,False,Surrogate,SVC,Male,0.9605,0.9631,0.95,0.9856,0.9856,0.95,0.8867,0.67,0.795,0.5071
German Credit,Attribute9,Female,Massaging,Test,1,False,Surrogate,GaussianNB,Female,1.0684,0.9504,1.08,0.9904,0.9904,0.92,0.7267,0.6,0.7222,0.5048
German Credit,Attribute9,Female,Massaging,Test,1,False,Surrogate,GaussianNB,Male,0.936,0.9504,0.92,1.0096,0.9904,0.92,0.7267,0.6,0.7222,0.5048
German Credit,Attribute9,Female,Massaging,Test,1,False,Surrogate,DecisionTreeClassifier,Female,1.3602,0.8121,1.13,1.3732,0.6268,0.87,0.6033,0.64,0.7188,0.6286
German Credit,Attribute9,Female,Massaging,Test,1,False,Surrogate,DecisionTreeClassifier,Male,0.7352,0.8121,0.87,0.6268,0.6268,0.87,0.6033,0.64,0.7188,0.6286
German Credit,Attribute9,Female,Massaging,Test,1,False,Surrogate,RandomForestClassifier,Female,1.1541,0.8794,1.16,1.0957,0.9043,0.84,0.73,0.72,0.8158,0.6095
German Credit,Attribute9,Female,Massaging,Test,1,False,Surrogate,RandomForestClassifier,Male,0.8665,0.8794,0.84,0.9043,0.9043,0.84,0.73,0.72,0.8158,0.6095
German Credit,Attribute9,Female,Massaging,Validation,1,False,Test,XGBClassifier,Female,0.881,0.9173,1.02,0.799,0.799,0.98,0.6633,0.73,0.8029,0.6929
German Credit,Attribute9,Female,Massaging,Validation,1,False,Test,XGBClassifier,Male,1.135,0.9173,0.98,1.201,0.799,0.98,0.6633,0.73,0.8029,0.6929
German Credit,Attribute9,Female,Massaging,Test,1,False,Test,XGBClassifier,Female,1.0701,0.9472,1.08,1.0574,0.9426,0.92,0.72,0.71,0.8027,0.6214
German Credit,Attribute9,Female,Massaging,Test,1,False,Test,XGBClassifier,Male,0.9345,0.9472,0.92,0.9426,0.9426,0.92,0.72,0.71,0.8027,0.6214
German Credit,Attribute9,Female,Massaging,Validation,2,False,Surrogate,LogisticRegression,Female,1.1129,0.9149,1.14,1.0718,0.9282,0.86,0.84,0.78,0.8514,0.7
German Credit,Attribute9,Female,Massaging,Validation,2,False,Surrogate,LogisticRegression,Male,0.8986,0.9149,0.86,0.9282,0.9282,0.86,0.84,0.78,0.8514,0.7
German Credit,Attribute9,Female,Massaging,Validation,2,False,Surrogate,SVC,Female,1.1331,0.8939,1.08,1.2536,0.7464,0.92,0.8367,0.79,0.8627,0.6881
German Credit,Attribute9,Female,Massaging,Validation,2,False,Surrogate,SVC,Male,0.8825,0.8939,0.92,0.7464,0.7464,0.92,0.8367,0.79,0.8627,0.6881
German Credit,Attribute9,Female,Massaging,Validation,2,False,Surrogate,GaussianNB,Female,1.3065,0.7957,1.19,1.3062,0.6938,0.81,0.7433,0.71,0.7972,0.6405
German Credit,Attribute9,Female,Massaging,Validation,2,False,Surrogate,GaussianNB,Male,0.7654,0.7957,0.81,0.6938,0.6938,0.81,0.7433,0.71,0.7972,0.6405
German Credit,Attribute9,Female,Massaging,Validation,2,False,Surrogate,DecisionTreeClassifier,Female,0.9348,0.9528,0.88,1.1627,0.8373,0.88,0.6133,0.69,0.7801,0.6262
German Credit,Attribute9,Female,Massaging,Validation,2,False,Surrogate,DecisionTreeClassifier,Male,1.0697,0.9528,1.12,0.8373,0.8373,0.88,0.6133,0.69,0.7801,0.6262
German Credit,Attribute9,Female,Massaging,Validation,2,False,Surrogate,RandomForestClassifier,Female,1.0273,0.9794,1.09,0.9809,0.9809,0.91,0.83,0.78,0.8493,0.7095
German Credit,Attribute9,Female,Massaging,Validation,2,False,Surrogate,RandomForestClassifier,Male,0.9734,0.9794,0.91,1.0191,0.9809,0.91,0.83,0.78,0.8493,0.7095
German Credit,Attribute9,Female,Massaging,Test,2,False,Surrogate,LogisticRegression,Female,0.8744,0.8981,1.03,0.6651,0.6651,0.97,0.77,0.68,0.7838,0.581
German Credit,Attribute9,Female,Massaging,Test,2,False,Surrogate,LogisticRegression,Male,1.1436,0.8981,0.97,1.3349,0.6651,0.97,0.77,0.68,0.7838,0.581
German Credit,Attribute9,Female,Massaging,Test,2,False,Surrogate,SVC,Female,1.0411,0.9631,1.05,1.0144,0.9856,0.95,0.8867,0.67,0.795,0.5071
German Credit,Attribute9,Female,Massaging,Test,2,False,Surrogate,SVC,Male,0.9605,0.9631,0.95,0.9856,0.9856,0.95,0.8867,0.67,0.795,0.5071
German Credit,Attribute9,Female,Massaging,Test,2,False,Surrogate,GaussianNB,Female,1.0684,0.9504,1.08,0.9904,0.9904,0.92,0.7267,0.6,0.7222,0.5048
German Credit,Attribute9,Female,Massaging,Test,2,False,Surrogate,GaussianNB,Male,0.936,0.9504,0.92,1.0096,0.9904,0.92,0.7267,0.6,0.7222,0.5048
German Credit,Attribute9,Female,Massaging,Test,2,False,Surrogate,DecisionTreeClassifier,Female,1.3602,0.8121,1.13,1.3732,0.6268,0.87,0.6033,0.64,0.7188,0.6286
German Credit,Attribute9,Female,Massaging,Test,2,False,Surrogate,DecisionTreeClassifier,Male,0.7352,0.8121,0.87,0.6268,0.6268,0.87,0.6033,0.64,0.7188,0.6286
German Credit,Attribute9,Female,Massaging,Test,2,False,Surrogate,RandomForestClassifier,Female,1.1541,0.8794,1.16,1.0957,0.9043,0.84,0.73,0.72,0.8158,0.6095
