dataset,attribute,group,algorithm,set,iterations,error,classifier_type,classification_algorithm,value,fairness_disparate_impact,fairness_discrimination_score,fairness_true_positive_rate_diff,fairness_false_positive_rate_diff,fairness_false_positive_error_rate_balance_score,fairness_false_negative_error_rate_balance_score,fairness_consistency,performance_accuracy,performance_f1_score,performance_auc
German Credit,Attribute9,Female,Massaging,Validation,1,False,Surrogate,GaussianNB,Female,1.0305,0.9762,0.9900,1.1483,0.8517,0.9900,0.8167,0.7100,0.8054,0.6119
German Credit,Attribute9,Female,Massaging,Validation,1,False,Surrogate,GaussianNB,Male,0.9704,0.9762,1.0100,0.8517,0.8517,0.9900,0.8167,0.7100,0.8054,0.6119
German Credit,Attribute9,Female,Massaging,Validation,1,False,Surrogate,DecisionTreeClassifier,Female,1.2581,0.8280,1.1100,1.3445,0.6555,0.8900,0.7367,0.6600,0.7606,0.5857
German Credit,Attribute9,Female,Massaging,Validation,1,False,Surrogate,DecisionTreeClassifier,Male,0.7949,0.8280,0.8900,0.6555,0.6555,0.8900,0.7367,0.6600,0.7606,0.5857
German Credit,Attribute9,Female,Massaging,Validation,1,False,Surrogate,RandomForestClassifier,Female,0.9852,0.9869,0.9900,1.0431,0.9569,0.9900,0.8733,0.7600,0.8481,0.6286
German Credit,Attribute9,Female,Massaging,Validation,1,False,Surrogate,RandomForestClassifier,Male,1.0150,0.9869,1.0100,0.9569,0.9569,0.9900,0.8733,0.7600,0.8481,0.6286
German Credit,Attribute9,Female,Massaging,Test,1,False,Surrogate,LogisticRegression,Female,0.9937,0.9949,1.1200,0.8230,0.8230,0.8800,0.8533,0.7700,0.8477,0.6738
German Credit,Attribute9,Female,Massaging,Test,1,False,Surrogate,LogisticRegression,Male,1.0064,0.9949,0.8800,1.1770,0.8230,0.8800,0.8533,0.7700,0.8477,0.6738
German Credit,Attribute9,Female,Massaging,Test,1,False,Surrogate,SVC,Female,0.9809,0.9836,1.1000,0.8086,0.8086,0.9000,0.8833,0.7500,0.8387,0.6310
German Credit,Attribute9,Female,Massaging,Test,1,False,Surrogate,SVC,Male,1.0195,0.9836,0.9000,1.1914,0.8086,0.9000,0.8833,0.7500,0.8387,0.6310
German Credit,Attribute9,Female,Massaging,Test,1,False,Surrogate,GaussianNB,Female,1.0717,0.9439,1.1400,0.9665,0.9665,0.8600,0.8700,0.7600,0.8400,0.6667
German Credit,Attribute9,Female,Massaging,Test,1,False,Surrogate,GaussianNB,Male,0.9331,0.9439,0.8600,1.0335,0.9665,0.8600,0.8700,0.7600,0.8400,0.6667
German Credit,Attribute9,Female,Massaging,Test,1,False,Surrogate,DecisionTreeClassifier,Female,1.0684,0.9504,1.0000,1.2010,0.7990,1.0000,0.8033,0.6800,0.7778,0.6000
German Credit,Attribute9,Female,Massaging,Test,1,False,Surrogate,DecisionTreeClassifier,Male,0.9360,0.9504,1.0000,0.7990,0.7990,1.0000,0.8033,0.6800,0.7778,0.6000
German Credit,Attribute9,Female,Massaging,Test,1,False,Surrogate,RandomForestClassifier,Female,1.0334,0.9729,1.1200,0.9139,0.9139,0.8800,0.8533,0.7600,0.8421,0.6571
German Credit,Attribute9,Female,Massaging,Test,1,False,Surrogate,RandomForestClassifier,Male,0.9677,0.9729,0.8800,1.0861,0.9139,0.8800,0.8533,0.7600,0.8421,0.6571
German Credit,Attribute9,Female,Massaging,Validation,1,False,Target,XGBClassifier,Female,0.9659,0.9738,0.9500,1.1244,0.8756,0.9500,0.8133,0.7800,0.8493,0.7095
German Credit,Attribute9,Female,Massaging,Validation,1,False,Target,XGBClassifier,Male,1.0353,0.9738,1.0500,0.8756,0.8756,0.9500,0.8133,0.7800,0.8493,0.7095
German Credit,Attribute9,Female,Massaging,Test,1,False,Target,XGBClassifier,Female,0.9713,0.9771,1.1800,0.6268,0.6268,0.8200,0.8100,0.7300,0.8188,0.6357
German Credit,Attribute9,Female,Massaging,Test,1,False,Target,XGBClassifier,Male,1.0296,0.9771,0.8200,1.3732,0.6268,0.8200,0.8100,0.7300,0.8188,0.6357
German Credit,Attribute9,Female,Massaging,Validation,2,False,Surrogate,LogisticRegression,Female,0.8975,0.9079,0.9200,0.9522,0.9522,0.9200,0.9000,0.7700,0.8535,0.6452
German Credit,Attribute9,Female,Massaging,Validation,2,False,Surrogate,LogisticRegression,Male,1.1142,0.9079,1.0800,1.0478,0.9522,0.9200,0.9000,0.7700,0.8535,0.6452
German Credit,Attribute9,Female,Massaging,Validation,2,False,Surrogate,SVC,Female,0.9738,0.9757,0.9700,1.0287,0.9713,0.9700,0.9200,0.7400,0.8395,0.5857
German Credit,Attribute9,Female,Massaging,Validation,2,False,Surrogate,SVC,Male,1.0269,0.9757,1.0300,0.9713,0.9713,0.9700,0.9200,0.7400,0.8395,0.5857
German Credit,Attribute9,Female,Massaging,Validation,2,False,Surrogate,GaussianNB,Female,1.0305,0.9762,0.9900,1.1483,0.8517,0.9900,0.8167,0.7100,0.8054,0.6119
German Credit,Attribute9,Female,Massaging,Validation,2,False,Surrogate,GaussianNB,Male,0.9704,0.9762,1.0100,0.8517,0.8517,0.9900,0.8167,0.7100,0.8054,0.6119
German Credit,Attribute9,Female,Massaging,Validation,2,False,Surrogate,DecisionTreeClassifier,Female,1.2581,0.8280,1.1100,1.3445,0.6555,0.8900,0.7367,0.6600,0.7606,0.5857
German Credit,Attribute9,Female,Massaging,Validation,2,False,Surrogate,DecisionTreeClassifier,Male,0.7949,0.8280,0.8900,0.6555,0.6555,0.8900,0.7367,0.6600,0.7606,0.5857
German Credit,Attribute9,Female,Massaging,Validation,2,False,Surrogate,RandomForestClassifier,Female,0.9852,0.9869,0.9900,1.0431,0.9569,0.9900,0.8733,0.7600,0.8481,0.6286
German Credit,Attribute9,Female,Massaging,Validation,2,False,Surrogate,RandomForestClassifier,Male,1.0150,0.9869,1.0100,0.9569,0.9569,0.9900,0.8733,0.7600,0.8481,0.6286
German Credit,Attribute9,Female,Massaging,Test,2,False,Surrogate,LogisticRegression,Female,0.9937,0.9949,1.1200,0.8230,0.8230,0.8800,0.8533,0.7700,0.8477,0.6738
German Credit,Attribute9,Female,Massaging,Test,2,False,Surrogate,LogisticRegression,Male,1.0064,0.9949,0.8800,1.1770,0.8230,0.8800,0.8533,0.7700,0.8477,0.6738
German Credit,Attribute9,Female,Massaging,Test,2,False,Surrogate,SVC,Female,0.9809,0.9836,1.1000,0.8086,0.8086,0.9000,0.8833,0.7500,0.8387,0.6310
German Credit,Attribute9,Female,Massaging,Test,2,False,Surrogate,SVC,Male,1.0195,0.9836,0.9000,1.1914,0.8086,0.9000,0.8833,0.7500,0.8387,0.6310
German Credit,Attribute9,Female,Massaging,Test,2,False,Surrogate,GaussianNB,Female,1.0717,0.9439,1.1400,0.9665,0.9665,0.8600,0.8700,0.7600,0.8400,0.6667
German Credit,Attribute9,Female,Massaging,Test,2,False,Surrogate,GaussianNB,Male,0.9331,0.9439,0.8600,1.0335,0.9665,0.8600,0.8700,0.7600,0.8400,0.6667
German Credit,Attribute9,Female,Massaging,Test,2,False,Surrogate,DecisionTreeClassifier,Female,1.0684,0.9504,1.0000,1.2010,0.7990,1.0000,0.8033,0.6800,0.7778,0.6000
German Credit,Attribute9,Female,Massaging,Test,2,False,Surrogate,DecisionTreeClassifier,Male,0.9360,0.9504,1.0000,0.7990,0.7990,1.0000,0.8033,0.6800,0.7778,0.6000
German Credit,Attribute9,Female,Massaging,Test,2,False,Surrogate,RandomForestClassifier,Female,1.0334,0.9729,1.1200,0.9139,0.9139,0.8800,0.8533,0.7600,0.8421,0.6571
German Credit,Attribute9,Female,Massaging,Test,2,False,Surrogate,RandomForestClassifier,Male,0.9677,0.9729,0.8800,1.0861,0.9139,0.8800,0.8533,0.7600,0.8421,0.6571
German Credit,Attribute9,Female,Massaging,Validation,2,False,Target,XGBClassifier,Female,0.9659,0.9738,0.9500,1.1244,0.8756,0.9500,0.8133,0.7800,0.8493,0.7095
German Credit,Attribute9,Female,Massaging,Validation,2,False,Target,XGBClassifier,Male,1.0353,0.9738,1.0500,0.8756,0.8756,0.9500,0.8133,0.7800,0.8493,0.7095
German Credit,Attribute9,Female,Massaging,Test,2,False,Target,XGBClassifier,Female,0.9713,0.9771,1.1800,0.6268,0.6268,0.8200,0.8100,0.7300,0.8188,0.6357
German Credit,Attribute9,Female,Massaging,Test,2,False,Target,XGBClassifier,Male,1.0296,0.9771,0.8200,1.3732,0.6268,0.8200,0.8100,0.7300,0.8188,0.6357
German Credit,Attribute9,Male,Massaging,Validation,1,False,Surrogate,LogisticRegression,Female,0.8826,0.9014,0.9800,0.8230,0.8230,0.9800,0.8900,0.7700,0.8477,0.6738
German Credit,Attribute9,Male,Massaging,Validation,1,False,Surrogate,LogisticRegression,Male,1.1330,0.9014,1.0200,1.1770,0.8230,0.9800,0.8900,0.7700,0.8477,0.6738
German Credit,Attribute9,Male,Massaging,Validation,1,False,Surrogate,SVC,Female,0.9054,0.9191,0.9600,0.9139,0.9139,0.9600,0.8567,0.7700,0.8497,0.6643
German Credit,Attribute9,Male,Massaging,Validation,1,False,Surrogate,SVC,Male,1.1045,0.9191,1.0400,1.0861,0.9139,0.9600,0.8567,0.7700,0.8497,0.6643
