dataset_temp_files\Validation,dataset_temp_files\Test,protected_attribute_temp_files\Validation,protected_attribute_temp_files\Test,unbiasing_algorithm_temp_files\Validation,unbiasing_algorithm_temp_files\Test,data_temp_files\Validation,data_temp_files\Test,classifier_type_temp_files\Validation,classifier_type_temp_files\Test,classification_algorithm_temp_files\Validation,classification_algorithm_temp_files\Test,value_temp_files\Validation,value_temp_files\Test,disparate_impact_ssd_temp_files\Validation,disparate_impact_ssd_temp_files\Test,discrimination_score_ssd_temp_files\Validation,discrimination_score_ssd_temp_files\Test,true_positive_rate_diff_ssd_temp_files\Validation,true_positive_rate_diff_ssd_temp_files\Test,false_positive_rate_diff_ssd_temp_files\Validation,false_positive_error_rate_balance_score_ssd_temp_files\Validation,false_negative_error_rate_balance_score_ssd_temp_files\Validation,false_positive_rate_diff_ssd_temp_files\Test,false_positive_error_rate_balance_score_ssd_temp_files\Test,false_negative_error_rate_balance_score_ssd_temp_files\Test,consistency_ssd_temp_files\Validation,consistency_ssd_temp_files\Test,confusion_matrix_temp_files\Validation,confusion_matrix_temp_files\Test,accuracy_ssd_temp_files\Validation,accuracy_ssd_temp_files\Test,f1_score_ssd_temp_files\Validation,f1_score_ssd_temp_files\Test,recall_ssd_temp_files\Validation,recall_ssd_temp_files\Test,precision_ssd_temp_files\Validation,precision_ssd_temp_files\Test,mathews_cc_ssd_temp_files\Validation,mathews_cc_ssd_temp_files\Test,roc_curve_temp_files\Validation,roc_curve_temp_files\Test,auc_ssd_temp_files\Validation,auc_ssd_temp_files\Test,sensitivity_ssd_temp_files\Validation,sensitivity_ssd_temp_files\Test,specificity_ssd_temp_files\Validation,specificity_ssd_temp_files\Test
Adult Income,Adult Income,race,race,DisparateImpactRemover,DisparateImpactRemover,Validation,Test,Surrogate,Surrogate,LogisticRegression,LogisticRegression,Amer-Indian-Eskimo,Amer-Indian-Eskimo,9.6756,10.0066,0.092,0.0957,2.4911,0.3912,0.004,0.0058,2.4927,0.0068,0.0058,0.3039,0.0,0.0,"[3478, 130, 822, 332]","[6940, 277, 1657, 651]",1.2026,1.2377,10.476,10.7692,15.2883,15.5211,2.3935,2.669,12.184,12.6261,"[[0.0, 0.03603104212860311, 1.0], [0.0, 0.2876949740034662, 1.0], [inf, 1.0, 0.0]]","[[0.0, 0.03838159900235555, 1.0], [0.0, 0.2820623916811092, 1.0], [inf, 1.0, 0.0]]",4.2179,4.304,15.2883,15.5211,0.0388,0.0438
Adult Income,Adult Income,race,race,DisparateImpactRemover,DisparateImpactRemover,Validation,Test,Surrogate,Surrogate,LogisticRegression,LogisticRegression,Asian-Pac-Islander,Asian-Pac-Islander,38.0825,31.9249,0.3339,0.2815,1.4133,0.6421,0.0784,0.0764,1.4113,0.1375,0.1387,0.6092,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
Adult Income,Adult Income,race,race,DisparateImpactRemover,DisparateImpactRemover,Validation,Test,Surrogate,Surrogate,LogisticRegression,LogisticRegression,Black,Black,5.6182,9.1281,0.0569,0.0954,0.0255,0.1194,0.0067,0.0068,0.019,0.0107,0.0108,0.1092,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
Adult Income,Adult Income,race,race,DisparateImpactRemover,DisparateImpactRemover,Validation,Test,Surrogate,Surrogate,LogisticRegression,LogisticRegression,Other,Other,8.5814,30.0,0.0792,0.2865,0.2837,2.3797,0.0034,0.0029,0.2841,0.0447,0.0445,2.3847,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
Adult Income,Adult Income,race,race,DisparateImpactRemover,DisparateImpactRemover,Validation,Test,Surrogate,Surrogate,LogisticRegression,LogisticRegression,White,White,0.8027,4.0638,0.0052,0.0221,0.1783,0.0011,0.0001,0.0001,0.1765,0.0004,0.0003,0.001,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
Adult Income,Adult Income,race,race,DisparateImpactRemover,DisparateImpactRemover,Validation,Test,Surrogate,Surrogate,SVC,SVC,Amer-Indian-Eskimo,Amer-Indian-Eskimo,12.8601,7.6224,0.1893,0.1171,1.6079,0.1022,0.0055,0.0047,1.4405,0.0087,0.0074,0.0484,0.0,0.0,"[3479, 129, 708, 446]","[6930, 287, 1416, 892]",0.9306,0.9626,7.0765,7.2169,11.3488,11.3721,1.518,1.7798,8.7538,9.0897,"[[0.0, 0.035753880266075386, 1.0], [0.0, 0.38648180242634317, 1.0], [inf, 1.0, 0.0]]","[[0.0, 0.03976721629485936, 1.0], [0.0, 0.38648180242634317, 1.0], [inf, 1.0, 0.0]]",3.1758,3.2194,11.3488,11.3721,0.0384,0.0471
Adult Income,Adult Income,race,race,DisparateImpactRemover,DisparateImpactRemover,Validation,Test,Surrogate,Surrogate,SVC,SVC,Asian-Pac-Islander,Asian-Pac-Islander,22.9995,30.6772,0.3159,0.4363,1.4066,1.5175,0.0551,0.0525,1.4681,0.131,0.1323,1.5866,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
Adult Income,Adult Income,race,race,DisparateImpactRemover,DisparateImpactRemover,Validation,Test,Surrogate,Surrogate,SVC,SVC,Black,Black,10.2974,11.263,0.1676,0.1935,0.174,0.3505,0.0122,0.0126,0.192,0.0159,0.0163,0.3684,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
Adult Income,Adult Income,race,race,DisparateImpactRemover,DisparateImpactRemover,Validation,Test,Surrogate,Surrogate,SVC,SVC,Other,Other,5.3329,19.2399,0.077,0.2959,1.3356,2.3179,0.039,0.039,1.3331,0.0195,0.0188,2.3227,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
Adult Income,Adult Income,race,race,DisparateImpactRemover,DisparateImpactRemover,Validation,Test,Surrogate,Surrogate,SVC,SVC,White,White,5.0432,5.2944,0.04,0.0435,0.0551,0.0112,0.0026,0.0028,0.0623,0.0011,0.0011,0.0111,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
