dataset,attribute,group,algorithm,set,iterations,error,classifier_type,classification_algorithm,value,fairness_disparate_impact,fairness_discrimination_score,fairness_true_positive_rate_diff,fairness_false_positive_rate_diff,fairness_false_positive_error_rate_balance_score,fairness_false_negative_error_rate_balance_score,fairness_consistency,performance_accuracy,performance_f1_score,performance_auc
German Credit,Attribute9,Female,Massaging,Validation,1,False,Surrogate,GaussianNB,Female,0.8443,0.8691,0.9700,0.7177,0.7177,0.9700,0.8367,0.7200,0.8133,0.6190
German Credit,Attribute9,Female,Massaging,Validation,1,False,Surrogate,GaussianNB,Male,1.1845,0.8691,1.0300,1.2823,0.7177,0.9700,0.8367,0.7200,0.8133,0.6190
German Credit,Attribute9,Female,Massaging,Validation,1,False,Surrogate,DecisionTreeClassifier,Female,0.8176,0.8705,0.9700,0.7464,0.7464,0.9700,0.7433,0.7100,0.7883,0.6690
German Credit,Attribute9,Female,Massaging,Validation,1,False,Surrogate,DecisionTreeClassifier,Male,1.2230,0.8705,1.0300,1.2536,0.7464,0.9700,0.7433,0.7100,0.7883,0.6690
German Credit,Attribute9,Female,Massaging,Validation,1,False,Surrogate,RandomForestClassifier,Female,0.9122,0.9224,1.0600,0.7177,0.7177,0.9400,0.8333,0.7800,0.8590,0.6619
German Credit,Attribute9,Female,Massaging,Validation,1,False,Surrogate,RandomForestClassifier,Male,1.0962,0.9224,0.9400,1.2823,0.7177,0.9400,0.8333,0.7800,0.8590,0.6619
German Credit,Attribute9,Female,Massaging,Test,1,False,Surrogate,LogisticRegression,Female,0.9645,0.9691,0.9800,0.9904,0.9904,0.9800,0.9233,0.7200,0.8205,0.5905
German Credit,Attribute9,Female,Massaging,Test,1,False,Surrogate,LogisticRegression,Male,1.0368,0.9691,1.0200,1.0096,0.9904,0.9800,0.9233,0.7200,0.8205,0.5905
German Credit,Attribute9,Female,Massaging,Test,1,False,Surrogate,SVC,Female,1.0745,0.9374,1.0500,1.1340,0.8660,0.9500,0.9333,0.7200,0.8205,0.5905
German Credit,Attribute9,Female,Massaging,Test,1,False,Surrogate,SVC,Male,0.9306,0.9374,0.9500,0.8660,0.8660,0.9500,0.9333,0.7200,0.8205,0.5905
German Credit,Attribute9,Female,Massaging,Test,1,False,Surrogate,GaussianNB,Female,1.0474,0.9649,1.1000,0.9665,0.9665,0.9000,0.8467,0.7100,0.8000,0.6310
German Credit,Attribute9,Female,Massaging,Test,1,False,Surrogate,GaussianNB,Male,0.9547,0.9649,0.9000,1.0335,0.9665,0.9000,0.8467,0.7100,0.8000,0.6310
German Credit,Attribute9,Female,Massaging,Test,1,False,Surrogate,DecisionTreeClassifier,Female,0.8710,0.9140,0.8600,1.0718,0.9282,0.8600,0.7333,0.6400,0.7313,0.6000
German Credit,Attribute9,Female,Massaging,Test,1,False,Surrogate,DecisionTreeClassifier,Male,1.1481,0.9140,1.1400,0.9282,0.9282,0.8600,0.7333,0.6400,0.7313,0.6000
German Credit,Attribute9,Female,Massaging,Test,1,False,Surrogate,RandomForestClassifier,Female,0.9594,0.9659,1.0300,0.9139,0.9139,0.9700,0.8833,0.7700,0.8497,0.6643
German Credit,Attribute9,Female,Massaging,Test,1,False,Surrogate,RandomForestClassifier,Male,1.0423,0.9659,0.9700,1.0861,0.9139,0.9700,0.8833,0.7700,0.8497,0.6643
German Credit,Attribute9,Female,Massaging,Validation,1,False,Target,XGBClassifier,Female,0.9713,0.9771,1.0700,0.8756,0.8756,0.9300,0.7933,0.7700,0.8456,0.6833
German Credit,Attribute9,Female,Massaging,Validation,1,False,Target,XGBClassifier,Male,1.0296,0.9771,0.9300,1.1244,0.8756,0.9300,0.7933,0.7700,0.8456,0.6833
