dataset,sensitive_attribute,algorithm,model,value,disparate_impact,discrimination_score,true_positive_rate_diff,false_positive_rate_diff,false_positive_error_rate_balance_score,false_negative_error_rate_balance_score,consistency,confusion_matrix,accuracy,f1_score,recall,precision,mathews_cc,sensitivity,specificity
Adult Income,race,NA,RandomForestClassifier,Amer-Indian-Eskimo,0.3982,0.8714,0.2645,0.0634,0.9386,0.7538,0.9396,"[6470, 729, 1030, 1295]",0.8153,0.5955,0.557,0.6398,0.4785,0.557,0.8987
,,,,Asian-Pac-Islander,1.344,0.9277,-0.0408,-0.0276,0.9711,0.9593,0.94,,,,,,,,
,,,,Black,0.4481,0.8761,0.088,0.056,0.9441,0.9154,0.9392,,,,,,,,
,,,,Other,0.3297,0.8569,0.3077,0.0419,0.9609,0.6925,0.9395,,,,,,,,
,,,,White,1.6347,0.9126,-0.0468,-0.0429,0.9569,0.9518,0.9396,,,,,,,,
Adult Income,sex,NA,RandomForestClassifier,Female,0.2889,0.8014,0.1375,0.108,0.8921,0.8638,0.9368,"[6455, 744, 1030, 1295]",0.8137,0.5935,0.557,0.6351,0.4751,0.557,0.8967
,,,,Male,3.461,0.8014,-0.1375,-0.108,0.8921,0.8638,0.9368,,,,,,,,
Adult Income,race,DisparateImpactRemover,RandomForestClassifier,Amer-Indian-Eskimo,0.6658,0.9466,0.2168,-0.0118,0.984,0.7979,0.9496,"[6729, 470, 1277, 1048]",0.8166,0.5454,0.4508,0.6904,0.4524,0.4508,0.9347
,,,,Asian-Pac-Islander,1.5185,0.9187,-0.0516,-0.0402,0.9597,0.9432,0.9493,,,,,,,,
,,,,Black,0.4303,0.9039,0.053,0.0392,0.9611,0.9468,0.9491,,,,,,,,
,,,,Other,0.1759,0.8679,0.201,0.0508,0.9499,0.7989,0.9494,,,,,,,,
,,,,White,1.5446,0.9408,-0.0189,-0.0227,0.977,0.9804,0.949,,,,,,,,
Adult Income,race,DisparateImpactRemover,XGBClassifier,Amer-Indian-Eskimo,0.8586,0.9819,-0.0092,-0.0169,0.9848,0.9865,0.9671,"[10278, 512, 2184, 1313]",0.8113,0.4934,0.3755,0.7195,0.4225,0.3755,0.9525
,,,,Asian-Pac-Islander,1.0902,0.9885,0.0225,-0.0092,0.9913,0.9741,0.9673,,,,,,,,
,,,,Black,0.3741,0.915,0.1066,0.034,0.9659,0.8902,0.9665,,,,,,,,
,,,,Other,0.2809,0.9076,0.2765,0.0202,0.9812,0.7665,0.9668,,,,,,,,
,,,,White,1.9161,0.9345,-0.0803,-0.0232,0.9767,0.9174,0.9666,,,,,,,,
Adult Income,race,DisparateImpactRemover,RandomForestClassifier,Amer-Indian-Eskimo,0.3695,0.8548,0.4167,0.0485,0.955,0.5942,0.9502,"[6392, 807, 952, 1373]",0.8153,0.6095,0.5905,0.6298,0.4892,0.5905,0.8879
,,,,Asian-Pac-Islander,1.3022,0.9315,-0.0462,-0.0164,0.9822,0.9521,0.9502,,,,,,,,
,,,,Black,0.4596,0.8695,0.095,0.0577,0.943,0.9002,0.9505,,,,,,,,
,,,,Other,0.2447,0.8262,0.3413,0.0679,0.9342,0.6589,0.95,,,,,,,,
,,,,White,1.6465,0.9047,-0.0651,-0.0468,0.9533,0.9343,0.9504,,,,,,,,
Adult Income,race,DisparateImpactRemover,XGBClassifier,Amer-Indian-Eskimo,0.5484,0.8914,0.1607,0.0391,0.9554,0.8777,0.9643,"[9543, 1247, 1323, 2174]",0.8201,0.6285,0.6217,0.6355,0.5099,0.6217,0.8844
,,,,Asian-Pac-Islander,0.947,0.9873,0.075,0.0126,0.986,0.9316,0.9643,,,,,,,,
,,,,Black,0.457,0.863,0.1368,0.0641,0.9363,0.8629,0.9643,,,,,,,,
,,,,Other,0.4507,0.8679,0.2222,0.0475,0.9513,0.8061,0.9641,,,,,,,,
,,,,White,1.8357,0.8835,-0.1197,-0.0569,0.9435,0.8794,0.9642,,,,,,,,
Adult Income,race,DisparateImpactRemover,RandomForestClassifier,Amer-Indian-Eskimo,0.4832,0.8862,0.3336,0.0303,0.9739,0.6814,0.9553,"[6429, 770, 1008, 1317]",0.8133,0.597,0.5665,0.631,0.4772,0.5665,0.893
,,,,Asian-Pac-Islander,1.241,0.9476,-0.0208,-0.007,0.9923,0.9797,0.9553,,,,,,,,
,,,,Black,0.4107,0.8631,0.0979,0.0679,0.9321,0.9055,0.9552,,,,,,,,
,,,,Other,0.1919,0.8219,0.3171,0.0777,0.9236,0.683,0.9554,,,,,,,,
,,,,White,1.7685,0.8984,-0.0666,-0.0564,0.944,0.9314,0.955,,,,,,,,
Adult Income,race,DisparateImpactRemover,XGBClassifier,Amer-Indian-Eskimo,0.3065,0.8509,0.352,0.0694,0.9317,0.6949,0.9612,"[9772, 1018, 1464, 2033]",0.8263,0.621,0.5814,0.6663,0.5109,0.5814,0.9057
,,,,Asian-Pac-Islander,1.0986,0.979,0.0332,-0.0188,0.982,0.9734,0.9613,,,,,,,,
,,,,Black,0.4558,0.8775,0.1366,0.0498,0.9506,0.8637,0.9608,,,,,,,,
,,,,Other,0.2801,0.8453,0.2824,0.0675,0.9338,0.7032,0.961,,,,,,,,
,,,,White,1.8196,0.8973,-0.1186,-0.0428,0.9575,0.8798,0.9607,,,,,,,,
