dataset,attribute,class,algorithm,set,num_iterations,error,classifier_type,classification_algorithm,value,fairness_disparate_impact,fairness_discrimination_score,fairness_true_positive_rate_diff,fairness_false_positive_rate_diff,fairness_false_positive_error_rate_balance_score,fairness_false_negative_error_rate_balance_score,fairness_consistency,performance_accuracy,performance_f1_score,performance_auc
German Credit,Attribute9,Attribute9,MulticlassLexicographicGeneticAlgorithmFairFeatureSelection,Test,1,False,Test,XGBClassifier,Female,0.9142,0.9303,1.0600,0.7177,0.7177,0.9400,0.7133,0.7100,0.8054,0.6119
German Credit,Attribute9,Attribute9,MulticlassLexicographicGeneticAlgorithmFairFeatureSelection,Test,1,False,Test,XGBClassifier,Male,1.0939,0.9303,0.9400,1.2823,0.7177,0.9400,0.7133,0.7100,0.8054,0.6119
German Credit,Attribute9,Attribute9,MulticlassLexicographicGeneticAlgorithmFairFeatureSelection,Validation,2,False,Surrogate,LogisticRegression,Female,0.9372,0.9481,0.9500,1.0048,0.9952,0.9500,0.8233,0.7300,0.8212,0.6262
German Credit,Attribute9,Attribute9,MulticlassLexicographicGeneticAlgorithmFairFeatureSelection,Validation,2,False,Surrogate,LogisticRegression,Male,1.0670,0.9481,1.0500,0.9952,0.9952,0.9500,0.8233,0.7300,0.8212,0.6262
German Credit,Attribute9,Attribute9,MulticlassLexicographicGeneticAlgorithmFairFeatureSelection,Validation,2,False,Surrogate,SVC,Female,0.8443,0.8691,0.9000,0.8612,0.8612,0.9000,0.8100,0.7200,0.8133,0.6190
German Credit,Attribute9,Attribute9,MulticlassLexicographicGeneticAlgorithmFairFeatureSelection,Validation,2,False,Surrogate,SVC,Male,1.1845,0.8691,1.1000,1.1388,0.8612,0.9000,0.8100,0.7200,0.8133,0.6190
German Credit,Attribute9,Attribute9,MulticlassLexicographicGeneticAlgorithmFairFeatureSelection,Validation,2,False,Surrogate,GaussianNB,Female,0.9611,0.9752,1.0800,0.8517,0.8517,0.9200,0.8233,0.7100,0.7820,0.6881
German Credit,Attribute9,Attribute9,MulticlassLexicographicGeneticAlgorithmFairFeatureSelection,Validation,2,False,Surrogate,GaussianNB,Male,1.0404,0.9752,0.9200,1.1483,0.8517,0.9200,0.8233,0.7100,0.7820,0.6881
German Credit,Attribute9,Attribute9,MulticlassLexicographicGeneticAlgorithmFairFeatureSelection,Validation,2,False,Surrogate,DecisionTreeClassifier,Female,1.0038,0.9972,0.9300,1.2010,0.7990,0.9300,0.6933,0.6800,0.7778,0.6000
German Credit,Attribute9,Attribute9,MulticlassLexicographicGeneticAlgorithmFairFeatureSelection,Validation,2,False,Surrogate,DecisionTreeClassifier,Male,0.9962,0.9972,1.0700,0.7990,0.7990,0.9300,0.6933,0.6800,0.7778,0.6000
German Credit,Attribute9,Attribute9,MulticlassLexicographicGeneticAlgorithmFairFeatureSelection,Validation,2,False,Surrogate,RandomForestClassifier,Female,0.9937,0.9949,0.9700,1.0957,0.9043,0.9700,0.7667,0.7100,0.8079,0.6024
German Credit,Attribute9,Attribute9,MulticlassLexicographicGeneticAlgorithmFairFeatureSelection,Validation,2,False,Surrogate,RandomForestClassifier,Male,1.0064,0.9949,1.0300,0.9043,0.9043,0.9700,0.7667,0.7100,0.8079,0.6024
German Credit,Attribute9,Attribute9,MulticlassLexicographicGeneticAlgorithmFairFeatureSelection,Test,2,False,Surrogate,LogisticRegression,Female,0.9068,0.9271,0.9300,1.0335,0.9665,0.9300,0.8067,0.8000,0.8630,0.7333
German Credit,Attribute9,Attribute9,MulticlassLexicographicGeneticAlgorithmFairFeatureSelection,Test,2,False,Surrogate,LogisticRegression,Male,1.1028,0.9271,1.0700,0.9665,0.9665,0.9300,0.8067,0.8000,0.8630,0.7333
German Credit,Attribute9,Attribute9,MulticlassLexicographicGeneticAlgorithmFairFeatureSelection,Test,2,False,Surrogate,SVC,Female,1.1339,0.8971,1.0500,1.3062,0.6938,0.9500,0.8467,0.7800,0.8533,0.6905
German Credit,Attribute9,Attribute9,MulticlassLexicographicGeneticAlgorithmFairFeatureSelection,Test,2,False,Surrogate,SVC,Male,0.8819,0.8971,0.9500,0.6938,0.6938,0.9500,0.8467,0.7800,0.8533,0.6905
German Credit,Attribute9,Attribute9,MulticlassLexicographicGeneticAlgorithmFairFeatureSelection,Test,2,False,Surrogate,GaussianNB,Female,1.0828,0.9556,1.0700,1.1148,0.8852,0.9300,0.7500,0.7300,0.7840,0.7500
German Credit,Attribute9,Attribute9,MulticlassLexicographicGeneticAlgorithmFairFeatureSelection,Test,2,False,Surrogate,GaussianNB,Male,0.9235,0.9556,0.9300,0.8852,0.8852,0.9300,0.7500,0.7300,0.7840,0.7500
German Credit,Attribute9,Attribute9,MulticlassLexicographicGeneticAlgorithmFairFeatureSelection,Test,2,False,Surrogate,DecisionTreeClassifier,Female,0.8989,0.9238,1.1000,0.6411,0.6411,0.9000,0.6567,0.7300,0.8112,0.6643
German Credit,Attribute9,Attribute9,MulticlassLexicographicGeneticAlgorithmFairFeatureSelection,Test,2,False,Surrogate,DecisionTreeClassifier,Male,1.1125,0.9238,0.9000,1.3589,0.6411,0.9000,0.6567,0.7300,0.8112,0.6643
German Credit,Attribute9,Attribute9,MulticlassLexicographicGeneticAlgorithmFairFeatureSelection,Test,2,False,Surrogate,RandomForestClassifier,Female,0.8744,0.8981,1.0600,0.6268,0.6268,0.9400,0.7133,0.7200,0.8108,0.6286
German Credit,Attribute9,Attribute9,MulticlassLexicographicGeneticAlgorithmFairFeatureSelection,Test,2,False,Surrogate,RandomForestClassifier,Male,1.1436,0.8981,0.9400,1.3732,0.6268,0.9400,0.7133,0.7200,0.8108,0.6286
German Credit,Attribute9,Attribute9,MulticlassLexicographicGeneticAlgorithmFairFeatureSelection,Validation,2,False,Test,XGBClassifier,Female,1.0522,0.9584,1.0000,1.2010,0.7990,1.0000,0.7233,0.7500,0.8344,0.6500
German Credit,Attribute9,Attribute9,MulticlassLexicographicGeneticAlgorithmFairFeatureSelection,Validation,2,False,Test,XGBClassifier,Male,0.9504,0.9584,1.0000,0.7990,0.7990,1.0000,0.7233,0.7500,0.8344,0.6500
German Credit,Attribute9,Attribute9,MulticlassLexicographicGeneticAlgorithmFairFeatureSelection,Test,2,False,Test,XGBClassifier,Female,0.9142,0.9303,1.0600,0.7177,0.7177,0.9400,0.7133,0.7100,0.8054,0.6119
German Credit,Attribute9,Attribute9,MulticlassLexicographicGeneticAlgorithmFairFeatureSelection,Test,2,False,Test,XGBClassifier,Male,1.0939,0.9303,0.9400,1.2823,0.7177,0.9400,0.7133,0.7100,0.8054,0.6119
