dataset_temp_files\Validation,dataset_temp_files\Test,protected_attribute_temp_files\Validation,protected_attribute_temp_files\Test,unbiasing_algorithm_temp_files\Validation,unbiasing_algorithm_temp_files\Test,data_temp_files\Validation,data_temp_files\Test,classifier_type_temp_files\Validation,classifier_type_temp_files\Test,classification_algorithm_temp_files\Validation,classification_algorithm_temp_files\Test,value_temp_files\Validation,value_temp_files\Test,disparate_impact_ssd_temp_files\Validation,disparate_impact_ssd_temp_files\Test,discrimination_score_ssd_temp_files\Validation,discrimination_score_ssd_temp_files\Test,true_positive_rate_diff_ssd_temp_files\Validation,true_positive_rate_diff_ssd_temp_files\Test,false_positive_rate_diff_ssd_temp_files\Validation,false_positive_error_rate_balance_score_ssd_temp_files\Validation,false_negative_error_rate_balance_score_ssd_temp_files\Validation,false_positive_rate_diff_ssd_temp_files\Test,false_positive_error_rate_balance_score_ssd_temp_files\Test,false_negative_error_rate_balance_score_ssd_temp_files\Test,consistency_ssd_temp_files\Validation,consistency_ssd_temp_files\Test,confusion_matrix_temp_files\Validation,confusion_matrix_temp_files\Test,accuracy_ssd_temp_files\Validation,accuracy_ssd_temp_files\Test,f1_score_ssd_temp_files\Validation,f1_score_ssd_temp_files\Test,recall_ssd_temp_files\Validation,recall_ssd_temp_files\Test,precision_ssd_temp_files\Validation,precision_ssd_temp_files\Test,mathews_cc_ssd_temp_files\Validation,mathews_cc_ssd_temp_files\Test,roc_curve_temp_files\Validation,roc_curve_temp_files\Test,auc_ssd_temp_files\Validation,auc_ssd_temp_files\Test,sensitivity_ssd_temp_files\Validation,sensitivity_ssd_temp_files\Test,specificity_ssd_temp_files\Validation,specificity_ssd_temp_files\Test
Adult Income,Adult Income,race,race,LGAFFS,LGAFFS,Validation,Test,Test,Test,XGBClassifier,XGBClassifier,Black,Black,13.2477,11.2801,0.6325,0.5402,1.3304,0.2432,0.1101,0.1094,1.3439,0.1305,0.1298,0.2448,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
Adult Income,Adult Income,race,race,LGAFFS,LGAFFS,Validation,Test,Test,Test,XGBClassifier,XGBClassifier,Other,Other,8.5847,16.9056,0.3627,0.7268,1.5648,3.6538,0.2179,0.2179,1.5666,0.0966,0.0926,3.6932,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
Adult Income,Adult Income,race,race,LGAFFS,LGAFFS,Validation,Test,Test,Test,XGBClassifier,XGBClassifier,White,White,21.5876,16.4599,0.3025,0.2611,0.3064,0.0312,0.0505,0.0505,0.2997,0.0578,0.0583,0.0355,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
Adult Income,Adult Income,race,race,LGAFFS,LGAFFS,Validation,Test,Surrogate,Surrogate,LogisticRegression,LogisticRegression,Amer-Indian-Eskimo,Amer-Indian-Eskimo,12.2623,14.3956,0.3399,0.4261,5.8711,2.376,0.0045,0.0034,5.8737,0.0623,0.0583,2.1493,0.0,0.0,"[3328, 280, 634, 520]","[6630, 587, 1258, 1050]",1.1222,1.1468,6.7714,6.7872,9.3314,9.2046,3.7425,3.9539,10.0629,10.2098,"[[0.0, 0.07760532150776053, 1.0], [0.0, 0.4506065857885615, 1.0], [inf, 1.0, 0.0]]","[[0.0, 0.08133573506997367, 1.0], [0.0, 0.45493934142114384, 1.0], [inf, 1.0, 0.0]]",3.0209,3.0222,9.3314,9.2046,0.1784,0.1971
Adult Income,Adult Income,race,race,LGAFFS,LGAFFS,Validation,Test,Surrogate,Surrogate,LogisticRegression,LogisticRegression,Asian-Pac-Islander,Asian-Pac-Islander,3.8283,1.4574,0.105,0.0411,0.2955,0.0005,0.0221,0.0225,0.3094,0.0333,0.0347,0.0006,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
Adult Income,Adult Income,race,race,LGAFFS,LGAFFS,Validation,Test,Surrogate,Surrogate,LogisticRegression,LogisticRegression,Black,Black,12.4393,11.3512,0.3933,0.3719,0.4563,0.6811,0.0996,0.0996,0.4796,0.0763,0.075,0.6924,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
Adult Income,Adult Income,race,race,LGAFFS,LGAFFS,Validation,Test,Surrogate,Surrogate,LogisticRegression,LogisticRegression,Other,Other,2.9527,22.4078,0.0781,0.653,0.632,3.5586,0.0205,0.0178,0.6328,0.1391,0.1371,3.5624,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
Adult Income,Adult Income,race,race,LGAFFS,LGAFFS,Validation,Test,Surrogate,Surrogate,LogisticRegression,LogisticRegression,White,White,17.9557,26.1674,0.1789,0.2337,0.0853,0.3827,0.0435,0.0441,0.0793,0.0423,0.0425,0.398,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
Adult Income,Adult Income,race,race,LGAFFS,LGAFFS,Validation,Test,Surrogate,Surrogate,SVC,SVC,Amer-Indian-Eskimo,Amer-Indian-Eskimo,11.4994,9.3296,0.3177,0.2484,0.9274,0.6285,0.0499,0.0469,0.6955,0.0206,0.0183,0.4002,0.0,0.0,"[3371, 237, 603, 551]","[6775, 442, 1201, 1107]",0.9308,0.8996,5.5981,5.4978,8.1752,8.1914,2.7014,2.4707,8.2499,8.0019,"[[0.0, 0.06568736141906874, 1.0], [0.0, 0.47746967071057195, 1.0], [inf, 1.0, 0.0]]","[[0.0, 0.06124428432866842, 1.0], [0.0, 0.4796360485268631, 1.0], [inf, 1.0, 0.0]]",2.5891,2.5576,8.1752,8.1914,0.1291,0.1136
Adult Income,Adult Income,race,race,LGAFFS,LGAFFS,Validation,Test,Surrogate,Surrogate,SVC,SVC,Asian-Pac-Islander,Asian-Pac-Islander,8.2078,13.8648,0.2179,0.351,0.6095,1.076,0.0498,0.0509,0.6566,0.1063,0.1083,1.0265,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
Adult Income,Adult Income,race,race,LGAFFS,LGAFFS,Validation,Test,Surrogate,Surrogate,SVC,SVC,Black,Black,12.5265,12.2046,0.3902,0.365,0.5425,0.7739,0.07,0.0702,0.5605,0.0487,0.0486,0.7817,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
Adult Income,Adult Income,race,race,LGAFFS,LGAFFS,Validation,Test,Surrogate,Surrogate,SVC,SVC,Other,Other,9.1862,21.1897,0.2519,0.5645,0.6881,4.0763,0.1222,0.1219,0.688,0.0655,0.064,4.0792,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
Adult Income,Adult Income,race,race,LGAFFS,LGAFFS,Validation,Test,Surrogate,Surrogate,SVC,SVC,White,White,15.2488,12.5554,0.1609,0.1369,0.0144,0.0399,0.0355,0.0353,0.0141,0.0149,0.0144,0.0458,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
Adult Income,Adult Income,race,race,LGAFFS,LGAFFS,Validation,Test,Surrogate,Surrogate,GaussianNB,GaussianNB,Amer-Indian-Eskimo,Amer-Indian-Eskimo,5.2606,8.3196,0.3462,0.5641,6.5627,1.1547,0.006,0.0033,6.2254,0.1741,0.1591,0.7662,0.0,0.0,"[3089, 519, 437, 717]","[6156, 1061, 888, 1420]",1.1931,1.2413,4.776,4.9601,4.348,4.5056,5.1958,5.4032,8.4645,8.7961,"[[0.0, 0.1438470066518847, 1.0], [0.0, 0.621317157712305, 1.0], [inf, 1.0, 0.0]]","[[0.0, 0.1470139947346543, 1.0], [0.0, 0.6152512998266898, 1.0], [inf, 1.0, 0.0]]",2.0438,2.1228,4.348,4.5056,0.6015,0.6292
Adult Income,Adult Income,race,race,LGAFFS,LGAFFS,Validation,Test,Surrogate,Surrogate,GaussianNB,GaussianNB,Asian-Pac-Islander,Asian-Pac-Islander,0.5324,1.0345,0.0333,0.0656,0.1179,0.0115,0.0013,0.001,0.1071,0.065,0.064,0.0091,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
Adult Income,Adult Income,race,race,LGAFFS,LGAFFS,Validation,Test,Surrogate,Surrogate,GaussianNB,GaussianNB,Black,Black,9.6885,8.5566,0.7159,0.6297,0.5129,0.6909,0.2127,0.2151,0.5486,0.1638,0.1618,0.7045,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
Adult Income,Adult Income,race,race,LGAFFS,LGAFFS,Validation,Test,Surrogate,Surrogate,GaussianNB,GaussianNB,Other,Other,3.1229,15.4663,0.2053,1.0411,0.9526,4.9067,0.1158,0.1032,0.9516,0.2406,0.2276,4.9066,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
Adult Income,Adult Income,race,race,LGAFFS,LGAFFS,Validation,Test,Surrogate,Surrogate,GaussianNB,GaussianNB,White,White,15.3678,14.9533,0.3915,0.3864,0.1455,0.397,0.1293,0.129,0.1435,0.0933,0.0939,0.3966,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
Adult Income,Adult Income,race,race,LGAFFS,LGAFFS,Validation,Test,Surrogate,Surrogate,DecisionTreeClassifier,DecisionTreeClassifier,Amer-Indian-Eskimo,Amer-Indian-Eskimo,10.9114,5.2555,0.471,0.2361,2.0122,0.2843,0.0603,0.0546,1.6452,0.0341,0.0287,0.1205,0.0,0.0,"[3284, 324, 497, 657]","[6549, 668, 966, 1342]",0.8895,0.8821,4.4188,4.2977,5.5343,5.2592,3.2709,3.3118,7.2368,7.1046,"[[0.0, 0.08980044345898004, 1.0], [0.0, 0.5693240901213171, 1.0], [inf, 1.0, 0.0]]","[[0.0, 0.09255923513925454, 1.0], [0.0, 0.5814558058925476, 1.0], [inf, 1.0, 0.0]]",2.0231,1.9608,5.5343,5.2592,0.2426,0.2568
Adult Income,Adult Income,race,race,LGAFFS,LGAFFS,Validation,Test,Surrogate,Surrogate,DecisionTreeClassifier,DecisionTreeClassifier,Asian-Pac-Islander,Asian-Pac-Islander,3.8784,4.0358,0.1615,0.1754,0.1189,0.1739,0.0812,0.0875,0.1385,0.1055,0.0982,0.1533,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
Adult Income,Adult Income,race,race,LGAFFS,LGAFFS,Validation,Test,Surrogate,Surrogate,DecisionTreeClassifier,DecisionTreeClassifier,Black,Black,13.6525,11.0045,0.6635,0.5509,1.5483,0.303,0.1245,0.1232,1.5757,0.136,0.1345,0.3084,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
Adult Income,Adult Income,race,race,LGAFFS,LGAFFS,Validation,Test,Surrogate,Surrogate,DecisionTreeClassifier,DecisionTreeClassifier,Other,Other,5.2146,17.6015,0.2233,0.7922,1.715,6.4803,0.1152,0.1108,1.7138,0.0783,0.0735,6.5153,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
Adult Income,Adult Income,race,race,LGAFFS,LGAFFS,Validation,Test,Surrogate,Surrogate,DecisionTreeClassifier,DecisionTreeClassifier,White,White,21.7284,15.7982,0.3085,0.2669,0.3295,0.0724,0.0564,0.0562,0.3241,0.0554,0.0549,0.0824,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
Adult Income,Adult Income,race,race,LGAFFS,LGAFFS,Validation,Test,Surrogate,Surrogate,RandomForestClassifier,RandomForestClassifier,Amer-Indian-Eskimo,Amer-Indian-Eskimo,9.0756,4.2628,0.4101,0.2015,2.206,0.17,0.0388,0.0346,1.8171,0.0344,0.0287,0.1805,0.0,0.0,"[3277, 331, 484, 670]","[6519, 698, 938, 1370]",0.8804,0.8867,4.2819,4.2117,5.2349,4.9894,3.3056,3.4189,7.0815,7.0392,"[[0.0, 0.09174057649667405, 1.0], [0.0, 0.5805892547660312, 1.0], [inf, 1.0, 0.0]]","[[0.0, 0.09671608701676597, 1.0], [0.0, 0.5935875216637782, 1.0], [inf, 1.0, 0.0]]",1.9526,1.9075,5.2349,4.9894,0.2569,0.2794
Adult Income,Adult Income,race,race,LGAFFS,LGAFFS,Validation,Test,Surrogate,Surrogate,RandomForestClassifier,RandomForestClassifier,Asian-Pac-Islander,Asian-Pac-Islander,3.9934,4.1641,0.1739,0.1908,0.1818,0.2578,0.0906,0.0901,0.1734,0.0993,0.0921,0.2398,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
Adult Income,Adult Income,race,race,LGAFFS,LGAFFS,Validation,Test,Surrogate,Surrogate,RandomForestClassifier,RandomForestClassifier,Black,Black,13.629,10.7508,0.6934,0.5669,1.4377,0.312,0.1391,0.1377,1.4551,0.1401,0.1382,0.3135,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
Adult Income,Adult Income,race,race,LGAFFS,LGAFFS,Validation,Test,Surrogate,Surrogate,RandomForestClassifier,RandomForestClassifier,Other,Other,8.679,20.3539,0.3902,0.9676,1.5551,6.7866,0.2483,0.2479,1.5544,0.1384,0.1341,6.8253,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
Adult Income,Adult Income,race,race,LGAFFS,LGAFFS,Validation,Test,Surrogate,Surrogate,RandomForestClassifier,RandomForestClassifier,White,White,22.0417,15.0775,0.3255,0.2734,0.2893,0.0505,0.066,0.0657,0.2798,0.0613,0.0605,0.0559,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
Adult Income,Adult Income,race,race,LGAFFS,LGAFFS,Validation,Test,Test,Test,XGBClassifier,XGBClassifier,Amer-Indian-Eskimo,Amer-Indian-Eskimo,3.9064,4.0162,0.1676,0.1722,2.1914,0.1241,0.0172,0.0202,1.8037,0.0223,0.018,0.1826,0.0,0.0,"[3305, 303, 484, 670]","[6600, 617, 960, 1348]",0.8191,0.8243,4.0973,4.0945,5.2515,5.1931,2.9158,2.969,6.6788,6.6996,"[[0.0, 0.08398004434589801, 1.0], [0.0, 0.5805892547660312, 1.0], [inf, 1.0, 0.0]]","[[0.0, 0.0854925869474851, 1.0], [0.0, 0.584055459272097, 1.0], [inf, 1.0, 0.0]]",1.8948,1.8881,5.2515,5.1931,0.2131,0.2203
Adult Income,Adult Income,race,race,LGAFFS,LGAFFS,Validation,Test,Test,Test,XGBClassifier,XGBClassifier,Asian-Pac-Islander,Asian-Pac-Islander,2.6041,3.5534,0.1068,0.1484,0.0518,0.1985,0.0453,0.0477,0.0654,0.0581,0.0613,0.1795,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
Adult Income,Adult Income,race,race,LGAFFS,LGAFFS,Validation,Test,Test,Test,XGBClassifier,XGBClassifier,Black,Black,13.5733,11.3296,0.6492,0.5444,1.4626,0.2539,0.1109,0.1102,1.4813,0.1317,0.1309,0.256,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
Adult Income,Adult Income,race,race,LGAFFS,LGAFFS,Validation,Test,Test,Test,XGBClassifier,XGBClassifier,Other,Other,8.5887,17.1872,0.363,0.7411,1.5559,3.8649,0.2172,0.2172,1.5582,0.0978,0.0938,3.9048,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
Adult Income,Adult Income,race,race,LGAFFS,LGAFFS,Validation,Test,Test,Test,XGBClassifier,XGBClassifier,White,White,22.5095,16.6591,0.3108,0.2639,0.3476,0.0322,0.0503,0.0502,0.3396,0.0591,0.0596,0.0366,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
Adult Income,Adult Income,race,race,LGAFFS,LGAFFS,Validation,Test,Surrogate,Surrogate,LogisticRegression,LogisticRegression,Amer-Indian-Eskimo,Amer-Indian-Eskimo,14.1355,14.0873,0.3791,0.4105,5.7539,2.2656,0.0187,0.0175,5.7562,0.0602,0.0564,2.0459,0.0,0.0,"[3328, 280, 634, 520]","[6630, 587, 1258, 1050]",1.1265,1.1568,6.8708,6.9291,9.4977,9.4171,3.7309,3.9757,10.1478,10.3566,"[[0.0, 0.07760532150776053, 1.0], [0.0, 0.4506065857885615, 1.0], [inf, 1.0, 0.0]]","[[0.0, 0.08133573506997367, 1.0], [0.0, 0.45493934142114384, 1.0], [inf, 1.0, 0.0]]",3.0574,3.074,9.4977,9.4171,0.1738,0.1931
Adult Income,Adult Income,race,race,LGAFFS,LGAFFS,Validation,Test,Surrogate,Surrogate,LogisticRegression,LogisticRegression,Asian-Pac-Islander,Asian-Pac-Islander,3.6838,1.6123,0.0999,0.0437,0.2795,0.0047,0.0215,0.0219,0.2922,0.0337,0.035,0.0047,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
Adult Income,Adult Income,race,race,LGAFFS,LGAFFS,Validation,Test,Surrogate,Surrogate,LogisticRegression,LogisticRegression,Black,Black,12.2666,11.1652,0.3806,0.3585,0.4308,0.6356,0.0962,0.0961,0.453,0.0739,0.0727,0.6464,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
Adult Income,Adult Income,race,race,LGAFFS,LGAFFS,Validation,Test,Surrogate,Surrogate,LogisticRegression,LogisticRegression,Other,Other,2.6894,22.4599,0.0703,0.6386,0.7308,3.6822,0.0208,0.0187,0.7313,0.1326,0.1305,3.6855,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
