genotype,performance,disparate_impact,discrimination_score,true_positive_rate_diff,false_positive_rate_diff,false_positive_error_rate_balance_score,false_negative_error_rate_balance_score,consistency
"[0, 3, 4, 2, 1]",-1,1.6019,0.0497,0.1503,0.0155,0.0152,0.1411,0.0
"[4, 0, 0, 2, 4]",-1,1.6019,0.0497,0.1503,0.0155,0.0152,0.1411,0.0
"[4, 0, 0, 2, 4]",-1,1.6019,0.0497,0.1503,0.0155,0.0152,0.1411,0.0
"[4, 0, 0, 2, 4]",-1,1.6019,0.0497,0.1503,0.0155,0.0152,0.1411,0.0
"[4, 0, 0, 2, 4]",-1,1.6019,0.0497,0.1503,0.0155,0.0152,0.1411,0.0
"[4, 0, 0, 2, 4]",-1,1.6019,0.0497,0.1503,0.0155,0.0152,0.1411,0.0
"[4, 0, 0, 2, 0]",-1,1.6019,0.0497,0.1503,0.0155,0.0152,0.1411,0.0
"[4, 0, 0, 2, 0]",-1,1.6019,0.0497,0.1503,0.0155,0.0152,0.1411,0.0
"[4, 0, 0, 0, 0]",-1,1.6019,0.0497,0.1503,0.0155,0.0152,0.1411,0.0
"[4, 0, 0, 0, 0]",-1,1.6019,0.0497,0.1503,0.0155,0.0152,0.1411,0.0
"[4, 0, 0, 0, 0]",-1,1.6019,0.0497,0.1503,0.0155,0.0152,0.1411,0.0
"[4, 0, 0, 0, 0]",-1,1.6019,0.0497,0.1503,0.0155,0.0152,0.1411,0.0
"[4, 0, 0, 0, 0]",-1,1.6019,0.0497,0.1503,0.0155,0.0152,0.1411,0.0
"[4, 0, 0, 0, 0]",-1,1.6019,0.0497,0.1503,0.0155,0.0152,0.1411,0.0
"[4, 0, 0, 0, 0]",-1,1.6019,0.0497,0.1503,0.0155,0.0152,0.1411,0.0
"[4, 0, 0, 0, 0]",-1,1.6019,0.0497,0.1503,0.0155,0.0152,0.1411,0.0
"[4, 0, 0, 0, 0]",-1,1.6019,0.0497,0.1503,0.0155,0.0152,0.1411,0.0
"[4, 0, 0, 0, 0]",-1,1.6019,0.0497,0.1503,0.0155,0.0152,0.1411,0.0
"[4, 0, 0, 0, 0]",-1,1.6019,0.0497,0.1503,0.0155,0.0152,0.1411,0.0
"[4, 0, 0, 0, 0]",-1,1.6019,0.0497,0.1503,0.0155,0.0152,0.1411,0.0
"[4, 0, 0, 0, 0]",-1,1.6019,0.0497,0.1503,0.0155,0.0152,0.1411,0.0
"[4, 0, 0, 0, 0]",-1,1.6019,0.0497,0.1503,0.0155,0.0152,0.1411,0.0
"[4, 0, 0, 0, 0]",-1,1.6019,0.0497,0.1503,0.0155,0.0152,0.1411,0.0
"[4, 0, 0, 0, 0]",-1,1.6019,0.0497,0.1503,0.0155,0.0152,0.1411,0.0
"[4, 0, 0, 0, 0]",-1,1.6019,0.0497,0.1503,0.0155,0.0152,0.1411,0.0
"[4, 0, 0, 0, 0]",-1,1.6019,0.0497,0.1503,0.0155,0.0152,0.1411,0.0
"[4, 0, 0, 0, 0]",-1,1.6019,0.0497,0.1503,0.0155,0.0152,0.1411,0.0
"[4, 0, 0, 0, 0]",-1,1.6019,0.0497,0.1503,0.0155,0.0152,0.1411,0.0
"[4, 0, 0, 0, 0]",-1,1.6019,0.0497,0.1503,0.0155,0.0152,0.1411,0.0
"[4, 0, 0, 0, 0]",-1,1.6019,0.0497,0.1503,0.0155,0.0152,0.1411,0.0
