genotype,performance,disparate_impact,discrimination_score,true_positive_rate_diff,false_positive_rate_diff,false_positive_error_rate_balance_score,false_negative_error_rate_balance_score,consistency
"[1, 3, 4, 0, 2]",-1,3.2014,0.1058,0.0879,0.0611,0.0603,0.0762,0.0
"[4, 3, 3, 0, 2]",-1,3.2014,0.1058,0.0879,0.0611,0.0603,0.0762,0.0
"[4, 3, 3, 0, 2]",-1,3.2014,0.1058,0.0879,0.0611,0.0603,0.0762,0.0
"[3, 3, 3, 0, 3]",-1,3.2014,0.1058,0.0879,0.0611,0.0603,0.0762,0.0
"[3, 3, 3, 0, 3]",-1,3.2014,0.1058,0.0879,0.0611,0.0603,0.0762,0.0
"[3, 3, 3, 0, 3]",-1,3.2014,0.1058,0.0879,0.0611,0.0603,0.0762,0.0
"[3, 3, 3, 0, 3]",-1,3.2014,0.1058,0.0879,0.0611,0.0603,0.0762,0.0
"[3, 3, 3, 3, 3]",-1,3.2014,0.1058,0.0879,0.0611,0.0603,0.0762,0.0
"[3, 3, 3, 3, 3]",-1,3.2014,0.1058,0.0879,0.0611,0.0603,0.0762,0.0
"[3, 3, 3, 3, 3]",-1,3.2014,0.1058,0.0879,0.0611,0.0603,0.0762,0.0
"[3, 3, 3, 3, 3]",-1,3.2014,0.1058,0.0879,0.0611,0.0603,0.0762,0.0
"[3, 3, 3, 3, 3]",-1,3.2014,0.1058,0.0879,0.0611,0.0603,0.0762,0.0
"[3, 3, 3, 3, 3]",-1,3.2014,0.1058,0.0879,0.0611,0.0603,0.0762,0.0
"[3, 3, 3, 3, 3]",-1,3.2014,0.1058,0.0879,0.0611,0.0603,0.0762,0.0
"[3, 3, 3, 3, 3]",-1,3.2014,0.1058,0.0879,0.0611,0.0603,0.0762,0.0
"[3, 3, 3, 3, 3]",-1,3.2014,0.1058,0.0879,0.0611,0.0603,0.0762,0.0
"[3, 3, 3, 3, 3]",-1,3.2014,0.1058,0.0879,0.0611,0.0603,0.0762,0.0
"[3, 3, 3, 3, 3]",-1,3.2014,0.1058,0.0879,0.0611,0.0603,0.0762,0.0
"[3, 3, 3, 3, 3]",-1,3.2014,0.1058,0.0879,0.0611,0.0603,0.0762,0.0
"[3, 3, 3, 3, 3]",-1,3.2014,0.1058,0.0879,0.0611,0.0603,0.0762,0.0
"[3, 3, 3, 3, 3]",-1,3.2014,0.1058,0.0879,0.0611,0.0603,0.0762,0.0
"[3, 3, 3, 3, 3]",-1,3.2014,0.1058,0.0879,0.0611,0.0603,0.0762,0.0
"[3, 3, 3, 3, 3]",-1,3.2014,0.1058,0.0879,0.0611,0.0603,0.0762,0.0
"[3, 3, 3, 3, 3]",-1,3.2014,0.1058,0.0879,0.0611,0.0603,0.0762,0.0
"[3, 3, 3, 3, 3]",-1,3.2014,0.1058,0.0879,0.0611,0.0603,0.0762,0.0
"[3, 3, 3, 3, 3]",-1,3.2014,0.1058,0.0879,0.0611,0.0603,0.0762,0.0
"[3, 3, 3, 3, 3]",-1,3.2014,0.1058,0.0879,0.0611,0.0603,0.0762,0.0
"[3, 3, 3, 3, 3]",-1,3.2014,0.1058,0.0879,0.0611,0.0603,0.0762,0.0
"[3, 3, 3, 3, 3]",-1,3.2014,0.1058,0.0879,0.0611,0.0603,0.0762,0.0
"[3, 3, 3, 3, 3]",-1,3.2014,0.1058,0.0879,0.0611,0.0603,0.0762,0.0
