genotype,performance,disparate_impact,discrimination_score,true_positive_rate_diff,false_positive_rate_diff,false_positive_error_rate_balance_score,false_negative_error_rate_balance_score,consistency
"[4, 1, 3, 2, 0]",-1,1.1935,0.0383,0.0637,0.0096,0.0093,0.0538,0.0
"[4, 1, 3, 2, 0]",-1,1.1935,0.0383,0.0637,0.0096,0.0093,0.0538,0.0
"[4, 2, 3, 1, 0]",-1,1.1935,0.0383,0.0637,0.0096,0.0093,0.0538,0.0
"[4, 2, 3, 2, 0]",-1,1.1935,0.0383,0.0637,0.0096,0.0093,0.0538,0.0
"[2, 2, 3, 4, 0]",-1,1.1935,0.0383,0.0637,0.0096,0.0093,0.0538,0.0
"[2, 2, 3, 4, 0]",-1,1.1935,0.0383,0.0637,0.0096,0.0093,0.0538,0.0
"[2, 4, 3, 4, 0]",-1,1.1935,0.0383,0.0637,0.0096,0.0093,0.0538,0.0
"[2, 4, 3, 4, 0]",-1,1.1935,0.0383,0.0637,0.0096,0.0093,0.0538,0.0
"[4, 4, 3, 2, 0]",-1,1.1935,0.0383,0.0637,0.0096,0.0093,0.0538,0.0
"[4, 2, 3, 4, 0]",-1,1.1935,0.0383,0.0637,0.0096,0.0093,0.0538,0.0
"[4, 2, 3, 4, 0]",-1,1.1935,0.0383,0.0637,0.0096,0.0093,0.0538,0.0
"[4, 2, 3, 4, 0]",-1,1.1935,0.0383,0.0637,0.0096,0.0093,0.0538,0.0
"[4, 2, 3, 4, 0]",-1,1.1935,0.0383,0.0637,0.0096,0.0093,0.0538,0.0
"[2, 2, 1, 2, 3]",-1,1.1935,0.0383,0.0637,0.0096,0.0093,0.0538,0.0
"[2, 2, 1, 2, 3]",-1,1.1935,0.0383,0.0637,0.0096,0.0093,0.0538,0.0
"[2, 2, 1, 2, 3]",-1,1.1935,0.0383,0.0637,0.0096,0.0093,0.0538,0.0
"[2, 2, 1, 2, 3]",-1,1.1935,0.0383,0.0637,0.0096,0.0093,0.0538,0.0
"[2, 2, 1, 2, 3]",-1,1.1935,0.0383,0.0637,0.0096,0.0093,0.0538,0.0
"[2, 2, 1, 2, 3]",-1,1.1935,0.0383,0.0637,0.0096,0.0093,0.0538,0.0
"[2, 2, 1, 2, 3]",-1,1.1935,0.0383,0.0637,0.0096,0.0093,0.0538,0.0
"[2, 2, 1, 2, 3]",-1,1.1935,0.0383,0.0637,0.0096,0.0093,0.0538,0.0
"[2, 2, 1, 2, 3]",-1,1.1935,0.0383,0.0637,0.0096,0.0093,0.0538,0.0
"[2, 2, 1, 2, 3]",-1,1.1935,0.0383,0.0637,0.0096,0.0093,0.0538,0.0
"[2, 2, 1, 2, 3]",-1,1.1935,0.0383,0.0637,0.0096,0.0093,0.0538,0.0
"[2, 2, 1, 2, 3]",-1,1.1935,0.0383,0.0637,0.0096,0.0093,0.0538,0.0
"[2, 2, 1, 2, 3]",-1,1.1935,0.0383,0.0637,0.0096,0.0093,0.0538,0.0
"[2, 4, 1, 2, 3]",-1,1.1935,0.0383,0.0637,0.0096,0.0093,0.0538,0.0
"[2, 4, 1, 2, 3]",-1,1.1935,0.0383,0.0637,0.0096,0.0093,0.0538,0.0
"[2, 4, 4, 2, 3]",-1,1.1935,0.0383,0.0637,0.0096,0.0093,0.0538,0.0
"[2, 4, 4, 2, 3]",-1,1.1935,0.0383,0.0637,0.0096,0.0093,0.0538,0.0
