genotype,performance,disparate_impact,discrimination_score,true_positive_rate_diff,false_positive_rate_diff,false_positive_error_rate_balance_score,false_negative_error_rate_balance_score,consistency
"[1, 0]",-1,3.0592,0.0272,0.0015,0.0186,0.0186,0.0014,0.0
"[1, 0]",-1,3.0592,0.0272,0.0015,0.0186,0.0186,0.0014,0.0
"[1, 0]",-1,3.0592,0.0272,0.0015,0.0186,0.0186,0.0014,0.0
"[1, 0]",-1,3.0592,0.0272,0.0015,0.0186,0.0186,0.0014,0.0
"[1, 0]",-1,3.0592,0.0272,0.0015,0.0186,0.0186,0.0014,0.0
"[1, 0]",-1,3.0592,0.0272,0.0015,0.0186,0.0186,0.0014,0.0
"[1, 0]",-1,3.0592,0.0272,0.0015,0.0186,0.0186,0.0014,0.0
"[1, 0]",-1,3.0592,0.0272,0.0015,0.0186,0.0186,0.0014,0.0
"[1, 0]",-1,3.0592,0.0272,0.0015,0.0186,0.0186,0.0014,0.0
"[1, 0]",-1,3.0592,0.0272,0.0015,0.0186,0.0186,0.0014,0.0
"[1, 0]",-1,3.0592,0.0272,0.0015,0.0186,0.0186,0.0014,0.0
"[1, 0]",-1,3.0592,0.0272,0.0015,0.0186,0.0186,0.0014,0.0
"[1, 0]",-1,3.0592,0.0272,0.0015,0.0186,0.0186,0.0014,0.0
"[1, 0]",-1,3.0592,0.0272,0.0015,0.0186,0.0186,0.0014,0.0
"[1, 0]",-1,3.0592,0.0272,0.0015,0.0186,0.0186,0.0014,0.0
"[1, 0]",-1,3.0592,0.0272,0.0015,0.0186,0.0186,0.0014,0.0
"[1, 0]",-1,3.0592,0.0272,0.0015,0.0186,0.0186,0.0014,0.0
"[1, 0]",-1,3.0592,0.0272,0.0015,0.0186,0.0186,0.0014,0.0
"[1, 0]",-1,3.0592,0.0272,0.0015,0.0186,0.0186,0.0014,0.0
"[1, 0]",-1,3.0592,0.0272,0.0015,0.0186,0.0186,0.0014,0.0
"[1, 0]",-1,3.0592,0.0272,0.0015,0.0186,0.0186,0.0014,0.0
"[1, 0]",-1,3.0592,0.0272,0.0015,0.0186,0.0186,0.0014,0.0
"[1, 0]",-1,3.0592,0.0272,0.0015,0.0186,0.0186,0.0014,0.0
"[1, 0]",-1,3.0592,0.0272,0.0015,0.0186,0.0186,0.0014,0.0
"[1, 0]",-1,3.0592,0.0272,0.0015,0.0186,0.0186,0.0014,0.0
"[1, 0]",-1,3.0592,0.0272,0.0015,0.0186,0.0186,0.0014,0.0
"[1, 0]",-1,3.0592,0.0272,0.0015,0.0186,0.0186,0.0014,0.0
"[1, 0]",-1,3.0592,0.0272,0.0015,0.0186,0.0186,0.0014,0.0
"[1, 0]",-1,3.0592,0.0272,0.0015,0.0186,0.0186,0.0014,0.0
"[1, 0]",-1,3.0592,0.0272,0.0015,0.0186,0.0186,0.0014,0.0
