genotype,performance,disparate_impact,discrimination_score,true_positive_rate_diff,false_positive_rate_diff,false_positive_error_rate_balance_score,false_negative_error_rate_balance_score,consistency
"[1, 0]",-1,2.4782,0.0241,0.012,0.0183,0.0183,0.0116,0.0
"[1, 0]",-1,2.4782,0.0241,0.012,0.0183,0.0183,0.0116,0.0
"[1, 0]",-1,2.4782,0.0241,0.012,0.0183,0.0183,0.0116,0.0
"[1, 0]",-1,2.4782,0.0241,0.012,0.0183,0.0183,0.0116,0.0
"[1, 0]",-1,2.4782,0.0241,0.012,0.0183,0.0183,0.0116,0.0
"[1, 0]",-1,2.4782,0.0241,0.012,0.0183,0.0183,0.0116,0.0
"[1, 0]",-1,2.4782,0.0241,0.012,0.0183,0.0183,0.0116,0.0
"[1, 0]",-1,2.4782,0.0241,0.012,0.0183,0.0183,0.0116,0.0
"[1, 0]",-1,2.4782,0.0241,0.012,0.0183,0.0183,0.0116,0.0
"[1, 0]",-1,2.4782,0.0241,0.012,0.0183,0.0183,0.0116,0.0
"[1, 0]",-1,2.4782,0.0241,0.012,0.0183,0.0183,0.0116,0.0
"[1, 0]",-1,2.4782,0.0241,0.012,0.0183,0.0183,0.0116,0.0
"[1, 0]",-1,2.4782,0.0241,0.012,0.0183,0.0183,0.0116,0.0
"[1, 0]",-1,2.4782,0.0241,0.012,0.0183,0.0183,0.0116,0.0
"[1, 0]",-1,2.4782,0.0241,0.012,0.0183,0.0183,0.0116,0.0
"[1, 0]",-1,2.4782,0.0241,0.012,0.0183,0.0183,0.0116,0.0
"[1, 0]",-1,2.4782,0.0241,0.012,0.0183,0.0183,0.0116,0.0
"[1, 0]",-1,2.4782,0.0241,0.012,0.0183,0.0183,0.0116,0.0
"[1, 0]",-1,2.4782,0.0241,0.012,0.0183,0.0183,0.0116,0.0
"[1, 0]",-1,2.4782,0.0241,0.012,0.0183,0.0183,0.0116,0.0
"[1, 0]",-1,2.4782,0.0241,0.012,0.0183,0.0183,0.0116,0.0
"[1, 0]",-1,2.4782,0.0241,0.012,0.0183,0.0183,0.0116,0.0
"[1, 0]",-1,2.4782,0.0241,0.012,0.0183,0.0183,0.0116,0.0
"[1, 0]",-1,2.4782,0.0241,0.012,0.0183,0.0183,0.0116,0.0
"[1, 0]",-1,2.4782,0.0241,0.012,0.0183,0.0183,0.0116,0.0
"[1, 0]",-1,2.4782,0.0241,0.012,0.0183,0.0183,0.0116,0.0
"[1, 0]",-1,2.4782,0.0241,0.012,0.0183,0.0183,0.0116,0.0
"[1, 0]",-1,2.4782,0.0241,0.012,0.0183,0.0183,0.0116,0.0
"[1, 0]",-1,2.4782,0.0241,0.012,0.0183,0.0183,0.0116,0.0
"[1, 0]",-1,2.4782,0.0241,0.012,0.0183,0.0183,0.0116,0.0
