genotype,performance,disparate_impact,discrimination_score,true_positive_rate_diff,false_positive_rate_diff,false_positive_error_rate_balance_score,false_negative_error_rate_balance_score,consistency
"[3, 1, 0, 2, 4]",-1,0.4865,0.021,0.3108,0.0298,0.0295,0.3111,0.0
"[3, 1, 0, 2, 4]",-1,0.4865,0.021,0.3108,0.0298,0.0295,0.3111,0.0
"[3, 1, 0, 2, 4]",-1,0.4865,0.021,0.3108,0.0298,0.0295,0.3111,0.0
"[3, 2, 0, 1, 4]",-1,0.4865,0.021,0.3108,0.0298,0.0295,0.3111,0.0
"[3, 2, 0, 1, 4]",-1,0.4865,0.021,0.3108,0.0298,0.0295,0.3111,0.0
"[1, 0, 4, 1, 4]",-1,0.4865,0.021,0.3108,0.0298,0.0295,0.3111,0.0
"[1, 0, 4, 1, 4]",-1,0.4865,0.021,0.3108,0.0298,0.0295,0.3111,0.0
"[1, 0, 4, 1, 4]",-1,0.4865,0.021,0.3108,0.0298,0.0295,0.3111,0.0
"[1, 4, 0, 1, 4]",-1,0.4865,0.021,0.3108,0.0298,0.0295,0.3111,0.0
"[1, 4, 0, 1, 4]",-1,0.4865,0.021,0.3108,0.0298,0.0295,0.3111,0.0
"[1, 4, 0, 1, 4]",-1,0.4865,0.021,0.3108,0.0298,0.0295,0.3111,0.0
"[4, 4, 0, 1, 0]",-1,0.4865,0.021,0.3108,0.0298,0.0295,0.3111,0.0
"[4, 4, 0, 1, 0]",-1,0.4865,0.021,0.3108,0.0298,0.0295,0.3111,0.0
"[4, 4, 0, 1, 4]",-1,0.4865,0.021,0.3108,0.0298,0.0295,0.3111,0.0
"[4, 4, 0, 1, 4]",-1,0.4865,0.021,0.3108,0.0298,0.0295,0.3111,0.0
"[4, 4, 0, 1, 4]",-1,0.4865,0.021,0.3108,0.0298,0.0295,0.3111,0.0
"[4, 4, 0, 1, 1]",-1,0.4865,0.021,0.3108,0.0298,0.0295,0.3111,0.0
"[4, 4, 0, 1, 1]",-1,0.4865,0.021,0.3108,0.0298,0.0295,0.3111,0.0
"[4, 4, 0, 1, 1]",-1,0.4865,0.021,0.3108,0.0298,0.0295,0.3111,0.0
"[4, 4, 0, 1, 1]",-1,0.4865,0.021,0.3108,0.0298,0.0295,0.3111,0.0
"[4, 4, 0, 1, 0]",-1,0.4865,0.021,0.3108,0.0298,0.0295,0.3111,0.0
"[4, 4, 0, 1, 1]",-1,0.4865,0.021,0.3108,0.0298,0.0295,0.3111,0.0
"[4, 4, 0, 1, 1]",-1,0.4865,0.021,0.3108,0.0298,0.0295,0.3111,0.0
"[4, 4, 0, 1, 1]",-1,0.4865,0.021,0.3108,0.0298,0.0295,0.3111,0.0
"[4, 4, 0, 1, 0]",-1,0.4865,0.021,0.3108,0.0298,0.0295,0.3111,0.0
"[4, 4, 0, 1, 0]",-1,0.4865,0.021,0.3108,0.0298,0.0295,0.3111,0.0
"[4, 4, 0, 1, 1]",-1,0.4865,0.021,0.3108,0.0298,0.0295,0.3111,0.0
"[4, 4, 0, 1, 1]",-1,0.4865,0.021,0.3108,0.0298,0.0295,0.3111,0.0
"[4, 4, 0, 1, 1]",-1,0.4865,0.021,0.3108,0.0298,0.0295,0.3111,0.0
"[4, 4, 0, 1, 1]",-1,0.4865,0.021,0.3108,0.0298,0.0295,0.3111,0.0
