genotype,performance,disparate_impact,discrimination_score,true_positive_rate_diff,false_positive_rate_diff,false_positive_error_rate_balance_score,false_negative_error_rate_balance_score,consistency
"[1, 2, 4, 0, 3]",-1,1.2929,0.0361,0.1231,0.0117,0.0115,0.1156,0.0
"[4, 2, 4, 1, 2]",-1,1.2929,0.0361,0.1231,0.0117,0.0115,0.1156,0.0
"[4, 2, 4, 1, 2]",-1,1.2929,0.0361,0.1231,0.0117,0.0115,0.1156,0.0
"[4, 2, 4, 1, 2]",-1,1.2929,0.0361,0.1231,0.0117,0.0115,0.1156,0.0
"[4, 2, 4, 1, 2]",-1,1.2929,0.0361,0.1231,0.0117,0.0115,0.1156,0.0
"[4, 2, 4, 1, 2]",-1,1.2929,0.0361,0.1231,0.0117,0.0115,0.1156,0.0
"[4, 2, 4, 1, 2]",-1,1.2929,0.0361,0.1231,0.0117,0.0115,0.1156,0.0
"[4, 2, 4, 1, 2]",-1,1.2929,0.0361,0.1231,0.0117,0.0115,0.1156,0.0
"[2, 2, 2, 1, 2]",-1,1.2929,0.0361,0.1231,0.0117,0.0115,0.1156,0.0
"[2, 2, 2, 1, 2]",-1,1.2929,0.0361,0.1231,0.0117,0.0115,0.1156,0.0
"[2, 2, 2, 1, 2]",-1,1.2929,0.0361,0.1231,0.0117,0.0115,0.1156,0.0
"[2, 2, 1, 1, 2]",-1,1.2929,0.0361,0.1231,0.0117,0.0115,0.1156,0.0
"[2, 2, 1, 1, 2]",-1,1.2929,0.0361,0.1231,0.0117,0.0115,0.1156,0.0
"[2, 2, 1, 1, 2]",-1,1.2929,0.0361,0.1231,0.0117,0.0115,0.1156,0.0
"[2, 2, 1, 1, 2]",-1,1.2929,0.0361,0.1231,0.0117,0.0115,0.1156,0.0
"[2, 2, 1, 1, 2]",-1,1.2929,0.0361,0.1231,0.0117,0.0115,0.1156,0.0
"[2, 2, 1, 1, 2]",-1,1.2929,0.0361,0.1231,0.0117,0.0115,0.1156,0.0
"[2, 2, 1, 1, 2]",-1,1.2929,0.0361,0.1231,0.0117,0.0115,0.1156,0.0
"[2, 2, 1, 1, 2]",-1,1.2929,0.0361,0.1231,0.0117,0.0115,0.1156,0.0
"[2, 2, 1, 1, 2]",-1,1.2929,0.0361,0.1231,0.0117,0.0115,0.1156,0.0
"[2, 2, 1, 1, 2]",-1,1.2929,0.0361,0.1231,0.0117,0.0115,0.1156,0.0
"[2, 2, 1, 1, 2]",-1,1.2929,0.0361,0.1231,0.0117,0.0115,0.1156,0.0
"[2, 2, 1, 1, 2]",-1,1.2929,0.0361,0.1231,0.0117,0.0115,0.1156,0.0
"[2, 2, 1, 1, 2]",-1,1.2929,0.0361,0.1231,0.0117,0.0115,0.1156,0.0
"[2, 2, 1, 1, 2]",-1,1.2929,0.0361,0.1231,0.0117,0.0115,0.1156,0.0
"[2, 2, 1, 1, 2]",-1,1.2929,0.0361,0.1231,0.0117,0.0115,0.1156,0.0
"[2, 2, 1, 1, 2]",-1,1.2929,0.0361,0.1231,0.0117,0.0115,0.1156,0.0
"[2, 2, 1, 1, 2]",-1,1.2929,0.0361,0.1231,0.0117,0.0115,0.1156,0.0
"[2, 2, 1, 1, 2]",-1,1.2929,0.0361,0.1231,0.0117,0.0115,0.1156,0.0
"[2, 2, 1, 1, 2]",-1,1.2929,0.0361,0.1231,0.0117,0.0115,0.1156,0.0
